ROUTE_ID	NODE_0	NODE_1	NODE_2	NODE_3	NODE_4	NODE_5	NODE_6	NODE_7	NODE_8	NODE_9	DESCRIPTION
11	1,1200,3392,1200,3392	3,944,4064,1168,3712	4,1584,3264,1584,3264								<凤翔,剑阁蜀道西北,金光洞>
12	80,1512,2896,1512,2896	92,1864,3232,1648,3328	93,1728,3104,1704,3040	94,1592,3216,1592,3216							<扬州,蜀岗山,荐菊洞,灵骨洞>
13	162,1728,3232,1728,3232	164,1648,3168,1592,3216	165,1520,3296,1456,3136	166,1680,3264,1680,3264							<大理,千寻塔一层,千寻塔二层,千寻塔三层>
14	162,1264,3248,1264,3248	167,1680,3120,1608,3200	171,1672,2928,1688,3088	172,1608,3200,1712,3024	173,1344,3088,1344,3088						<大理,点苍山,点仓洞一层,点仓洞二层,点仓洞三层>
15	162,1264,3248,1264,3248	167,1864,2752,1608,3200	170,1592,3200,1592,3200								<大理,点苍山,土匪洞>
16	162,1264,3248,1264,3248	167,1632,2976,1608,3200	332,1096,3184,1096,3184								<大理,点苍山,天龙寺>
17	162,1264,3248,1264,3248	167,1224,2720,1608,3200	169,1464,2896,1584,3200	168,1672,3072,1672,3072							<大理,点苍山,龙眼洞,凤眼洞>
18	11,3304,4608,3304,4608	19,1984,6128,1984,6128									<成都,剑阁蜀道西南>
19	11,2816,4800,2816,4800	21,2872,3872,2624,4528	22,1744,3376,1744,3376								<成都,青城山,白云洞>
20	11,2816,4800,2816,4800	21,2240,3920,2624,4528	23,1704,3072,1704,3072								<成都,青城山,神仙洞>
21	11,2816,4800,2816,4800	21,1720,3872,2624,4528	24,1696,3200,1696,3200								<成都,青城山,响水洞>
22	11,2720,5360,2720,5360	9,2488,5680,2424,5520	10,1600,3200,1600,3200								<成都,长江源头,雁石洞>
23	11,3256,5072,3256,5072	12,1584,3168,1584,3168									<成都,信相寺地道>
24	53,1784,3392,1784,3392	199,1656,2896,1656,2896									<巴陵县,武陵洞>
25	53,1320,3296,1320,3296	70,1664,3040,1624,3248	71,1712,3040,1712,3040								<巴陵县,武陵山,白水洞>
26	53,1320,3296,1320,3296	70,1680,2864,1624,3248	72,1704,2848,1704,2848								<巴陵县,武陵山,大酋洞>
27	53,1320,3296,1320,3296	70,1152,2752,1624,3248	73,1560,2896,1608,2800	55,1736,3264,1736,3264							<巴陵县,武陵山,伏流洞,桃花源>
28	53,1824,3472,1624,3168	54,1632,2944,1448,2960	56,1488,3552,1488,3552								<巴陵县,南岳镇,衡山派>
29	53,1328,3360,1328,3360	74,1776,3360,2048,3248	76,1784,2944,1720,2896	75,1688,3328,1688,3328							<巴陵县,苗岭,山宝洞,蚩尤洞>
30	53,1328,3360,1328,3360	74,2048,3360,2048,3248	77,1752,3376,1752,3376								<巴陵县,苗岭,燕子洞>
31	20,3704,6224,3704,6224	202,1792,2816,1792,2816									<江津村,芙蓉洞>
32	99,1848,2800,1848,2800	2,2616,3968,2272,4096									<永乐镇,华山>
33	99,1480,3344,1480,3344	201,1584,3216,1584,3216									<永乐镇,冰河洞>
34	100,1856,3344,1856,3344	204,1696,3376,1696,3376									<朱仙镇,飞天洞>
35	101,1784,2784,1784,2784	205,1712,3392,1712,3392									<稻香村,阳中洞>
36	121,2296,4400,2296,4400	140,2304,3264,2408,3728	141,1624,3408,1624,3408								<龙门镇,药王谷,药王洞一层>
37	121,2296,4400,2296,4400	140,2304,3200,2408,3728	145,1648,3312,1648,3312								<龙门镇,药王谷,雪豹洞>
38	121,1712,4256,1712,4256	340,1872,3472,1872,3472									<龙门镇,莫高窟>
39	121,1968,4192,1968,4192	200,1600,3136,1600,3136									<龙门镇,古阳洞>
40	121,2232,4144,2232,4144	336,1088,3216,1088,3216									<龙门镇,风陵渡>
41	121,1696,4400,1696,4400	122,1648,3200,1616,3344	125,1584,3200,1696,2976	126,1496,2896,1496,3040	127,1784,3200,1600,3072	128,1504,3040,1600,2960	129,1656,3232,1712,3120	130,1552,3120,1552,3120			<龙门镇,黄河源头,留仙洞一层,留仙洞二层,留仙洞三层,留仙洞三层,留仙洞四层,留仙洞五层,留仙洞六层>
42	121,1696,4400,1696,4400	122,1592,3200,1616,3344	124,1664,3424,1664,3424								<龙门镇,黄河源头,轩辕洞>
43	121,1696,4400,1696,4400	122,1672,3312,1616,3344	123,1680,3392,1680,3392								<龙门镇,黄河源头,老虎洞>
44	153,1440,3024,1440,3024	203,1544,2976,1544,2976									<石鼓镇,无名洞>
45	174,1824,3456,1824,3456	193,1960,2880,1960,2880									<龙泉村,武夷山>
46	174,1472,3072,1472,3072	198,1536,2960,1536,2960									<龙泉村,清溪洞>
47	174,1824,3008,1824,3008	195,656,2848,656,2848									<龙泉村,雁荡山>
48	59,1736,3280,1736,3280	66,1592,3184,1912,3104	67,1600,3200,1600,3200								<天王帮,洞庭湖底山洞一层,洞庭湖底山洞二层>
49	59,1808,2960,1808,2960	65,1600,3280,1600,3280									<天王帮,天王岛山洞>
50	25,4192,5216,4192,5216	26,1616,3200,1472,3328	27,1616,3200,1512,3200	28,1544,3184,1544,3184							<唐门,竹丝洞一层,竹丝洞二层,竹丝洞三层>
51	183,1528,3712,1528,3712	193,1128,2624,2384,3248	194,1608,3184,1608,3184								<五毒教,武夷山,玉华洞>
52	183,1688,3504,1688,3504	190,1376,2992,1376,2992									<五毒教,入门迷宫>
53	13,2264,4752,2256,4752	14,1584,3232,1584,3232									<峨眉派,猛虎洞>
54	49,1584,3200,1584,3200	47,1536,3024,1616,3040	50,1408,3216,1408,3216								<天忍教室内第三层,天忍教室内第二层左室,七杀洞>
55	49,1584,3200,1584,3200	47,1600,3200,1616,3040	46,1608,3216,1632,3072	45,1672,3120,1672,3120							<天忍教室内第三层,天忍教室内第二层左室,天忍教室内第一层,天忍教>
56	131,1672,2992,1672,2992	135,1736,3184,1736,3184									<昆仑派,见性峰迷宫>
57	131,1400,2960,1400,2960	136,1720,3136,1536,3312	224,1616,3232,1616,3232								<昆仑派,快活林,沙漠地表>
58	131,1784,3568,1784,3568	132,1712,3392,1712,3392									<昆仑派,冰穴迷宫>
59	115,1760,3056,1760,3056	116,1792,2976,1592,3232	117,1632,2912,1584,3232	118,1512,2944,1616,3200	119,1512,3072,1616,3200	120,1584,3216,1584,3216					<丐帮,祥云洞第一层,祥云洞第二层,祥云洞第三层,祥云洞第四层,祥云洞第五层>
60	81,1576,3408,1576,3408	82,1648,3168,1648,3168									<武当派,井底迷宫>
61	81,1936,2992,1936,2992	83,1576,3232,1576,3232									<武当派,火狼洞>
62	49,1656,3280,1656,3280	48,1680,3136,1680,3136									<天忍教室内第三层,天忍教室内第二层>
63	103,1616,3152,1616,3152										<少林派>
64	154,400,1360,400,1360										<翠烟门>
65	103,1844,2944,1840,2944	109,1595,3187,1594,3188									<少林派，方丈禅室>
66	59,1784,3136,1784,3136	62,1616,3200,1616,3205									<天王帮，天王帮寝宫>
67	25,4067,5150,4064,5152	33,1616,3184,1595,3216									<唐门，会客大厅>
68	13,1986,4861,1984,4864	17,1592,3200,1590,3216									<峨眉派，峨眉派正殿>
69	154,280,1200,280,1200	161,1604,3207,1604,3207									<翠烟门，翠烟楼>
70	45,1672,3120,1672,3120	46,1632,3072,1608,3216	47,1616,3040,1600,3200	49,1584,3200,1584,3200							<天忍教，天忍教室内第一层，天忍教室内第二层，天忍教室内第三层，天忍教室内第三层>
71	81,1701,3097,1696,3104	84,1591,3191,1588,3195									<武当派，紫霄大殿>
72	131,1520,3136,1520,3136	138,1600,3200,1608,3210									<昆仑派，昆仑派正殿正殿>
73	183,1769,2662,1752,2656	189,1608,3184,1598,3219									<五毒教，五毒教总寨>
74	987,1224,3376,1224,3376	2,2616,3968,2616,3968									<华山>
75	175,1670,3170,1670,3170										<西山村>
