SourceIndex	RootId	Side	SourceRoot	RelativePath	Directory	FileName	Extension	IsTextLike	SizeBytes	Sha256	EncodingProbe	DataRowCount	ColumnCount	HeaderSignature
11	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	riddle/huadeng.txt	riddle	huadeng.txt	txt	1	105809	6022d9536ffcc305a12db66cc625dcb4b4e500038757e39a1e31b97581dcdc78	latin1	1081	7	STT|Tr¶ lêi|C©u Hái||B|C|D
12	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	shenmibaoxiang/shenmibaoiangaward.txt	shenmibaoxiang	shenmibaoiangaward.txt	txt	1	14518	37dedc7bd824b5cbc7b5e47aa10199e6ed249f04cb93bec48824f3819964f75e	latin1	260	9	szName|nQuality|nItemGenre|nDetailType|nParticularType|nLevel|nSeries|nLuckly|nRate
13	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	wangwanglibao/gift_pack.txt	wangwanglibao	gift_pack.txt	txt	1	4387	8b7d8e2a14231195238910d9ba8eea1dc1d57571c6995675d8cc0ef4b6c9d897	latin1	84	10	Name|Quality|Genre|Detail|Particular|Level|GoodsFive|LimitTime|ItemRate|IsPublic
14	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	zhongqiuhuodong/diancang_lantern.txt	zhongqiuhuodong	diancang_lantern.txt	txt	1	4454	50de0c516190c8c3ac71c2bb776f2618bb6cc8a2a5759e992360fefe98c0c576	utf-8-sig	340	2	XPOS|YPOS
15	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	zhongqiuhuodong/huashan_lantern.txt	zhongqiuhuodong	huashan_lantern.txt	txt	1	4029	4f9bc94fb2ff9c4bfd4264167e75310e9caa5467c2e6f3b188fe9f31a756f439	utf-8-sig	287	2	XPOS|YPOS
16	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	zhongqiuhuodong/qingcheng_lantern.txt	zhongqiuhuodong	qingcheng_lantern.txt	txt	1	8075	a13963e37f4f5922fecaac1d338c7f8e97b724e8be096fe1124ffee47755a235	utf-8-sig	576	2	XPOS|YPOS
17	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	zhongqiuhuodong/wuyi_lantern.txt	zhongqiuhuodong	wuyi_lantern.txt	txt	1	4655	d80a8812f416888dda71dc9be59a9e3cb7c5442e2c1fcc8914dd1890a8d04506	utf-8-sig	354	2	XPOS|YPOS
18	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	zhongqiuhuodong/zhongqiudengmi.txt	zhongqiuhuodong	zhongqiudengmi.txt	txt	1	12103	6d2a39a9d6b135f6e85bbd59b37639cb4013e85a75a71dc27c86c63a96af2890	latin1	126	8	STT|§¸p ¸n|C©u hái|A|B|C|D|
19	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	chinesenewyear/bonuslist.txt	chinesenewyear	bonuslist.txt	txt	1	15867	3d3dff473b5dadb8af0102a635fe6c87e6988e503d5980ee2b4254d1137a8b2e	latin1	106	19	mID|Type|TypeName|Name|Worth|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|Message|Announce
20	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	chinesenewyear/crystal.txt	chinesenewyear	crystal.txt	txt	1	601	64cd34a0a4807cf1ea6778b2652f3025babec52a60011e2f95becefe724a0685	latin1	19	4	mID|Worth|ItemID|ItemName
21	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	chinesenewyear/giftslvlup.txt	chinesenewyear	giftslvlup.txt	txt	1	520	268f6eae1a7fee68688426ecba283d43c1c39300a5d30a64591944231a0dbae1	utf-8-sig	11	8	mID|Level|Worth|P1|P2|P3|P4|Cryptic
22	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	juanzhouhecheng/amuletlist.txt	juanzhouhecheng	amuletlist.txt	txt	1	1619	a91df95e2799ebdf7d1ab19b565b23149f717647a96c472af57486a68a6bd9fa	latin1	32	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
23	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	juanzhouhecheng/crystal.txt	juanzhouhecheng	crystal.txt	txt	1	601	64cd34a0a4807cf1ea6778b2652f3025babec52a60011e2f95becefe724a0685	latin1	19	4	mID|Worth|ItemID|ItemName
24	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	juanzhouhecheng/giftslvlup.txt	juanzhouhecheng	giftslvlup.txt	txt	1	521	e0d1187f37a25834907c164fc629be9cb6e5e378d7fb50e81ff379448d7dd095	utf-8-sig	11	8	mID|Level|Worth|P1|P2|P3|P4|Cryptic
25	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	juanzhouhecheng/pendantlist.txt	juanzhouhecheng	pendantlist.txt	txt	1	1549	cbc7e8f2b36dc02801026574c04ba8dbd33f123ae999567a36f4733e5035c0d9	latin1	31	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
26	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	juanzhouhecheng/ringlist.txt	juanzhouhecheng	ringlist.txt	txt	1	1614	e7af15027b63bf90cbff81d0f694ef30396333c661ebc23e533f60cd2325d8d1	latin1	32	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
27	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	other/shensuanzi/vn.txt	other/shensuanzi	vn.txt	txt	1	760	d821dc28ed6f738545d85e073af28e266d78b1cfeec0cc96086dbe705c44c49c	latin1	19	2	RoundStartMsg|C©u hái cña ®ît %d b¾t ®Çu
28	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	other/shensuanzi/zh.txt	other/shensuanzi	zh.txt	txt	1	578	8f46d59ce18677e704f0c3f83ff759cb75e60b54e818d28889c74f9544720a14	gb18030	19	2	RoundStartMsg|开始第%d轮的答题
29	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	riddle/huadeng.txt	riddle	huadeng.txt	txt	1	105809	6022d9536ffcc305a12db66cc625dcb4b4e500038757e39a1e31b97581dcdc78	latin1	1081	7	STT|Tr¶ lêi|C©u Hái||B|C|D
30	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	shenmibaoxiang/shenmibaoiangaward.txt	shenmibaoxiang	shenmibaoiangaward.txt	txt	1	14518	37dedc7bd824b5cbc7b5e47aa10199e6ed249f04cb93bec48824f3819964f75e	latin1	260	9	szName|nQuality|nItemGenre|nDetailType|nParticularType|nLevel|nSeries|nLuckly|nRate
31	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	wangwanglibao/gift_pack.txt	wangwanglibao	gift_pack.txt	txt	1	4387	8b7d8e2a14231195238910d9ba8eea1dc1d57571c6995675d8cc0ef4b6c9d897	latin1	84	10	Name|Quality|Genre|Detail|Particular|Level|GoodsFive|LimitTime|ItemRate|IsPublic
32	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	zhongqiuhuodong/diancang_lantern.txt	zhongqiuhuodong	diancang_lantern.txt	txt	1	4454	50de0c516190c8c3ac71c2bb776f2618bb6cc8a2a5759e992360fefe98c0c576	utf-8-sig	340	2	XPOS|YPOS
33	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	zhongqiuhuodong/huashan_lantern.txt	zhongqiuhuodong	huashan_lantern.txt	txt	1	4029	4f9bc94fb2ff9c4bfd4264167e75310e9caa5467c2e6f3b188fe9f31a756f439	utf-8-sig	287	2	XPOS|YPOS
34	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	zhongqiuhuodong/qingcheng_lantern.txt	zhongqiuhuodong	qingcheng_lantern.txt	txt	1	8075	a13963e37f4f5922fecaac1d338c7f8e97b724e8be096fe1124ffee47755a235	utf-8-sig	576	2	XPOS|YPOS
35	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	zhongqiuhuodong/wuyi_lantern.txt	zhongqiuhuodong	wuyi_lantern.txt	txt	1	4655	d80a8812f416888dda71dc9be59a9e3cb7c5442e2c1fcc8914dd1890a8d04506	utf-8-sig	354	2	XPOS|YPOS
36	server_jxser_settings_event	server	Server 6.0/server/home_jxser/server1/settings/event	zhongqiuhuodong/zhongqiudengmi.txt	zhongqiuhuodong	zhongqiudengmi.txt	txt	1	12103	6d2a39a9d6b135f6e85bbd59b37639cb4013e85a75a71dc27c86c63a96af2890	latin1	126	8	STT|§¸p ¸n|C©u hái|A|B|C|D|
37	client_settings_event	client	Client 6.0/settings/event	chinesenewyear/bonuslist.txt	chinesenewyear	bonuslist.txt	txt	1	15867	3d3dff473b5dadb8af0102a635fe6c87e6988e503d5980ee2b4254d1137a8b2e	latin1	106	19	mID|Type|TypeName|Name|Worth|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|Message|Announce
38	client_settings_event	client	Client 6.0/settings/event	chinesenewyear/crystal.txt	chinesenewyear	crystal.txt	txt	1	601	64cd34a0a4807cf1ea6778b2652f3025babec52a60011e2f95becefe724a0685	latin1	19	4	mID|Worth|ItemID|ItemName
39	client_settings_event	client	Client 6.0/settings/event	chinesenewyear/giftslvlup.txt	chinesenewyear	giftslvlup.txt	txt	1	520	268f6eae1a7fee68688426ecba283d43c1c39300a5d30a64591944231a0dbae1	utf-8-sig	11	8	mID|Level|Worth|P1|P2|P3|P4|Cryptic
40	client_settings_event	client	Client 6.0/settings/event	juanzhouhecheng/amuletlist.txt	juanzhouhecheng	amuletlist.txt	txt	1	1619	a91df95e2799ebdf7d1ab19b565b23149f717647a96c472af57486a68a6bd9fa	latin1	32	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
41	client_settings_event	client	Client 6.0/settings/event	juanzhouhecheng/crystal.txt	juanzhouhecheng	crystal.txt	txt	1	601	64cd34a0a4807cf1ea6778b2652f3025babec52a60011e2f95becefe724a0685	latin1	19	4	mID|Worth|ItemID|ItemName
42	client_settings_event	client	Client 6.0/settings/event	juanzhouhecheng/giftslvlup.txt	juanzhouhecheng	giftslvlup.txt	txt	1	521	e0d1187f37a25834907c164fc629be9cb6e5e378d7fb50e81ff379448d7dd095	utf-8-sig	11	8	mID|Level|Worth|P1|P2|P3|P4|Cryptic
43	client_settings_event	client	Client 6.0/settings/event	juanzhouhecheng/pendantlist.txt	juanzhouhecheng	pendantlist.txt	txt	1	1549	cbc7e8f2b36dc02801026574c04ba8dbd33f123ae999567a36f4733e5035c0d9	latin1	31	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
44	client_settings_event	client	Client 6.0/settings/event	juanzhouhecheng/ringlist.txt	juanzhouhecheng	ringlist.txt	txt	1	1614	e7af15027b63bf90cbff81d0f694ef30396333c661ebc23e533f60cd2325d8d1	latin1	32	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
45	client_settings_event	client	Client 6.0/settings/event	other/shensuanzi/vn.txt	other/shensuanzi	vn.txt	txt	1	760	d821dc28ed6f738545d85e073af28e266d78b1cfeec0cc96086dbe705c44c49c	latin1	19	2	RoundStartMsg|C©u hái cña ®ît %d b¾t ®Çu
46	client_settings_event	client	Client 6.0/settings/event	other/shensuanzi/zh.txt	other/shensuanzi	zh.txt	txt	1	578	8f46d59ce18677e704f0c3f83ff759cb75e60b54e818d28889c74f9544720a14	gb18030	19	2	RoundStartMsg|开始第%d轮的答题
47	client_settings_event	client	Client 6.0/settings/event	riddle/huadeng.txt	riddle	huadeng.txt	txt	1	105809	6022d9536ffcc305a12db66cc625dcb4b4e500038757e39a1e31b97581dcdc78	latin1	1081	7	STT|Tr¶ lêi|C©u Hái||B|C|D
48	client_settings_event	client	Client 6.0/settings/event	shenmibaoxiang/shenmibaoiangaward.txt	shenmibaoxiang	shenmibaoiangaward.txt	txt	1	14518	37dedc7bd824b5cbc7b5e47aa10199e6ed249f04cb93bec48824f3819964f75e	latin1	260	9	szName|nQuality|nItemGenre|nDetailType|nParticularType|nLevel|nSeries|nLuckly|nRate
49	client_settings_event	client	Client 6.0/settings/event	wangwanglibao/gift_pack.txt	wangwanglibao	gift_pack.txt	txt	1	4387	8b7d8e2a14231195238910d9ba8eea1dc1d57571c6995675d8cc0ef4b6c9d897	latin1	84	10	Name|Quality|Genre|Detail|Particular|Level|GoodsFive|LimitTime|ItemRate|IsPublic
50	client_settings_event	client	Client 6.0/settings/event	zhongqiuhuodong/diancang_lantern.txt	zhongqiuhuodong	diancang_lantern.txt	txt	1	4454	50de0c516190c8c3ac71c2bb776f2618bb6cc8a2a5759e992360fefe98c0c576	utf-8-sig	340	2	XPOS|YPOS
51	client_settings_event	client	Client 6.0/settings/event	zhongqiuhuodong/huashan_lantern.txt	zhongqiuhuodong	huashan_lantern.txt	txt	1	4029	4f9bc94fb2ff9c4bfd4264167e75310e9caa5467c2e6f3b188fe9f31a756f439	utf-8-sig	287	2	XPOS|YPOS
52	client_settings_event	client	Client 6.0/settings/event	zhongqiuhuodong/qingcheng_lantern.txt	zhongqiuhuodong	qingcheng_lantern.txt	txt	1	8075	a13963e37f4f5922fecaac1d338c7f8e97b724e8be096fe1124ffee47755a235	utf-8-sig	576	2	XPOS|YPOS
53	client_settings_event	client	Client 6.0/settings/event	zhongqiuhuodong/wuyi_lantern.txt	zhongqiuhuodong	wuyi_lantern.txt	txt	1	4655	d80a8812f416888dda71dc9be59a9e3cb7c5442e2c1fcc8914dd1890a8d04506	utf-8-sig	354	2	XPOS|YPOS
54	client_settings_event	client	Client 6.0/settings/event	zhongqiuhuodong/zhongqiudengmi.txt	zhongqiuhuodong	zhongqiudengmi.txt	txt	1	12103	6d2a39a9d6b135f6e85bbd59b37639cb4013e85a75a71dc27c86c63a96af2890	latin1	126	8	STT|§¸p ¸n|C©u hái|A|B|C|D|
