index_Name	index_ItemGenre	index_DetailType	index_ParticualrType	index_taskid	index_level	index_content
MËt ®å "§ång hµnh luyÖn cÊp" 25	6	1	471	30	75	§Õn tÇng 2 TÇn L¨ng giÕt 50 coi D¬i, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 26	6	1	472	31	75	§Õn tÇng 2 TÇn L¨ng giÕt 50 coi D¬i, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 27	6	1	473	32	75	§Õn tÇng 2 TÇn L¨ng giÕt 50 coi D¬i, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 28	6	1	474	33	85	§Õn tÇng 3 TÇn L¨ng giÕt 50 Méc nh©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 29	6	1	475	34	85	§Õn tÇng 3 TÇn l¨ng L¨ng giÕt 100 Méc nh©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 30	6	1	476	35	85	§Õn tÇng 3 TÇn l¨ng L¨ng giÕt 150 Méc nh©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 31	6	1	477	36	85	§Õn B¨ng Hµ ®éng giÕt 50 tªn Phi Liªm, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 32	6	1	478	37	85	§Õn B¨ng Hµ ®éng giÕt 100 tªn Phi Liªm, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 33	6	1	479	38	85	§Õn B¨ng Hµ ®éng giÕt 150 tªn Phi Liªm, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 34	6	1	480	39	10	VÜnh L¹c trÊn giÕt 50 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 35	6	1	481	40	10	VÜnh L¹c trÊn giÕt 100 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 36	6	1	482	41	10	VÜnh L¹c trÊn giÕt 150 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 37	6	1	483	42	75	§Õn Tr­êng Giang Nguyªn ®Çu giÕt 50 ¸c Ni, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 38	6	1	484	43	75	§Õn Tr­êng Giang Nguyªn ®Çu giÕt 100 ¸c Ni, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 39	6	1	485	44	75	§Õn Tr­êng Giang Nguyªn ®Çu giÕt 150 ¸c Ni, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 40	6	1	486	45	85	§Õn Nh¹n Th¹ch ®éng giÕt 50 tªn H¾c C©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 41	6	1	487	46	85	§Õn Nh¹n Th¹ch ®éng giÕt 100 tªn H¾c C©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 42	6	1	488	47	85	§Õn Nh¹n Th¹ch ®éng giÕt 150 tªn H¾c C©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 43	6	1	489	48	15	§Õn Thµnh §« giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 44	6	1	490	49	15	§Õn Thµnh §« giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 45	6	1	491	50	15	§Õn Thµnh §« giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 46	6	1	492	51	55	§Õn MËt ®¹o Tİn T­íng tù giÕt 50 tªn Hung T¨ng, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 47	6	1	493	52	55	§Õn MËt ®¹o Tİn T­íng tù giÕt 100 tªn Hung T¨ng, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 48	6	1	494	53	55	§Õn MËt ®¹o Tİn T­íng tù giÕt 150 tªn Hung T¨ng, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 49	6	1	495	54	15	§Õn Nga Mi ph¸i giÕt 50 con khØ ngùa, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 50	6	1	496	55	15	§Õn Nga Mi ph¸i giÕt 100 con khØ ngùa, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 51	6	1	497	56	15	§Õn Nga Mi ph¸i giÕt 150 con khØ ngùa, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 52	6	1	498	57	25	§Õn M·nh Hæ ®éng giÕt 50 con B¹ch S¸t Hæ, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 53	6	1	499	58	25	§Õn M·nh Hæ ®éng giÕt 100 con B¹ch S¸t Hæ, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 54	6	1	500	59	25	§Õn M·nh Hæ ®éng giÕt 150 con B¹ch S¸t Hæ, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 55	6	1	501	60	25	§Õn KiÕm C¸c T©y Nam giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 56	6	1	502	61	25	§Õn KiÕm C¸c T©y Nam giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 57	6	1	503	62	25	§Õn KiÕm C¸c T©y Nam giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 58	6	1	504	63	10	§Õn Giang T©n th«n giÕt 50 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 59	6	1	505	64	10	§Õn Giang T©n th«n giÕt 100 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 60	6	1	506	65	10	§Õn Giang T©n th«n giÕt 150 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 61	6	1	507	66	45	§Õn Thanh Thµnh s¬n  giÕt 50 con Kim §iªu, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 62	6	1	508	67	45	§Õn Thanh Thµnh s¬n  giÕt 100 con Kim §iªu, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 63	6	1	509	68	45	§Õn Thanh Thµnh s¬n  giÕt 150 con Kim §iªu, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 64	6	1	510	69	35	§Õn B¹ch V©n ®éng giÕt 50 tªn L­u L·ng, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 65	6	1	511	70	35	§Õn B¹ch V©n ®éng giÕt 100 tªn L­u L·ng, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 66	6	1	512	71	35	§Õn B¹ch V©n ®éng giÕt 150 tªn L­u L·ng, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 67	6	1	513	72	45	§Õn ThÇn Tiªn ®éng giÕt 50 tªn Tr­êng ®ao, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 68	6	1	514	73	45	§Õn ThÇn Tiªn ®éng giÕt 100 tªn Tr­êng ®ao, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 69	6	1	515	74	45	§Õn ThÇn Tiªn ®éng giÕt 150 tªn Tr­êng ®ao, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 70	6	1	516	75	55	§Õn H­ëng Thñy ®éng giÕt 50 tªn Lam C©n, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 71	6	1	517	76	55	§Õn H­ëng Thñy ®éng giÕt 100 tªn Lam C©n, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 72	6	1	518	77	55	§Õn H­ëng Thñy ®éng giÕt 150 tªn Lam C©n, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 73	6	1	519	78	15	§Õn §­êng M«n giÕt 50 con khØ ngùa, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 74	6	1	520	79	15	§Õn §­êng M«n giÕt 100 con khØ ngùa, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 75	6	1	521	80	15	§Õn §­êng M«n giÕt 150 con khØ ngùa, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 76	6	1	522	81	85	§Õn Phï Dung ®éng giÕt 50 tªn Phi Liªm, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 77	6	1	523	82	85	§Õn Phï Dung ®éng giÕt 100 tªn Phi Liªm, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 78	6	1	524	83	85	§Õn Phï Dung ®éng giÕt 150 tªn Phi Liªm, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 79	6	1	525	84	15	§Õn BiÖn Kinh giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 80	6	1	526	85	15	§Õn BiÖn Kinh giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 81	6	1	527	86	15	§Õn BiÖn Kinh giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 82	6	1	528	87	55	§Õn tÇng 1 ThiÕt Th¸p giÕt 50 tªn §ao binh, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 83	6	1	529	88	55	§Õn tÇng 1 ThiÕt Th¸p giÕt 100 tªn §ao binh, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 84	6	1	530	89	55	§Õn tÇng 1 ThiÕt Th¸p giÕt 150 tªn §ao binh, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 85	6	1	531	90	55	§Õn tÇng 2 ThiÕt Th¸p giÕt 50 tªn Th­¬ng binh, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 86	6	1	532	91	55	§Õn tÇng 2 ThiÕt Th¸p giÕt 50 tªn Th­¬ng binh, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 87	6	1	533	92	55	§Õn tÇng 2 ThiÕt Th¸p giÕt 50 tªn Th­¬ng binh, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 88	6	1	534	93	45	§Õn Phôc Ng­u s¬n t©y giÕt 50 con Sãi xanh, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 89	6	1	535	94	45	§Õn Phôc Ng­u s¬n t©y giÕt 100 con Sãi xanh, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 90	6	1	536	95	45	§Õn Phôc Ng­u s¬n t©y giÕt 150 con Sãi xanh, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 91	6	1	537	96	55	§Õn Thiªn T©m ®éng giÕt 50 tªn §o¶n Kİch, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 92	6	1	538	97	55	§Õn Thiªn T©m ®éng giÕt 100 tªn §o¶n Kİch, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 93	6	1	539	98	55	§Õn Thiªn T©m ®éng giÕt 150 tªn §o¶n Kİch, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 94	6	1	540	99	25	§Õn KiÕm C¸c Trung Nguyªn giÕt 50 con Sãi x¸m, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 95	6	1	541	100	25	§Õn KiÕm C¸c Trung Nguyªn giÕt 100 con Sãi x¸m, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 96	6	1	542	101	25	§Õn KiÕm C¸c Trung Nguyªn giÕt 150 con Sãi x¸m, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 97	6	1	543	102	15	§Õn Thiªn NhÉn  gi¸o  giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 98	6	1	544	103	15	§Õn Thiªn NhÉn  gi¸o  giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 99	6	1	545	104	15	§Õn Thiªn NhÉn  gi¸o  giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 100	6	1	546	105	15	§Õn tÇng 1 Thiªn NhÉn  gi¸o giÕt 50 con D¬i, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 101	6	1	547	106	15	§Õn tÇng 1 Thiªn NhÉn  gi¸o giÕt 100 con D¬i, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 102	6	1	548	107	15	§Õn tÇng 1 Thiªn NhÉn  gi¸o giÕt 150 con D¬i, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 103	6	1	549	108	15	§Õn ThÊt S¸t ®éng giÕt 50 tªn M·ng H¸n, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 104	6	1	550	109	15	§Õn ThÊt S¸t ®éng giÕt 100 tªn M·ng H¸n, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 105	6	1	551	110	15	§Õn ThÊt S¸t ®éng giÕt 150 tªn M·ng H¸n, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 106	6	1	552	111	10	§Õn Chu Tiªn trÊn giÕt 50 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 107	6	1	553	112	10	§Õn Chu Tiªn trÊn giÕt 100 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 108	6	1	554	113	10	§Õn Chu Tiªn trÊn giÕt 150 con Heo tr¾ng.
MËt ®å "§ång hµnh luyÖn cÊp" 109	6	1	555	114	10	§Õn Ba L¨ng huyÖn giÕt 50 con Kim Miªu.
MËt ®å "§ång hµnh luyÖn cÊp" 110	6	1	556	115	10	§Õn Ba L¨ng huyÖn giÕt 100 con Kim Miªu.
MËt ®å "§ång hµnh luyÖn cÊp" 111	6	1	557	116	10	§Õn Ba L¨ng huyÖn giÕt 150 con Kim Miªu.
MËt ®å "§ång hµnh luyÖn cÊp" 112	6	1	558	117	15	§Õn Nam Nh¹c trÊn giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 113	6	1	559	118	15	§Õn Nam Nh¹c trÊn giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 114	6	1	560	119	15	§Õn Nam Nh¹c trÊn giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 115	6	1	561	120	75	§Õn §µo Hoa Nguyªn giÕt 50 con H­¬u ®èm, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 116	6	1	562	121	75	§Õn §µo Hoa Nguyªn giÕt 100 con H­¬u ®èm, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 117	6	1	563	122	75	§Õn §µo Hoa Nguyªn giÕt 150 con H­¬u ®èm, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 118	6	1	564	123	65	§Õn Hoµnh s¬n  ph¸i giÕt 50 con Kim §iªu, §ång hµnh ®¼ng cÊp tõ 55 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 119	6	1	565	124	65	§Õn Hoµnh s¬n  ph¸i giÕt 100 con Kim §iªu, §ång hµnh ®¼ng cÊp tõ 55 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 120	6	1	566	125	65	§Õn Hoµnh s¬n  ph¸i giÕt 150 con Kim §iªu, §ång hµnh ®¼ng cÊp tõ 55 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 121	6	1	567	126	15	§Õn Thiªn V­¬ng  ®¶o s¬n  ®éng giÕt 50 con Kim Miªu, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 122	6	1	568	127	15	§Õn Thiªn V­¬ng  ®¶o s¬n  ®éng giÕt 100 con Kim Miªu, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 123	6	1	569	128	15	§Õn Thiªn V­¬ng  ®¶o s¬n  ®éng giÕt 150 con Kim Miªu, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 124	6	1	570	129	55	§Õn tÇng 1 §éng §×nh Hå giÕt 50 con c¸ sÊu, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 125	6	1	571	130	55	§Õn tÇng 1 §éng §×nh Hå giÕt 100 con c¸ sÊu, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 126	6	1	572	131	55	§Õn tÇng 1 §éng §×nh Hå giÕt 150 con c¸ sÊu, §ång hµnh ®¼ng cÊp tõ 45 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 127	6	1	573	132	65	§Õn Thanh Loa ®¶o giÕt 50 tªn Lam C©n, §ång hµnh ®¼ng cÊp tõ 55 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 128	6	1	574	133	65	§Õn Thanh Loa ®¶o giÕt 100 tªn Lam C©n, §ång hµnh ®¼ng cÊp tõ 55 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 129	6	1	575	134	65	§Õn Thanh Loa ®¶o giÕt 50 tªn Lam C©n, §ång hµnh ®¼ng cÊp tõ 55 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 130	6	1	576	135	75	§Õn Thanh Loa ®¶o s¬n  ®éng giÕt 50 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 131	6	1	577	136	75	§Õn Thanh Loa ®¶o s¬n  ®éng giÕt 100 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 132	6	1	578	137	75	§Õn Thanh Loa ®¶o s¬n  ®éng giÕt 150 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 133	6	1	579	138	25	§Õn Vò L¨ng s¬n  giÕt 50 con Th­¬ng ¦ng, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 134	6	1	580	139	25	§Õn Vò L¨ng s¬n  giÕt 100 con Th­¬ng ¦ng, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 135	6	1	581	140	25	§Õn Vò L¨ng s¬n  giÕt 150 con Th­¬ng ¦ng, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 136	6	1	582	141	25	§Õn B¹ch Thñy ®éng giÕt 50 tªn §ång Chïy, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 137	6	1	583	142	25	§Õn B¹ch Thñy ®éng giÕt 100 tªn §ång Chïy, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 138	6	1	584	143	25	§Õn B¹ch Thñy ®éng giÕt 150 tªn §ång Chïy, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 139	6	1	585	144	75	§Õn §¹i Tï ®éng giÕt 50 tªn §ång Chïy, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 140	6	1	586	145	75	§Õn §¹i Tï ®éng giÕt 100 tªn §ång Chïy, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
