# PC partner/pet source index. Catalog only; no runtime behavior claim.
# Source of truth: /var/www/vltksource_new/vl_update_27 scoped to settings/partner, settings/petsys, and partner/pet Lua script roots listed in SourceRoot.
SourceIndex	SourceRoot	RelativePath	Directory	FileName	Extension	Category	IsConfig	IsLua	SizeBytes	Sha256
29	Server 6.0/server/home_jxser/server1/settings/partner	level_exp.txt		level_exp.txt	txt	partner-config	1	0	1147	b64944e1ab565cb9a6a99ef1623b2ff1d49ae2d846d50608c523977d86ef1b05
30	Server 6.0/server/home_jxser/server1/settings/partner	partner_bag.ini		partner_bag.ini	ini	partner-config	1	0	481	d0e029275d254567c1ad38b52f97310ab99e274d3a9c50e491ba60508b901eea
31	Server 6.0/server/home_jxser/server1/settings/partner	partner_event.ini		partner_event.ini	ini	partner-config	1	0	23526	da9ba7c8a2ffc349ad7972c12a4717ee3c6aa103f6aebc54362eac7df64009a4
32	Server 6.0/server/home_jxser/server1/settings/partner	partner_setting.ini		partner_setting.ini	ini	partner-config	1	0	554	f679f459b85a14eda7436ace3bdceb48bdf6b950c2eb0cace1242df6bf125bc7
33	Server 6.0/server/home_jxser/server1/settings/partner	resist.txt		resist.txt	txt	partner-config	1	0	398	20cf84e495aa1b00e6de1c68b6aeb84c287684dc630e662278eefefdde6c3a77
34	Server 6.0/server/home_jxser/server1/settings/partner	skill_requirement.txt		skill_requirement.txt	txt	partner-config	1	0	907	437b68b128dbdfe4920f239ed896bc96e611f242957b1c719527e31cbd0c3484
35	Server 6.0/server/home_jxser/server1/settings/partner	talk/man_m.txt	talk	man_m.txt	txt	partner-config	1	0	21663	1f798536c099971e26380f72ba92959a1acfbac7afe1c68ea208fd49df45ef19
36	Server 6.0/server/home_jxser/server1/settings/partner	talk/man_m.txt.bak	talk	man_m.txt.bak	bak	partner-config	1	0	11918	7ff9900e237900d21012da11fb6238ce9a9cfe918c5a0a014f23d3e8d3c8c69f
37	Server 6.0/server/home_jxser/server1/settings/partner	talk/man_w.txt	talk	man_w.txt	txt	partner-config	1	0	19524	e7f67f81a7b7701687b3171c829222bce13c0850d319451838454b82fbe63554
38	Server 6.0/server/home_jxser/server1/settings/partner	talk/man_w.txt.bak	talk	man_w.txt.bak	bak	partner-config	1	0	10964	5b8e25f5455fa26ce277d896c3cd2562c63bfac07f352c91e24d7dcc13aad6ec
39	Server 6.0/server/home_jxser/server1/settings/partner	talk/partner_sex.txt	talk	partner_sex.txt	txt	partner-config	1	0	147	589aea9c0071813d9f91c99da5a6e012bffeba61bd1d9168f17f5c1492d23da8
40	Server 6.0/server/home_jxser/server1/settings/partner	talk/woman_m.txt	talk	woman_m.txt	txt	partner-config	1	0	17778	60785da5823fabcb092bcb38763ded189c406a31f41891598d10cd7787d176e4
41	Server 6.0/server/home_jxser/server1/settings/partner	talk/woman_m.txt.bak	talk	woman_m.txt.bak	bak	partner-config	1	0	9994	d6c7dd2d3444e349a26a5fad1bdd577b440dcd76d4cc5c3954247ff2942d5ce3
42	Server 6.0/server/home_jxser/server1/settings/partner	talk/woman_w.txt	talk	woman_w.txt	txt	partner-config	1	0	22600	a0055a94f2455d4e77329e53bfe3e8d2ba28cee4332a59488b5add38fb30210c
43	Server 6.0/server/home_jxser/server1/settings/partner	talk/woman_w.txt.bak	talk	woman_w.txt.bak	bak	partner-config	1	0	12424	5ef0e6dec934faf9d2e4bf8095782b93ad07eeadb553dc9b8469ca3e1d3629a6
44	Server 6.0/server/home_jxser/server1/settings/petsys	pet_skill_def.txt		pet_skill_def.txt	txt	pet-config	1	0	2955	5320f7d57386e9aeaff8d59d3daeb978ed4a6f8fe369ef3d70273f5d8842c057
45	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	aptitude_mode.txt		aptitude_mode.txt	txt	partner-config	1	0	1692	0fae297c69c78ab8fe009bc642081bc944ece9bf10fc586397450fceba0f89ae
46	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	aptitude_range.txt		aptitude_range.txt	txt	partner-config	1	0	845	90ff2048756d941f73c608f107b3823370b6837921028c96d0ab94bc0d5ef6da
47	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	attrib_range.txt		attrib_range.txt	txt	partner-config	1	0	1070	c88af98e4a5bd3b08c3a3ee3d7a245a6fa8bffcaaf49331c03cef6d3c0beb6f2
48	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	character.txt		character.txt	txt	partner-config	1	0	424	2df927631e17d6725b046e7623306e6394d6d70589348ff246a96781b464c309
49	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	feature.txt		feature.txt	txt	partner-config	1	0	183	7ca6e0438a6823ab2b600e39bbc62250d74d370df878a5efd488707ac81da5f0
50	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	init_skill.ini		init_skill.ini	ini	partner-config	1	0	1842	d61852f3e9916d21fe0315e0cec80be9c04f82c44026dd8509676e588a0356b4
51	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	level_exp.txt		level_exp.txt	txt	partner-config	1	0	1147	b64944e1ab565cb9a6a99ef1623b2ff1d49ae2d846d50608c523977d86ef1b05
52	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	partner_bag.ini		partner_bag.ini	ini	partner-config	1	0	481	d0e029275d254567c1ad38b52f97310ab99e274d3a9c50e491ba60508b901eea
53	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	partner_event.ini		partner_event.ini	ini	partner-config	1	0	23526	da9ba7c8a2ffc349ad7972c12a4717ee3c6aa103f6aebc54362eac7df64009a4
54	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	partner_setting.ini		partner_setting.ini	ini	partner-config	1	0	554	f679f459b85a14eda7436ace3bdceb48bdf6b950c2eb0cace1242df6bf125bc7
55	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	resist.txt		resist.txt	txt	partner-config	1	0	398	20cf84e495aa1b00e6de1c68b6aeb84c287684dc630e662278eefefdde6c3a77
56	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	skill_requirement.txt		skill_requirement.txt	txt	partner-config	1	0	907	437b68b128dbdfe4920f239ed896bc96e611f242957b1c719527e31cbd0c3484
57	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/man_m.txt	talk	man_m.txt	txt	partner-config	1	0	21663	1f798536c099971e26380f72ba92959a1acfbac7afe1c68ea208fd49df45ef19
58	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/man_m.txt.bak	talk	man_m.txt.bak	bak	partner-config	1	0	11918	7ff9900e237900d21012da11fb6238ce9a9cfe918c5a0a014f23d3e8d3c8c69f
59	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/man_w.txt	talk	man_w.txt	txt	partner-config	1	0	19524	e7f67f81a7b7701687b3171c829222bce13c0850d319451838454b82fbe63554
60	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/man_w.txt.bak	talk	man_w.txt.bak	bak	partner-config	1	0	10964	5b8e25f5455fa26ce277d896c3cd2562c63bfac07f352c91e24d7dcc13aad6ec
61	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/partner_sex.txt	talk	partner_sex.txt	txt	partner-config	1	0	147	589aea9c0071813d9f91c99da5a6e012bffeba61bd1d9168f17f5c1492d23da8
62	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/woman_m.txt	talk	woman_m.txt	txt	partner-config	1	0	17778	60785da5823fabcb092bcb38763ded189c406a31f41891598d10cd7787d176e4
63	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/woman_m.txt.bak	talk	woman_m.txt.bak	bak	partner-config	1	0	9994	d6c7dd2d3444e349a26a5fad1bdd577b440dcd76d4cc5c3954247ff2942d5ce3
64	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/woman_w.txt	talk	woman_w.txt	txt	partner-config	1	0	22600	a0055a94f2455d4e77329e53bfe3e8d2ba28cee4332a59488b5add38fb30210c
65	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/partner	talk/woman_w.txt.bak	talk	woman_w.txt.bak	bak	partner-config	1	0	12424	5ef0e6dec934faf9d2e4bf8095782b93ad07eeadb553dc9b8469ca3e1d3629a6
66	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/petsys	pet_skill_def.txt		pet_skill_def.txt	txt	pet-config	1	0	2955	5320f7d57386e9aeaff8d59d3daeb978ed4a6f8fe369ef3d70273f5d8842c057
67	Server 6.0/server/home_jxser/server1/script/partner	partner_action.lua		partner_action.lua	lua	partner-script	0	1	202	c6a96b58ae461865d110385b4fee19271f6c5f6c6dfc5f83427bbac9220b326c
68	Server 6.0/server/home_jxser/server1/script/partner	partner_levelup_client.lua		partner_levelup_client.lua	lua	partner-script	0	1	72	d5370434cb0942d5760e70362d414f7f1bb30c1f89c87734b9e92ecfe5871881
69	Server 6.0/server/home_jxser/server1/script/partner	partner_levelup_server.lua		partner_levelup_server.lua	lua	partner-script	0	1	2323	d45179a5e578064b335497bfa5add33cd4b2cdb547d2305db36c6562c54138d5
70	Server 6.0/server/home_jxser/server1/script/partner	partner_talk.lua		partner_talk.lua	lua	partner-script	0	1	10897	02347dbe9b74719e5a535f39788fc03d2ef3d545ba243afde3e159cb946d6ad9
71	Server 6.0/server/home_jxser/server1/script/task/partner	changge_people.lua		changge_people.lua	lua	partner-script	0	1	9369	52c00bc610b19d1b47afe5a02677014a9c268c4c80badc501318db32fa23e1c9
72	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_baisha.lua	education	partner_baisha.lua	lua	partner-script	0	1	3477	376124f727f8ebe8f528f0305a76ea5bbb5f606d8afa3e39ddbddd427a1e0dc4
73	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_educationpeople.lua	education	partner_educationpeople.lua	lua	partner-script	0	1	85286	f2c0253cdcac12ebe7b475f0e26aea9000e055172ecb749f1e2ec034a0a83cd8
74	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_heisha.lua	education	partner_heisha.lua	lua	partner-script	0	1	3476	f29dd23eb2fe9faf0c0b2a8df8078a905a5789f4381fef557c7858b4b58125cb
75	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_heishadizi.lua	education	partner_heishadizi.lua	lua	partner-script	0	1	3490	dbc035ce9df13d6c21db19382c2c2fc3b28f14a3e6a4ff389d3f92d717fdd09f
76	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_jiguanren1.lua	education	partner_jiguanren1.lua	lua	partner-script	0	1	3479	df7ed98b2a239873cfdd407a039c7064e10ec5b0c79a8a635f7b73e9f740df24
77	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_jiguanren2.lua	education	partner_jiguanren2.lua	lua	partner-script	0	1	3479	701d3e4a76540922f1bd7ce7c11bffdb71880ab71af5f314cf2c5c9a26cdd2e9
78	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_jiguanren3.lua	education	partner_jiguanren3.lua	lua	partner-script	0	1	3479	ae0b3528bb5ded4b191dea081ca3c2ff77d15f8838434ff9d0362afd760e4fd5
79	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_jiguanren4.lua	education	partner_jiguanren4.lua	lua	partner-script	0	1	3479	b484928c5833c31c1b4f65ecaa19b151c60f090159de878afdacf34297edf4c0
80	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_liangongmuzhuang.lua	education	partner_liangongmuzhuang.lua	lua	partner-script	0	1	3512	4108676294da1503ade26713a319328dc03ba4df19bebd70bb94ad3b1c1607c7
81	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_longba.lua	education	partner_longba.lua	lua	partner-script	0	1	3477	97840dc9c16303968e3afe54c5d7fc23c96a089fe77028a163d8e766d2f16c58
82	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_luqing.lua	education	partner_luqing.lua	lua	partner-script	0	1	3477	84b727f29c9ada4e00112d97a0b75db8f49da2214ba0a7247e30cd1bea1eb824
83	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_menshenquwan.lua	education	partner_menshenquwan.lua	lua	partner-script	0	1	3498	a65ab3d47abacf716ed2e2812180d951dd2df1b1966f3cac396a12ea1b8849c4
84	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_moxiaofeng.lua	education	partner_moxiaofeng.lua	lua	partner-script	0	1	3500	e8c26d7bb6e32760a6aa0ec89a60e61556ac799ce31abeab403e11e6d786a35b
85	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_niumanman.lua	education	partner_niumanman.lua	lua	partner-script	0	1	3441	6664681c109e3fcd26f5eb0d1660209317c78e91cba757a2ee77efee6a8d2be1
86	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_qiuyishui.lua	education	partner_qiuyishui.lua	lua	partner-script	0	1	3444	dc726d26dd0bdbc0d4cff89392d1611003c4577137afc975fe4975e3e494eba0
87	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_tangqiuyi.lua	education	partner_tangqiuyi.lua	lua	partner-script	0	1	3445	3ffc87359b90814719eee0a0bb301ce4f20ebfdc300e42e0d140493b1f159122
88	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_tangying.lua	education	partner_tangying.lua	lua	partner-script	0	1	3441	809d7da4eb67d182663e363540e0a85c61ee95effadbd480af47403422283e7c
89	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_xiaoding.lua	education	partner_xiaoding.lua	lua	partner-script	0	1	3457	6afa018572711842c41e37bf7c0d3ac1526bf19918f7135bf8687ffe91c47111
90	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_xiaowushadai.lua	education	partner_xiaowushadai.lua	lua	partner-script	0	1	3466	3aaf41dbcc156ff716aab86516216ade6086def7a967837b2a308f8bdc1ca30f
91	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_xieqinger.lua	education	partner_xieqinger.lua	lua	partner-script	0	1	3446	deba9aa94738cf54fd6b1fbca2c2b423f41814f501c2cb99b15fc795609d0edb
92	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_yunqueer.lua	education	partner_yunqueer.lua	lua	partner-script	0	1	3443	87e9f922cde8ed0748cf95d1e579b6ee186dfcbbdec76f4334084a59dd6befe0
93	Server 6.0/server/home_jxser/server1/script/task/partner	education/partner_zhuofeifan.lua	education	partner_zhuofeifan.lua	lua	partner-script	0	1	3449	3fa749b4e6589a3a89038b407ef5dbb570dc0201d0082eae8c2a93602706f358
94	Server 6.0/server/home_jxser/server1/script/task/partner	education/swordking_people.lua	education	swordking_people.lua	lua	partner-script	0	1	47199	f31df951ab04f53fde02bc81b875bdd4d472ef04e5b67a9b1a128d412dd02e96
95	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_master_main.lua	master	partner_master_main.lua	lua	partner-script	0	1	2570	5ca819fdb25320abdb260dc05c04e0cfc704997c10977b609f352b7f2dd6055a
96	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_master_main_01.lua	master	partner_master_main_01.lua	lua	partner-script	0	1	23565	c04a9d5758c9a8e83d32614d0438ecfd41a3f1a1051e3ba049e5ab36bf89892a
97	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_master_main_02.lua	master	partner_master_main_02.lua	lua	partner-script	0	1	19533	4ab705f6d42bc53d80271021620b070ba57f9677bbeb5a7d75050a95caaf6504
98	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_master_main_03.lua	master	partner_master_main_03.lua	lua	partner-script	0	1	19715	bc523210068dd9a28689e9973c83a4ea25647e6c65a5114883d0fd7cfd2070c3
99	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_master_main_04.lua	master	partner_master_main_04.lua	lua	partner-script	0	1	13583	b8aeb1a8237bf8b0b3485c1beb96f52f33a1236a3294d0bfffa30429b3eb7d00
100	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_master_main_05.lua	master	partner_master_main_05.lua	lua	partner-script	0	1	11981	46e1e9fbb2eded6b948a9d5287e471b2f95d5b7a76ed2822f1b0cf5bfb993954
101	Server 6.0/server/home_jxser/server1/script/task/partner	master/partner_mastertask.lua	master	partner_mastertask.lua	lua	partner-script	0	1	37155	db71034b7c83ed88bdc53370572dc81e96c60db247fe672bcd62444078eb2d9c
102	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_01_001.lua	npc	master_fight_01_001.lua	lua	partner-script	0	1	1831	0ce40444ba21e329add8c6fb813369a4bb440f66006a12a8ef723acb64fdde0c
103	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_01_002.lua	npc	master_fight_01_002.lua	lua	partner-script	0	1	1824	d274467d3e84eb2a1ed57c9aae401fb465bf627fdc6c13207cae011ce1dc523d
104	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_01_003.lua	npc	master_fight_01_003.lua	lua	partner-script	0	1	1824	031471bff3e96ffc293754603000d89a6f7cca32a47b2d0b3a100c02fa56a05f
105	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_01_004.lua	npc	master_fight_01_004.lua	lua	partner-script	0	1	1984	48dafae2f2f5ca211b63febe615542bd9520d5125beb01bf0ce5d713fbbe029c
106	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_01_005.lua	npc	master_fight_01_005.lua	lua	partner-script	0	1	1996	e794064eeaf02882478e615acfee88cc13b9b96d07f41b14707d4dbf3a6a339c
107	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_03_001.lua	npc	master_fight_03_001.lua	lua	partner-script	0	1	1974	0d599b0c30207a13db954a357c34cdfd63e0e9c56086c3ce4ede98a8cdef5c79
108	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_03_002.lua	npc	master_fight_03_002.lua	lua	partner-script	0	1	1972	05998636b0d48ae76a80521c745f87b3f12949bf8be780cacd939be51eea3cf3
109	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_03_003.lua	npc	master_fight_03_003.lua	lua	partner-script	0	1	1981	bb1ccedb85248a193eeee5e30eb7ec658031847011a8efb688fadc9ebba1e121
110	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_03_004.lua	npc	master_fight_03_004.lua	lua	partner-script	0	1	2119	01c473e3a6e1becb34b1824662d523250e93fd0ec891e2fcb97341bb66937302
111	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_04_001.lua	npc	master_fight_04_001.lua	lua	partner-script	0	1	1956	c560a43d7db9469ce9d24d8adc8db0d66840163dd91419cd52b740d0806a9c82
112	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_04_002.lua	npc	master_fight_04_002.lua	lua	partner-script	0	1	1948	2ff34ebf93adc53b1cf30beedaab3d32f7ceb482fde0e23b363a6e26a7f92885
113	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_04_003.lua	npc	master_fight_04_003.lua	lua	partner-script	0	1	1950	0cd097e80972a73bb138624e5a5559b436db7e02536e74f77f5928b8547c4ff2
114	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_04_004.lua	npc	master_fight_04_004.lua	lua	partner-script	0	1	1947	318093b9e99f979233be15e82c0efc0f1f96491955f27d84bc49baea22850711
115	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_fight_04_005.lua	npc	master_fight_04_005.lua	lua	partner-script	0	1	1963	cf952e13807a12a4e3cd10f9d3b448d75df9cfdfa17f21d46751e71af805ab21
116	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_goods_03_001.lua	npc	master_goods_03_001.lua	lua	partner-script	0	1	1744	ef479046e252fc831ff649463b7d486a0cac0dcd1bd391b66abf454e59525aae
117	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_01_001.lua	npc	master_talk_01_001.lua	lua	partner-script	0	1	2378	492455a560093b1ca19fe387bd69881a09d1f83b383c767138c55f82038bc9bd
118	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_01_002.lua	npc	master_talk_01_002.lua	lua	partner-script	0	1	1781	14b1ac635c08edf8d202d9278398d8b074c136a8c5082d09a1702b2a17dd072c
119	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_01_003.lua	npc	master_talk_01_003.lua	lua	partner-script	0	1	1783	6a34479bfbbee32b4fb645fb64dc5f3cb1825cdbf03b4b7f94413403ba43b615
120	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_03_001.lua	npc	master_talk_03_001.lua	lua	partner-script	0	1	1763	1378f302d5172882c94e4b5bc23cfe0bbdadcec45785e28860f63a2db426223e
121	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_03_002.lua	npc	master_talk_03_002.lua	lua	partner-script	0	1	1886	cd9e1ff3d3f1547692a733a198ef9924893695ecc48907b223cff67211df702c
122	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_04_001.lua	npc	master_talk_04_001.lua	lua	partner-script	0	1	1879	2dd08d593324c58757709e15351d6d301e4db2cca4dea42dab029a468339f442
123	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_05_001.lua	npc	master_talk_05_001.lua	lua	partner-script	0	1	1605	3f990cd81091e63d1db08e8a89c45ee5ea33a45caa4ee69204460f3027d5dc48
124	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_05_002.lua	npc	master_talk_05_002.lua	lua	partner-script	0	1	1993	fb18ea7dfaa09f29b6e5236999ad194c66ba6e11796268ee9ed4909f1b0ddd51
125	Server 6.0/server/home_jxser/server1/script/task/partner	npc/master_talk_05_003.lua	npc	master_talk_05_003.lua	lua	partner-script	0	1	2142	1ac78c3623ea93f3901657b478eef6887e532f6d70e335a079311576d35e9ed8
126	Server 6.0/server/home_jxser/server1/script/task/partner	partner_head.lua		partner_head.lua	lua	partner-script	0	1	76956	c2acc31b86bda3a908cc1deed4e756e2ca9c625df812d2dda1223ede3238208c
127	Server 6.0/server/home_jxser/server1/script/task/partner	partner_master_lib.lua		partner_master_lib.lua	lua	partner-script	0	1	4417	3677ea630d14e07699ae4d5dd4cbe0a4869b6fd8289720b41bbd548d8e02d2b3
