SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc	
C«ng kİch C«n bæng 		229		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	97	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\½ü³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
C«ng kİch Song chïy 		230		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	98	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\½ü³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
C«ng kİch tay kh«ng		231		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	99	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\½ü³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
Song ®aoc«ng kİch 		232		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	100	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\½ü³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
Tr­êng MÖnh hoµn		256		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	0	0	0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\changming-wan.lua	lifemax_v		lifemax_yan_v																																							"Néi 5 phót, Sinh lùc t¨ng 500 ®iÓm."	
Gia Bµo hoµn		257		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	0	0	0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\jiapao-wan.lua	fastwalkrun_p																																									"Néi 5 phót, tèc ®é di chuyÓn t¨ng 20%"	
§¹i Lùc hoµn		258		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	0	0	0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\dali-wan.lua	addphysicsdamage_v																																									"Néi 5 phót, c«ng kİch vËt lı t¨ng 100 ®iÓm."	
Cao ThiÓm hoµn		259		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\gaoshan-wan.lua	adddefense_v																																									"Néi 5 phót, nĞ tr¸ch t¨ng 500 ®iÓm."	
Cao Trung hoµn		260		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\gaozhong-wan.lua	attackratingenhance_v																																									"Néi 5 phót, nĞ tr¸ch t¨ng 500 ®iÓm."	
Phi Tèc hoµn		261		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\feisu-wan.lua	attackspeed_v		attackspeed_yan_v																																							"Néi 5 phót, tèc ®é c«ng kİch t¨ng 50 ®iÓm."	
B¨ng Phßng hoµn		262		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\bingfang-wan.lua	coldres_p		coldres_yan_p																																							"Néi 5 phót, phßng b¨ng t¨ng 50%."	
L«i Phßng hoµn		263		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\leifang-wan.lua	lightingres_p		lightingres_yan_p																																							"Néi 5 phót, phßng L«i t¨ng 50%."	
Háa Phßng hoµn		264		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\huofang-wan.lua	fireres_p		fireres_yan_p																																							"Néi 5 phót, phßng háa t¨ng 50%."	
§éc Phßng hoµn		265		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\dufang-wan.lua	poisonres_p		poisonres_yan_p																																							"Néi 5 phót, phßng ®éc t¨ng 50%."	
Hoa hång 1 	C«ng kİch néi c«ng 	284	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\Óê´òÀæ»¨.wav	0	0	0	2	0	300	15	3	5	2	6	118	-1	4	1	11	1	0	5		2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 2	C«ng kİch néi c«ng 	285	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	8	2	6	119	-1	5	1	11	1	0	5		2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	1	286	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 3	C«ng kİch néi c«ng 	286	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	22	2	6	120	-1	6	1	11	1	0	5		2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	1	287	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 4	C«ng kİch néi c«ng 	287	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	12	3	6	121	-1	7	1	11	1	0	5		2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	1	288	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 5	C«ng kİch néi c«ng 	288	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	3	10	3	6	122	-1	5	1	11	1	0	5		2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	1	289	45	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 6	C«ng kİch néi c«ng 	289	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	5	3	6	123	-1	5	1	11	1	0	5		2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
H¹nh VËn Tinh 	Vßng trßn  håi phôc thuéc tİnh	291	53	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr				51	2	1	2	0	0	0	0	0	2	7	292	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\special\xingyun-xing.lua	allres_p																																									t¨ng may m¾n trong thêi gian ng¾n 	
H¹nh VËn Tinh		292		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr		0	0	51	2	0	2	0	180	0	0	0	2	3	125	-1	1	1	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\xingyun-xing.lua	allres_p																																										
Hµo quang t¨ng kh¸ng tİnh 		313	2	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr				51	2	1	2	0	180	0	0	0	2	7	316	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	-2	0	0	0	0		0					1		0	-1	1	\script\skill\special\zhengjiakangxing.lua	allres_p																																									t¨ng may m¾n trong thêi gian ng¾n 	
Hµo quang t¨ng Sinh lùc vµ Néi lùc	Vßng trßn  håi phôc thuéc tİnh	314	53	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_12.spr				38	2	1	2	0	180	0	0	0	2	7	315	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\special\ÉúÃüÄÚÁ¦Ë«²¹.lua	lifereplenish_v		manareplenish_v																																							"§éc M«n T©m ph¸p, gióp ®ång ®éi t¨ng tèc ®é håi phôc Sinh lùc."	
Vßng trßn  t¨ng Sinh lùc vµ Néi lùc 		315	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_12.spr		0	0	38	2	0	2	0	180	0	0	0	2	3	137	-1	1	1	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\ÉúÃüÄÚÁ¦Ë«²¹.lua	lifereplenish_v		manareplenish_v																																								
Vßng trßn  t¨ng kh¸ng tİnh 		316	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr		0	0	51	2	0	2	0	180	0	0	0	2	3	137	-1	1	1	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\zhengjiakangxing.lua	allres_p																																										
B¸nh ch­ng H¹t dÎ 		401		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\401.lua	attackspeed_v		castspeed_v																																							"Néi trong 10 phót, tèc ®é c«ng kİch t¨ng 20%"	
B¸nh ch­ng ThŞt heo		402		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	0	0	0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\402.lua	lifemax_p		manamax_p																																							"Néi trong 10 phót, Sinh lùc vµ Néi lùc t¨ng100%"	
B¸nh ch­ng ThŞt bß 		403		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\403.lua	physicsres_p		coldres_p		lightingres_p		fireres_p		poisonres_p																																	"Néi trong 10 phót, t¨ng phßng thñ 5%"	
B¸nh ch­ng May m¾n 		410		2					67	3	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\404.lua	lucky_v																																									T¨ng may m¾n  	
Tiªn Th¶o Lé 		440		2					67	2	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	100		64800					0	0	0	-1	1	\script\skill\special\xiancaolu.lua	expenhance_p																																									t¨ng ®«i kinh  nghiÖm trong 1 giê 	
Thiªn s¬n  B¶o Lé 		441		2					67	2	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	10		64800					0	0	0	-1	1	\script\skill\special\tianshanyulu.lua	lucky_v																																									Néi 1 giê may m¾n t¨ng 10	
B¸ch Qu¶ Lé 		442		2					67	2	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	15		64800					0	0	0	-1	1	\script\skill\special\baiguolu.lua	allres_p		allres_yan_p																																							Néi 1 giê phßng thñ t¨ng 15	
B¹ch C©u hoµn		443		2					0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	15		64800					0	0	0	-1	1	\script\skill\special\baijuwan.lua	autoattacknpc																																									Néi 1 giê tù ®éng ®¶ qu¸i	
Phóc Tinh Cao ChiÕu 		444		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_tr_254_zhiyan.spr				67	2	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	5		32400					0	0	0	-1	1	\script\skill\special\fuxinggaozhao.lua	lucky_v																																									Néi nöa giê may m¾n t¨ng 5	
t¨ng ®é thôc luyÖn (%) 		452		2					67	2	0	0	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\status_enhance.lua	skillful_p																																										
t¨ng s¸t th­¬ng vËt lı néi c«ng 		453		2					67	2	0	0	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\manadamage_enhance.lua	addphysicsmagic_v																																										
t¨ng §éc s¸t néi c«ng 		454		2					67	2	0	0	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\manadamage_enhance.lua	addpoisonmagic_v																																										
t¨ng B¨ng s¸t néi c«ng 		455		2					67	2	0	0	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\manadamage_enhance.lua	addcoldmagic_v																																										
