Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
§¹o sÜ vâ bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-1.spr	24	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	30	30	31																		36	1							38	0	37	4
§¹o sÜ tr­êng bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-1.spr	24	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		150	2	0	30	60	60	31																		36	7							38	0	37	4
TÜnh y	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-2.spr	24	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		300	3	0	30	90	90	31																		36	13							38	0	37	4
Thanh Tïng Ph¸p bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-3.spr	24	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		450	4	0	30	120	120	31																		36	19							38	0	37	4
Thiªn s­ ®¹o bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-1.spr	24	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		800	5	0	30	150	150	31																		36	26							38	0	37	4
HuyÒn Vâ ph¸p y	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-2.spr	24	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	6	0	30	180	180	31																		36	33							38	0	37	4
ThÊt B¶o H¹ y	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1750	7	0	30	210	210	31																		36	40							38	0	37	4
Tam Thanh Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-1.spr	24	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2250	8	0	30	240	240	31																		36	46							38	0	37	4
Thiªn Niªn H¹c S­ëng	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-2.spr	24	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3000	9	0	30	270	270	31																		36	53							38	0	37	4
Ch©n Vò Th¸nh Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4000	10	0	30	300	300	31																		36	60							38	0	37	4
Cæn y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	80	80	31																		36	1							38	0		
TÕ Tróc Cæn y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		250	2	0	30	135	135	31																		36	7							38	0		
ThÝch Kh¸ch y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	3	0	30	190	190	31																		36	13							38	0		
Méng mÞ y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	4	0	30	245	245	31																		36	19							38	0		
V« S¾c y	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3000	5	0	30	300	300	31																		36	26							38	0		
Ng­ NhÉn y	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	6	0	30	355	355	31																		36	33							38	0		
Liªn V©n y	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		7500	7	0	30	410	410	31																		36	40							38	0		
Thiªn Méng y	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		10000	8	0	30	465	465	31																		36	46							38	0		
V« Dung KÝnh y	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		12500	9	0	30	520	520	31																		36	53							38	0		
Thiªn NhÉn MËt Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		15000	10	0	30	575	575	31																		36	60							38	0		
Th« Bè tr­êng bµo	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	50	50	31																		36	1							38	0		
Khinh C¸t sam	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	2	0	30	100	100	31																		36	7							38	0		
§o¹n bµo 	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	3	0	30	150	150	31																		36	13							38	0		
DËt HiÖp y	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1000	4	0	30	200	200	31																		36	19							38	0		
NhiÖm HiÖp phôc	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	5	0	30	250	250	31																		36	26							38	0		
L­u Th¸i Phôc	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3500	6	0	30	300	300	31																		36	33							38	0		
Ng©n T¬ Bµo	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4500	7	0	30	350	350	31																		36	40							38	0		
Tö Kim bµo	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		6000	8	0	30	400	400	31																		36	46							38	0		
Hµn S­¬ng bµo	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		8000	9	0	30	450	450	31																		36	53							38	0		
Gi¸ng Sa Bµo	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		10000	10	0	30	500	500	31																		36	60							38	0		
Táa Tö gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-1.spr	23	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	1	0	30	90	90	31																		36	1							38	0		
L­ìng §¸ng Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-1.spr	23	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	2	0	30	150	150	31																		36	7							38	0		
Minh Quang Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-2.spr	23	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	3	0	30	210	210	31																		36	13							38	0		
TÕ L©n gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-3.spr	23	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	4	0	30	270	270	31																		36	19							38	0		
¤ Chïy gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-1.spr	23	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	5	0	30	330	330	31																		36	26							38	0		
S¬n V¨n Tù gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-2.spr	23	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		8000	6	0	30	390	390	31																		36	33							38	0		
Gi¶i Tr¹i gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-3.spr	23	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		12500	7	0	30	450	450	31																		36	40							38	0		
Toan Nghª gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-1.spr	23	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		16000	8	0	30	510	510	31																		36	46							38	0		
Táa Tö Hoµng Kim gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-2.spr	23	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		20000	9	0	30	570	570	31																		36	53							38	0		
§­êng Nghª gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		25000	10	0	30	630	630	31																		36	60							38	0		
Lan Bè y	0	2	5	\spr\item\equip\armor\obj-ma-cloth16-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	20	20	31																		36	1							38	0		
Phæ th«ng C¸i y	0	2	5	\spr\item\equip\armor\obj-ma-cloth16-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		125	2	0	30	90	90	31																		36	7					39	6	38	0		
¸o ¨n mµy	0	2	5	\spr\item\equip\armor\obj-ma-cloth16-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		250	3	0	30	140	140	31																		36	13					39	6	38	0		
Thæ Ma C¸i y	0	2	5	\spr\item\equip\armor\obj-ma-cloth16-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	4	0	30	185	185	31																		36	19					39	6	38	0		
TÇm Ma C¸i y	0	2	5	\spr\item\equip\armor\obj-ma-cloth17-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	5	0	30	230	230	31																		36	26					39	6	38	0		
Háa Ma C¸i y	0	2	5	\spr\item\equip\armor\obj-ma-cloth17-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	6	0	30	270	270	31																		36	33					39	6	38	0		
ThËp ph­¬ng C¸i y	0	2	5	\spr\item\equip\armor\obj-ma-cloth17-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	7	0	30	315	315	31																		36	40					39	6	38	0		
B¸ch kÕt C¸i y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1600	8	0	30	360	360	31																		36	46					39	6	38	0		
TriÒn T¬ Thiªn KÕt phôc	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2000	9	0	30	405	405	31																		36	53					39	6	38	0		
V¹n L­u Quy T«ng Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	10	0	30	450	450	31																		36	60					39	6	38	0		
¸o v¶i th« 	0	2	6	\spr\item\equip\armor\obj-ma-cloth19-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	30	30	31																		36	1							38	0		
¸o v¶i th« 	0	2	6	\spr\item\equip\armor\obj-ma-cloth19-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	2	0	30	30	30	31																		36	1							38	0		
¸o v¶i th« 	0	2	6	\spr\item\equip\armor\obj-ma-cloth19-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	3	0	30	30	30	31																		36	1							38	0		
¸o v¶i th« 	0	2	6	\spr\item\equip\armor\obj-ma-cloth19-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	4	0	30	30	30	31																		36	1							38	0		
Hoµng CÈm ®o¶n y	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3000	5	0	30	150	150	31																		36	26							38	0		
Chøc gi¸p ®o¶n sam	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	6	0	30	180	180	31																		36	33							38	0		
HuyÒn Hoµng ®o¶n gi¸p	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		7500	7	0	30	210	210	31																		36	40							38	0		
BÝch Hoa Bµo	0	2	6	\spr\item\equip\armor\obj-ma-cloth21-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		10000	8	0	30	240	240	31																		36	46							38	0		
T­¬ng Nh­ bµo	0	2	6	\spr\item\equip\armor\obj-ma-cloth21-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		12500	9	0	30	270	270	31																		36	53							38	0		
TuyÒn Long bµo	0	2	6	\spr\item\equip\armor\obj-ma-cloth21-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		15000	10	0	30	300	300	31																		36	60							38	0		
Sa Ni phôc	0	2	7	\spr\item\equip\armor\obj-fm-cloth01-1.spr	22	2	3	<color><enter>¸o N÷ - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	50	50	31																		36	1							38	1		
T¨ng bµo 	0	2	7	\spr\item\equip\armor\obj-fm-cloth01-1.spr	22	2	3	<color><enter>¸o N÷ - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	2	0	30	100	100	31																		36	7							38	1		
B¸ch N¹p y	0	2	7	\spr\item\equip\armor\obj-fm-cloth01-2.spr	22	2	3	<color><enter>¸o N÷ - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	3	0	30	150	150	31																		36	13							38	1		
An ®µ héi	0	2	7	\spr\item\equip\armor\obj-fm-cloth01-3.spr	22	2	3	<color><enter>¸o N÷ - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	4	0	30	200	200	31																		36	19							38	1		
UÊt §a La T¨ng	0	2	7	\spr\item\equip\armor\obj-fm-cloth02-1.spr	22	2	3	<color><enter>¸o N÷ - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1000	5	0	30	250	250	31																		36	26							38	1		
T¨ng Hµi	0	2	7	\spr\item\equip\armor\obj-fm-cloth02-2.spr	22	2	3	<color><enter>¸o N÷ - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1500	6	0	30	300	300	31																		36	33							38	1		
NguyÖn B¹ch cµ sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth02-3.spr	22	2	3	<color><enter>¸o N÷ - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2000	7	0	30	350	350	31																		36	40							38	1		
Minh tÜnh cµ sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-1.spr	22	2	3	<color><enter>¸o N÷ - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	8	0	30	400	400	31																		36	46							38	1		
Kim L« cµ sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	<color><enter>¸o N÷ - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3750	9	0	30	450	450	31																		36	53							38	1		
ThÊt B¶o cµ sa 	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-3.spr	22	2	3	<color><enter>¸o N÷ - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	10	0	30	500	500	31																		36	60							38	1		
N÷ thøc ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth04-1.spr	24	2	3	<color><enter>¸o N÷ - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	30	30	31																		36	1							38	1	37	4
Tu Ch©n ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth04-1.spr	24	2	3	<color><enter>¸o N÷ - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		150	2	0	30	60	60	31																		36	7							38	1	37	4
Háa Hoµn ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth04-2.spr	24	2	3	<color><enter>¸o N÷ - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		300	3	0	30	90	90	31																		36	13							38	1	37	4
BÝch Hµ ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth04-3.spr	24	2	3	<color><enter>¸o N÷ - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		450	4	0	30	120	120	31																		36	19							38	1	37	4
B¸t qu¸i ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth05-1.spr	24	2	3	<color><enter>¸o N÷ - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		800	5	0	30	150	150	31																		36	26							38	1	37	4
Hµn Mai ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth05-2.spr	24	2	3	<color><enter>¸o N÷ - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	6	0	30	180	180	31																		36	33							38	1	37	4
V« Cùc §¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth05-3.spr	24	2	3	<color><enter>¸o N÷ - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1750	7	0	30	210	210	31																		36	40							38	1	37	4
§Þa Duyªn ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth06-1.spr	24	2	3	<color><enter>¸o N÷ - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2250	8	0	30	240	240	31																		36	46							38	1	37	4
B¨ng Tµm ®¹o y	0	2	8	\spr\item\equip\armor\obj-fm-cloth06-2.spr	24	2	3	<color><enter>¸o N÷ - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3000	9	0	30	270	270	31																		36	53							38	1	37	4
