DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
Thiªn Quang Hoa Vò M¹n Thiªn	0	76	657	9	3000000000	5000000000
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	77	989	6	3000000000	5000000000
Thiªn Quang S©m La Thóc §¸i	0	78	1212	6	3000000000	5000000000
S©m Hoang Phi Tinh §o¹t Hån	0	81	666	9	3000000000	5000000000
S©m Hoang Hån Gi¶o Yªu Thóc	0	83	1218	6	3000000000	5000000000
S©m Hoang Tinh VÉn Phi Lý 	0	85	1079	6	3000000000	5000000000
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	86	1085	6	3000000000	5000000000
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	87	843	6	3000000000	5000000000
§Þa Ph¸ch KhÊu T©m tr¹c	0	89	1224	6	3000000000	5000000000
§ång Cõu Gi¸ng Long C¸i Y	0	92	849	6	3000000000	5000000000
§ång Cõu TiÒm Long Yªu §¸i	0	93	1230	6	3000000000	5000000000
§ång Cõu Kh¸ng Long Hé UyÓn	0	94	855	6	3000000000	5000000000
§Þch Kh¸i Lôc Ngäc Tr­îng	0	96	675	9	3000000000	5000000000
§Þch Kh¸i TriÒn M·ng yªu ®¸i	0	98	1236	6	3000000000	5000000000
§Þch Kh¸i CÈu TÝch B× Hé uyÓn	0	99	1091	6	3000000000	5000000000
Ma S¸t Quû Cèc U Minh Th­¬ng	0	101	684	9	3000000000	5000000000
Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p	0	102	1097	6	3000000000	5000000000
Ma S¸t XÝch Ký Táa Yªu KhÊu	0	103	1254	6	3000000000	5000000000
Ma Hoµng Kim Gi¸p Kh«i	0	106	861	6	3000000000	5000000000
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	107	867	6	3000000000	5000000000
Ma Hoµng Khª Cèc Thóc yªu ®¸i	0	108	1242	6	3000000000	5000000000
Ma ThÞ LiÖt DiÖm Qu¸n MiÖn	0	111	1103	6	3000000000	5000000000
Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	114	1248	6	3000000000	5000000000
Ma ThÞ s¬n  H¶i Phi Hång Lý 	0	115	873	6	3000000000	5000000000
L¨ng Nh¹c Th¸i Cùc KiÕm	0	116	1010	9	3000000000	5000000000
L¨ng Nh¹c Né L«i Giíi	0	118	1260	6	3000000000	5000000000
L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	119	879	6	3000000000	5000000000
CËp Phong Ch©n Vò KiÕm	0	121	693	9	3000000000	5000000000
CËp Phong Tam Thanh Phï 	0	122	885	6	3000000000	5000000000
CËp Phong HuyÒn Ti Tam §o¹n cÈm	0	123	1266	6	3000000000	5000000000
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt	0	126	702	9	3000000000	5000000000
S­¬ng Tinh Thanh Phong Lò ®¸i	0	128	1272	6	3000000000	5000000000
S­¬ng Tinh Thiªn Tinh B¨ng Tinh thñ 	0	129	1109	6	3000000000	5000000000
L«i Khung Hµn Tung B¨ng B¹ch quan	0	131	1004	6	3000000000	5000000000
L«i Khung Thiªn §Þa Hé phï 	0	132	891	6	3000000000	5000000000
L«i Khung Phong L«i Thanh CÈm ®¸i	0	133	1278	6	3000000000	5000000000
Vô ¶o B¾c Minh §¹o qu¸n	0	136	897	6	3000000000	5000000000
Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi	0	139	1284	6	3000000000	5000000000
Vô ¶o Tung Phong TuyÕt ¶nh ngoa	0	140	1115	6	3000000000	5000000000
§Þnh Quèc Thanh Sa Tr­êng Sam	0	159	927	4	3000000000	5000000000
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	160	783	6	3000000000	5000000000
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	161	931	4	3000000000	5000000000
§Þnh Quèc Tö §»ng Hé uyÓn	0	162	935	4	3000000000	5000000000
§Þnh Quèc Ng©n Tµm Yªu ®¸i	0	163	939	4	3000000000	5000000000
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	164	747	6	3000000000	5000000000
An Bang Cóc Hoa Th¹ch ChØ hoµn	0	165	753	6	3000000000	5000000000
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	166	759	6	3000000000	5000000000
An Bang Kª HuyÕt Th¹ch Giíi ChØ 	0	167	765	6	3000000000	5000000000
HiÖp Cèt ThiÕt HuyÕt Sam	0	186	903	4	3000000000	5000000000
HiÖp Cèt §a T×nh Hoµn	0	187	907	4	3000000000	5000000000
HiÖp Cèt §an T©m Giíi	0	188	911	4	3000000000	5000000000
HiÖp Cèt T×nh ý KÕt	0	189	771	6	3000000000	5000000000
Nhu T×nh C©n Quèc Nghª Th­êng	0	190	777	6	3000000000	5000000000
Nhu T×nh Thôc N÷ H¹ng Liªn	0	191	915	4	3000000000	5000000000
Nhu T×nh  Phông Nghi Giíi ChØ 	0	192	919	4	3000000000	5000000000
Nhu T×nh  TuÖ T©m Ngäc Béi	0	193	923	4	3000000000	5000000000
§¹i M· Hæ TrÝch Tinh hoµn	0	194	711	6	3000000000	5000000000
§¹i M· Hæ §­êng Nghª gi¸p	0	195	717	6	3000000000	5000000000
§¹i M· Hæ Lôc PhØ Thóy Hé Th©n phï 	0	196	723	6	3000000000	5000000000
§¹i M· Hæ B¾c Kinh Chi Méng	0	197	540	9	3000000000	5000000000
§¹i M· Hæ B¹ch Kim yªu ®¸i	0	198	729	6	3000000000	5000000000
§¹i M· Hæ Thiªn Tµm Hé UyÓn	0	199	735	6	3000000000	5000000000
§¹i M· Hæ Ngò S¾c Ngäc Béi	0	200	549	9	3000000000	5000000000
§¹i M· Hæ Thiªn Tµm Ngoa	0	201	741	6	3000000000	5000000000
§¹i M· Hæ Nha §iÓn Chi Hån	0	202	558	9	3000000000	5000000000
§¹i M· Hæ B«n L«i Toµn Long th­¬ng	0	203	567	9	3000000000	5000000000
Hång ¶nh ThÈm Viªn UyÓn	0	204	1292	6	3000000000	5000000000
Hång ¶nh KiÕm Bµi	0	205	1298	6	3000000000	5000000000
Hång ¶nh Môc Tóc	0	206	1304	6	3000000000	5000000000
Hång ¶nh Tô Chiªu	0	207	1310	6	3000000000	5000000000
BÝch H¶i Hoµn Ch©u Vò Liªn	0	52	1496	9	3000000000	5000000000
BÝch H¶i Khiªn TÕ ChØ Hoµn	0	55	1505	9	3000000000	5000000000
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	74	1514	9	3000000000	5000000000
B¨ng Hµn NguyÖt ¶nh Ngoa	0	75	1523	9	3000000000	5000000000
§Þch Kh¸i Th¶o Gian Th¹ch Giíi	0	100	1532	9	3000000000	5000000000
§Þch Kh¸i Cöu §¹i C¸i Y	0	97	1541	9	3000000000	5000000000
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	90	1550	9	3000000000	5000000000
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	88	1559	9	3000000000	5000000000
®éng S¸t B¹ch Kim §iªu Long Giíi	0	0	1568	9	3000000000	5000000000
®éng S¸t B¹ch Kim Tó Phông Giíi	0	0	1577	9	3000000000	5000000000
®éng S¸t B¹ch Ngäc Cµn Kh«n Béi	0	0	1586	9	3000000000	5000000000
®éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	0	0	1595	9	3000000000	5000000000
Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1604	9	3000000000	5000000000
Phôc Ma HuyÒn Hoµng Cµ Sa	0	7	1613	9	3000000000	5000000000
H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	19	1622	9	3000000000	5000000000
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	17	1631	9	3000000000	5000000000
CËp Phong Thóy Ngäc HuyÒn Hoµng Béi	0	124	1640	9	3000000000	5000000000
CËp Phong Thanh Tïng Ph¸p Giíi	0	125	1649	9	3000000000	5000000000
KÕ NghiÖp Háa V©n Kú L©n thñ 	0	24	1658	9	3000000000	5000000000
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	25	1667	9	3000000000	5000000000
L«i Khung Cöu Thiªn DÉn L«i Giíi	0	135	1676	9	3000000000	5000000000
L«i Khung Linh Ngäc ¤n L«i	0	134	1685	9	3000000000	5000000000
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng giíi	0	120	1703	9	3000000000	5000000000
L¨ng Nh¹c V« Ng· §¹o Bµo	0	117	1712	9	3000000000	5000000000
Méng Long §¹t Ma T¨ng Hµi	0	5	1721	9	3000000000	5000000000
Méng Long PhËt Ph¸p HuyÒn Béi	0	4	1730	9	3000000000	5000000000
Minh ¶o Thanh HiÕt ChØ Hoµn	0	63	1739	9	3000000000	5000000000
Minh ¶o Song Hoµn Xµ Hµi	0	65	1748	9	3000000000	5000000000
Ma Hoµng §¨ng §¹p Ngoa	0	110	1757	9	3000000000	5000000000
Ma Hoµng HuyÕt Y Thó Tr¹c	0	109	1766	9	3000000000	5000000000
Ma S¸t Cö Háa LiÖu Thiªn UyÓn	0	104	1775	9	3000000000	5000000000
Ma S¸t V©n Long Thæ Ch©u Giíi	0	105	1784	9	3000000000	5000000000
Ma ThÞ LÖ Ma PhÖ T©m Liªn	0	112	1793	9	3000000000	5000000000
Ma ThÞ NghiÖp Háa U Minh Giíi	0	113	1802	9	3000000000	5000000000
Tª Hoµng Thóy Ngäc ChØ Hoµn	0	50	1811	9	3000000000	5000000000
Tª Hoµng TuÖ T©m Khinh Sa Y	0	47	1820	9	3000000000	5000000000
S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	0	82	1829	9	3000000000	5000000000
S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	84	1838	9	3000000000	5000000000
S­¬ng Tinh Ng¹o S­¬ng §¹o Bµo	0	127	1847	9	3000000000	5000000000
S­¬ng Tinh Phong B¹o ChØ Hoµn	0	130	1856	9	3000000000	5000000000
Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	15	1865	9	3000000000	5000000000
Tø Kh«ng Tö Kim Cµ Sa	0	12	1874	9	3000000000	5000000000
Thiªn Quang Phong B¹o Hµn ThiÕt Tr¹c	0	79	1883	9	3000000000	5000000000
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	80	1892	9	3000000000	5000000000
§ång Cõu Phi Long §Çu Hoµn	0	91	1901	9	3000000000	5000000000
§ång Cõu KiÕn Long Ban ChØ 	0	95	1910	9	3000000000	5000000000
V« TrÇn Tõ Bi Ngäc Bµn ChØ 	0	43	1919	9	3000000000	5000000000
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	44	1928	9	3000000000	5000000000
V« Gian B¹ch Ngäc Bµn ChØ 	0	35	1937	9	3000000000	5000000000
V« Gian Thanh Phong Truy Y	0	32	1946	9	3000000000	5000000000
V« Ma B¨ng Tinh ChØ Hoµn	0	38	1955	9	3000000000	5000000000
V« Ma Tö Kh©m Cµ Sa	0	37	1964	9	3000000000	5000000000
Vô ¶o Ki B¸n Phï Chó 	0	137	1973	9	3000000000	5000000000
Vô ¶o Thóc T©m ChØ Hoµn	0	138	1982	9	3000000000	5000000000
U Lung XÝch HiÕt MËt Trang	0	57	1991	9	3000000000	5000000000
U Lung Ng©n ThiÒm Hé UyÓn	0	59	2000	9	3000000000	5000000000
Ngù Long TuyÖt MÖnh ChØ Hoµn	0	30	2009	9	3000000000	5000000000
Ngù Long TÊn Phong Hé UyÓn	0	29	2018	9	3000000000	5000000000
Chó Ph­îc B¨ng Háa §éc Cèt Ngoa	0	70	2027	9	3000000000	5000000000
Chó Ph­îc U ¶o ChØ Hoµn	0	68	2036	9	3000000000	5000000000
