Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	Ò©Æ·ÊôÐÔ1	ÊôÐÔ1ÊýÖµ	ÊôÐÔ1Ê±¼ä(ÓÎÏ·Ñ­»·Êý£©	Ò©Æ·ÊôÐÔ2	ÊôÐÔ2ÊýÖµ	ÊôÐÔ2Ê±¼ä	Ò©Æ·ÊôÐÔ3	ÊôÐÔ3ÊýÖµ	ÊôÐÔ3Ê±¼ä	Ò©Æ·ÊôÐÔ4	ÊôÐÔ4ÊýÖµ	ÊôÐÔ4Ê±¼ä	Ò©Æ·ÊôÐÔ5	ÊôÐÔ5ÊýÖµ	ÊôÐÔ5Ê±¼ä
Tr­êng MÖnh hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, sinh lùc t¨ng tèi ®a: 500 ®iÓm<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	1	0	85	500	6000												
Gia Bµo hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, tèc ®é di chuyÓn t¨ng: 20%<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	2	0	111	20	6000												
§¹i Lùc hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, c«ng kÝch vËt lý t¨ng: 100 ®iÓm<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	3	0	121	100	6000												
Cao ThiÓm hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, t¨ng ®é c«ng kÝch chÝnh x¸c: 500 ®iÓm<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	4	0	150	500	6000												
Cao Trung hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, t¨ng ®é c«ng kÝch chÝnh x¸c: 500 ®iÓm<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	5	0	166	500	6000												
Phi Tèc hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, tèc ®é c«ng kÝch t¨ng 50%.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	1	0	115	50	6000												
B¨ng Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, t¨ng phßng ngù: 50%<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	2	0	105	50	6000												
L«i Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, t¨ng phßng L«i: 50%<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	3	0	103	50	6000												
Háa Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, t¨ng phßng háa: 50%<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	4	0	102	50	6000												
§éc Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"<enter>Néi 5 phót, t¨ng phßng ®éc: 50%<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		5	5	0	101	50	6000												
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	<enter>Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	1	0	153	500	100												
Thiªn s¬n  Håi ThÇn ®an	1	7	0	\spr\item\medecine\obj-potion30.spr	369	1	1	"<enter>Tiªn s¬n  b¶o d­îc, ®ång thêi håi phôc Sinh lùc vµ Néi lùc <enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		2000	2	0	153	350	100	154	350	100									
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	<enter>Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	3	0	153	500	100												
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	<enter>Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	4	0	153	500	100												
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	<enter>Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	5	0	153	500	100												
Ngò hoa ngäc lé hoµn ®Æc biÖt	1	8	0	\spr\item\medecine\obj-potion13.spr	311	1	1	"<enter>Tiªn ®¬n diÖu d­îc, kh«i phôc hoµn toµn sinh lùc vµ néi lùc trong nh¸y m¾t.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		12000	1	0	153	1000	100	154	500	100									
Cöu chuyÓn hoµn hån ®an ®Æc biÖt	1	8	0	\spr\item\medecine\obj-potion03.spr	310	1	1	"<enter>Linh ®¬n diÖu d­îc, c¶i tö hoµn sinh. Phôc håi sinh lùc 10000 ®iÓm.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		8000	2	0	153	1000	100												
Tóc c©n tiÕp m¹ch t¸n	1	8	0	\spr\item\medecine\obj-potion31.spr	311	1	1	<enter>Lo¹i linh d­îc gióp c¶i tö hoµn sinh.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	3	0	153	1000	100	154	500	100									
Håi Thiªn T¸i T¹o §¬n	1	8	0	\spr\item\script\caiyao\htzzd.spr	311	1	1	"<enter>Linh ®¬n ®­îc chÕ tõ kú d­îc, ®ång thêi håi phôc sinh lùc néi lùc nhiÒu nhÊt 6000 ®iÓm.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		100	4	0	153	750	80	154	750	80									
