√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ
T“ Mi C´n 	0	0	2	\spr\item\equip\closeweapon\obj-staff02.spr	11	2	3	<color><enter>BÊng - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		750	2	0	28	12	12	29	23	23	167	-10	-10	31												36	9										
Bµn Hoa C´n 	0	0	2	\spr\item\equip\closeweapon\obj-staff02.spr	11	2	3	<color><enter>BÊng - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1500	3	0	28	18	18	29	35	35	167	-10	-10	31												36	18										
HÊ V‹ C´n 	0	0	2	\spr\item\equip\closeweapon\obj-staff03.spr	11	2	3	<color><enter>BÊng - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2500	4	0	28	25	25	29	46	46	167	-10	-10	31												36	27										
Ti™u BÊng	0	0	2	\spr\item\equip\closeweapon\obj-staff04.spr	11	2	3	<color><enter>BÊng - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		3750	5	0	28	31	31	29	58	58	167	-10	-10	31												36	36										
Can BÊng	0	0	2	\spr\item\equip\closeweapon\obj-staff11.spr	11	1	4	<color><enter>BÊng - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		5000	6	0	28	37	37	29	70	70	167	-10	-10	31												36	45										
Lang Nha BÊng	0	0	2	\spr\item\equip\closeweapon\obj-staff12.spr	11	1	4	<color><enter>BÊng - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		7500	7	0	28	44	44	29	81	81	167	-10	-10	31												36	54										
HÁn Thi’t BÊng	0	0	2	\spr\item\equip\closeweapon\obj-staff12.spr	11	1	4	<color><enter>BÊng - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10500	8	0	28	50	50	29	93	93	167	-10	-10	31												36	63										
Gi∏c H∂i BÊng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	<color><enter>BÊng - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		14000	9	0	28	56	56	29	105	105	167	-10	-10	31												36	72										
Kim C´ BÊng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	<color><enter>BÊng - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		18000	10	0	28	63	63	29	117	117	167	-10	-10	31												36	81										
Thi’t Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear11.spr	12	1	3	<color><enter>Th≠¨ng - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		50	1	0	28	1	1	29	14	14	167	30	30	31												36	0										
Tr≠Íng Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear21.spr	12	2	4	<color><enter>Th≠¨ng - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		750	2	0	28	3	3	29	28	28	167	30	30	31												36	9										
ßi”m Cang Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear01.spr	12	1	4	<color><enter>Th≠¨ng - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1500	3	0	28	4	4	29	43	43	167	30	30	31												36	18										
C©u Li™m Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear22.spr	12	2	4	<color><enter>Th≠¨ng - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2500	4	0	28	6	6	29	57	57	167	30	30	31												36	27										
Hoµn tˆ Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear02.spr	12	1	4	<color><enter>Th≠¨ng - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		3750	5	0	28	8	8	29	72	72	167	30	30	31												36	36										
B∏o v‹ th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear03.spr	12	1	4	<color><enter>Th≠¨ng - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		5000	6	0	28	9	9	29	86	86	167	30	30	31												36	45										
Nhπn Linh Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear13.spr	12	1	3	<color><enter>Th≠¨ng - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		7500	7	0	28	11	11	29	100	100	167	30	30	31												36	54										
TÛ CËt Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear23.spr	12	2	4	<color><enter>Th≠¨ng - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10500	8	0	28	12	12	29	115	115	167	30	30	31												36	63										
H·a Nhu÷ Th≠¨ng	0	0	3	\spr\item\equip\closeweapon\obj-spear14.spr	12	1	3	<color><enter>Th≠¨ng - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		14000	9	0	28	14	14	29	129	129	167	30	30	31												36	72										
Ph∏ Thi™n K›ch	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	<color><enter>Th≠¨ng - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		18000	10	0	28	16	16	29	144	144	167	30	30	31												36	81										
To∏n ß«u chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha01.spr	13	2	2	<color><enter>ChÔy - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		50	1	0	28	5	5	29	15	15	167	-30	-30	31												36	0										
B∏t L®ng chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha11.spr	13	2	3	<color><enter>ChÔy - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		600	2	0	28	10	10	29	30	30	167	-30	-30	31												36	9										
NgÚ Tinh chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha03.spr	13	2	2	<color><enter>ChÔy - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1350	3	0	28	15	15	29	45	45	167	-30	-30	31												36	18										
T›ch Lﬁch chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha03.spr	13	2	2	<color><enter>ChÔy - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2250	4	0	28	20	20	29	60	60	167	-30	-30	31												36	27										
L≠Óng Ng©n chÔy 	0	0	4	\spr\item\equip\closeweapon\obj-adha02.spr	13	2	2	<color><enter>ChÔy - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		3750	5	0	28	25	25	29	75	75	167	-30	-30	31												36	36										
Lang Nha chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha12.spr	13	2	3	<color><enter>ChÔy - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		4500	6	0	28	30	30	29	90	90	167	-30	-30	31												36	45										
Li÷t T©m chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha12.spr	13	2	3	<color><enter>ChÔy - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		6750	7	0	28	35	35	29	105	105	167	-30	-30	31												36	54										
Kim Qua chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha13.spr	13	2	3	<color><enter>ChÔy - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10000	8	0	28	40	40	29	120	120	167	-30	-30	31												36	63										
Nghi÷t Long chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha14.spr	13	2	3	<color><enter>ChÔy - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		13500	9	0	28	45	45	29	135	135	167	-30	-30	31												36	72										
Ph∏ Thi™n chÔy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	<color><enter>ChÔy - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		16000	10	0	28	50	50	29	150	150	167	-30	-30	31												36	81										
Nga Mi Th›ch	0	0	5	\spr\item\equip\closeweapon\obj-adsd01.spr	14	2	2	<color><enter>Song ßao - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		50	1	0	28	5	5	29	8	8	167	20	20	31												36	0										
T n Thi’t Song ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd11.spr	14	2	3	<color><enter>Song ßao - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		600	2	0	28	11	11	29	16	16	167	20	20	31												36	9										
Nguy÷t Nha Th›ch	0	0	5	\spr\item\equip\closeweapon\obj-adsd01.spr	14	2	2	<color><enter>Song ßao - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1350	3	0	28	16	16	29	25	25	167	20	20	31												36	18										
Hæc Bπch Song ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd02.spr	14	2	2	<color><enter>Song ßao - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2400	4	0	28	22	22	29	33	33	167	20	20	31												36	27										
Tuy’t Hoa L≠Óng Ng©n ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd12.spr	14	2	3	<color><enter>Song ßao - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		3750	5	0	28	28	28	29	42	42	167	20	20	31												36	36										
Uy™n ¶¨ng ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd02.spr	14	2	2	<color><enter>Song ßao - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		5400	6	0	28	33	33	29	50	50	167	20	20	31												36	45										
PhÔ Dung ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd03.spr	14	2	2	<color><enter>Song ßao - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		7500	7	0	28	39	39	29	58	58	167	20	20	31												36	54										
HÂ ßi÷p Song ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd11.spr	14	2	3	<color><enter>Song ßao - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10000	8	0	28	44	44	29	67	67	167	20	20	31												36	63										
Thu VÚ ßao	0	0	5	\spr\item\equip\closeweapon\obj-adsd13.spr	14	2	3	<color><enter>Song ßao - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		12500	9	0	28	50	50	29	75	75	167	20	20	31												36	72										
Th´n NhÀt Tr∑m	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	<color><enter>Song ßao - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		15000	10	0	28	56	56	29	84	84	167	20	20	31												36	81										
Th´ S¨ Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\01.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		100	1	0	28	5	5	29	15	15	167	30	30	31												36	0										
Th´ng DÙng Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\02.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1200	2	0	28	10	10	29	30	30	167	30	30	31												36	9										
ThÒy Tinh Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\03.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2700	3	0	28	15	15	29	45	45	167	30	30	31												36	18										
PhÊ Th´ng Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\04.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		4800	4	0	28	20	20	29	60	60	167	30	30	31												36	27										
ßπi L˘c Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\05.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		7500	5	0	28	25	25	29	75	75	167	30	30	31												36	36										
Thi’t Quy“n Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\06.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10800	6	0	28	30	30	29	90	90	167	30	30	31												36	45										
§ Kim Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\07.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		15000	7	0	28	35	35	29	105	105	167	30	30	31												36	54										
Huy“n Thi’t Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\08.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		20000	8	0	28	40	40	29	120	120	167	30	30	31												36	63										
H·a V©n Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\09.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		25000	9	0	28	45	45	29	135	135	167	30	30	31												36	72										
MÀt V©n Tri“n ThÒ 	0	0	6	\spr\mel\trienthu\10.spr	34	1	2	<color><enter>Tri“n ThÒ - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		30000	10	0	28	50	50	29	150	150	167	30	30	31												36	81										
