Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Hoµng D­¬ng Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	2	0	30	30	30	31																		36	7							38	0	37	4
Cµn Kh«n kÕt	0	7	1	\spr\item\equip\cap\obj-ma-cap04-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	3	0	30	45	45	31																		36	13							38	0	37	4
Th¸i cùc Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		350	4	0	30	60	60	31																		36	19							38	0	37	4
B¸t Qu¸i C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	5	0	30	75	75	31																		36	26							38	0	37	4
Cµn Kh¶m C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		750	6	0	30	90	90	31																		36	33							38	0	37	4
Ngò Nh¹c Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1000	7	0	30	105	105	31																		36	40							38	0	37	4
Th­îng Thanh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	8	0	30	120	120	31																		36	46							38	0	37	4
Tinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1600	9	0	30	135	135	31																		36	53							38	0	37	4
Ngò l·o qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2000	10	0	30	150	150	31																		36	60							38	0	37	4
Tróc L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	40	40	31																		36	1							38	0		
Ng­ L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		150	2	0	30	68	68	31																		36	7							38	0		
ThÈm L« Th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		300	3	0	30	96	96	31																		36	13							38	0		
Chu Tao th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	4	0	30	124	124	31																		36	19							38	0		
HuyÒn Sa DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		800	5	0	30	152	152	31																		36	26							38	0		
Thanh S¸t diÖn tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1200	6	0	30	170	170	31																		36	33							38	0		
Nh©n B× DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1750	7	0	30	192	192	31																		36	40							38	0		
Ngò §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2400	8	0	30	220	220	31																		36	46							38	0		
B¸ch §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3200	9	0	30	248	248	31																		36	53							38	0		
Tu La Ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4000	10	0	30	276	276	31																		36	60							38	0		
Nho C©n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		60	1	0	30	40	40	31																		36	1							38	0		
TiÕn Kiªn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		160	2	0	30	70	70	31																		36	7							38	0		
ViÖt Mü Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		375	3	0	30	100	100	31																		36	13							38	0		
Phi YÕn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	4	0	30	130	130	31																		36	19							38	0		
§iªu ThiÒn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	5	0	30	160	160	31																		36	26							38	0		
Lang Tµ Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	6	0	30	190	190	31																		36	33							38	0		
Anh L¹c Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1850	7	0	30	220	220	31																		36	40							38	0		
Tö Kim ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	8	0	30	250	250	31																		36	46							38	0		
ThÊt B¶o ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3000	9	0	30	280	280	31																		36	53							38	0		
Th«ng Thiªn Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3750	10	0	30	310	310	31																		36	60							38	0		
§ång Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		185	1	0	30	45	45	31																		36	1							38	0		
B¸n DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		305	2	0	30	75	75	31																		36	7							38	0		
Song DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	29	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		560	3	0	30	105	105	31																		36	13							38	0		
ThiÕt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	4	0	30	135	135	31																		36	19							38	0		
Tinh §ång §Çu Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-1.spr	29	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1350	5	0	30	165	165	31																		36	26							38	0		
Cang kh«i 	0	7	4	\spr\item\equip\cap\obj-ma-cap14-2.spr	29	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1850	6	0	30	195	195	31																		36	33							38	0		
Ng©n Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2550	7	0	30	225	225	31																		36	40							38	0		
Tinh Cang Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-1.spr	29	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3250	8	0	30	255	255	31																		36	46							38	0		
Kim Kh«i 	0	7	4	\spr\item\equip\cap\obj-ma-cap15-2.spr	31	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4050	9	0	30	285	285	31																		36	53							38	0		
YÓm NhËt kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	10	0	30	315	315	31																		36	60							38	0		
Ph¸ Bè C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		30	1	0	30	25	25	31																		36	1							38	0		
B¸t Ph­¬ng C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		80	2	0	30	50	50	31																		36	7							38	0		
Tiªu Diªu C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		185	3	0	30	75	75	31																		36	13							38	0		
Lé Thiªn C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		300	4	0	30	100	100	31																		36	19							38	0		
B¹ch Thùc Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		450	5	0	30	125	125	31																		36	26							38	0		
L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	6	0	30	150	150	31																		36	33							38	0		
Song TÇng L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	7	0	30	175	175	31																		36	40							38	0		
TÝn nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	8	0	30	200	200	31																		36	46							38	0		
T×nh nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1500	9	0	30	225	225	31																		36	53							38	0		
TrÝch Tinh hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1850	10	0	30	250	250	31																		36	60							38	0		
Bè C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		60	1	0	30	20	20	31																		36	1							38	0		
B×nh §Ønh C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		160	2	0	30	40	40	31																		36	7							38	0		
Bè Nhóng C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		375	3	0	30	60	60	31																		36	13							38	0		
Nh¹n Vò C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	4	0	30	80	80	31																		36	19							38	0		
Y T¬ Ph¸t §¸i	0	7	6	\spr\item\equip\cap\obj-ma-cap20-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	5	0	30	100	100	31																		36	26							38	0		
Kim T¬ Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	6	0	30	120	120	31																		36	33							38	0		
Chu Khëi Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1850	7	0	30	140	140	31																		36	40							38	0		
Doanh Gi¸c M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	8	0	30	160	160	31																		36	46							38	0		
Tµm T¬ M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3000	9	0	30	180	180	31																		36	53							38	0		
¤ Tµm M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3750	10	0	30	200	200	31																		36	60							38	0		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	25	25	31																		36	1							38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		125	2	0	30	50	50	31																		36	7							38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		250	3	0	30	75	75	31																		36	13							38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	4	0	30	100	100	31																		36	19							38	1		
Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-1.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	5	0	30	125	125	31																		36	26							38	1		
Thanh Anh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-2.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	6	0	30	150	150	31																		36	33							38	1		
Thiªn Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-3.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	7	0	30	175	175	31																		36	40							38	1		
XÝch ¶nh ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-1.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1600	8	0	30	200	200	31																		36	46							38	1		
V« T­íng Ph¸p Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2000	9	0	30	225	225	31																		36	53							38	1		
Quan ¢m Ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-3.spr	28	2	2	<color><enter>Nãn N÷ - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	10	0	30	250	250	31																		36	60							38	1		
Ng©n Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	20	20	31																		36	1							38	1		
Ng©n Liªm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	2	0	30	40	40	31																		36	7							38	1		
Ng©n LiÖm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-2.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	3	0	30	60	60	31																		36	13							38	1		
Ng©n Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-3.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		350	4	0	30	80	80	31																		36	19							38	1		
Kim Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-1.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	5	0	30	100	100	31																		36	26							38	1		
Kim Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-2.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		750	6	0	30	120	120	31																		36	33							38	1		
Kim Bé Dao	0	7	8	\spr\item\equip\cap\obj-fm-cap05-3.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1000	7	0	30	140	140	31																		36	40							38	1		
PhØ Thóy Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap06-1.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	8	0	30	160	160	31																		36	46							38	1		
Th¸i cùc Qu¸n	0	7	8	\spr\item\equip\cap\obj-fm-cap06-2.spr	30	2	2	<color><enter>Nãn N÷ - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1600	9	0	30	180	180	31																		36	53							38	1		
