Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Du Diªn Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist11.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0																						36	1	38	0								
Kinh B¹ch Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	2	0																						36	7	38	0								
§µo Hoa Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist13.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		450	3	0																						36	14	38	0								
Mai Hoa  Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		800	4	0																						36	20	38	0								
Ngò S¾c Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist15.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	5	0																						36	27	38	0								
Thanh Ngäc Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist16.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1800	6	0																						36	34	38	0								
Bİch Ngäc Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2450	7	0																						36	40	38	0								
MÆc Ngäc Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3200	8	0																						36	47	38	0								
Hoµng Ngäc Ngäc Béi 	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4050	9	0																						36	54	38	0								
D­¬ng Chi B¹ch Ngäc	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	<color><enter>Ngäc Béi Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	10	0																						36	60	38	0								
