QId	Tip	Content	ChooseCount	Price	Choose1	Choose2	Choose3	Choose4	Choose5	Choose6	Choose7	Choose8	Choose9	Choose10	BeginSaleTime	EndSaleTime	BeginPayForTime	EndPayForTime	Answer	BonusRate	MaxBonus
8	17 nhËt ®o¹t kim c¹nh sai 	N÷ tö béi kiÕm c¸ nh©n h¹ng môc, nam tö 200 mÔ m«n b¬i b­ím qu¸n qu©n, n÷ tö lòy cÇu bØ t¸i 	8	5000	§µm tuyÕt, Phil phæ t­, Trung Hoa Trung Quèc th¾ng MÜ Quèc 	§µm tuyÕt, nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc th¾ng MÜ Quèc 	Nh÷ng tuyÓn thñ kh¸c, Phil phæ t­, Trung Hoa Trung Quèc th¾ng MÜ Quèc 	§µm tuyÕt, Phil phæ t­, Trung Hoa Trung Quèc phô MÜ Quèc 	§µm tuyÕt, nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc phô MÜ Quèc 	Nh÷ng tuyÓn thñ kh¸c, Phil phæ t­, Trung Hoa Trung Quèc phô MÜ Quèc 	Nh÷ng tuyÓn thñ kh¸c, nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc th¾ng MÜ Quèc 	Nh÷ng tuyÓn thñ kh¸c, nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc phô MÜ Quèc 			408160700	408162400	408200900	408222200	6	50	10000000
10	18 nhËt ®o¹t kim c¹nh sai 	Nam tö thÓ thao c¸ nh©n toµn n¨ng, nam tö 69 kg cÊp cö t¹ qu¸n qu©n 	10	5000	D­¬ng oai, tr­¬ng n­íc chÝnh 	§»ng H¶i t©n, tr­¬ng n­íc chÝnh 	Paul - h¾c mç, tr­¬ng n­íc chÝnh 	D­¬ng oai, Russia tuyÓn thñ 	§»ng H¶i t©n, Russia tuyÓn thñ 	Paul - h¾c mç, Russia tuyÓn thñ 	D­¬ng oai, nh÷ng tuyÓn thñ kh¸c 	§»ng H¶i t©n, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, tr­¬ng n­íc chÝnh 	C¸i kh¸c kh¶ n¨ng 	408170700	408172400	408200900	408222200	3	50	10000000
12	19 nhËt ®o¹t kim c¹nh sai 	N÷ tö 200 mÔ b¬i Õch, nam tö cö t¹ 77 kg cÊp qu¸n qu©n 	8	5000	§ñ huy, chiªm hóc c­¬ng 	Jones, chiªm hóc c­¬ng 	Bill ®øc, chiªm hóc c­¬ng 	§ñ huy, nh÷ng tuyÓn thñ kh¸c 	Jones, nh÷ng tuyÓn thñ kh¸c 	Bill ®øc, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, chiªm hóc c­¬ng 	C¸i kh¸c kh¶ n¨ng 			408180700	408182400	408200900	408222200	6	50	10000000
14	20 nhËt ®o¹t kim c¹nh sai 	N÷ tö nhu ®¹o 78 kg ®· ngoµi cÊp, bãng bµn n÷ song trËn chung kÕt, n÷ tö bÝnh sµng qu¸n qu©n 	10	5000	T«n phóc minh, v­¬ng nam / tr­¬ng di ninh, hoµng san s¸n 	T«n phóc minh, bß kiÕm phong / qu¸ch nh¶y, hoµng san s¸n 	T«n phóc minh, nh÷ng tuyÓn thñ kh¸c, hoµng san s¸n 	Nh÷ng tuyÓn thñ kh¸c, v­¬ng nam / tr­¬ng di ninh, hoµng san s¸n 	Nh÷ng tuyÓn thñ kh¸c, bß kiÕm phong / qu¸ch nh¶y, hoµng san s¸n 	T«n phóc minh, v­¬ng nam / tr­¬ng di ninh, nh÷ng tuyÓn thñ kh¸c 	T«n phóc minh, bß kiÕm phong / qu¸ch nh¶y, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, v­¬ng nam / tr­¬ng di ninh, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, bß kiÕm phong / qu¸ch nh¶y, nh÷ng tuyÓn thñ kh¸c 	C¸i kh¸c kh¶ n¨ng 	408190700	408192400	408210900	408222200	8	50	10000000
16	21 nhËt ®o¹t kim c¹nh sai 	A-ten thÞnh héi bãng bµn n÷ ®an, n÷ tö 100 mÔ trËn chung kÕt qu¸n qu©n 	10	5000	Tr­¬ng di ninh, a long 	Tr­¬ng di ninh, t¹p Lan §øc 	Tr­¬ng di ninh, Wiliam mç t­ 	Tr­¬ng di ninh, l¹p nÆc oa 	Tr­¬ng di ninh, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, a long 	Nh÷ng tuyÓn thñ kh¸c, t¹p Lan §øc 	Nh÷ng tuyÓn thñ kh¸c, Wiliam mç t­ 	Nh÷ng tuyÓn thñ kh¸c, l¹p nÆc oa 	C¸i kh¸c kh¶ n¨ng 	408200700	408202400	408220900	408232200	5	50	10000000
18	22 nhËt ®o¹t kim c¹nh sai 	Nam tö 100 mÔ trËn chung kÕt, n÷ tö cao ®ª giang qu¸n qu©n 	9	5000	C¸ch l©m, Trung Hoa Trung Quèc n÷ tuyÓn thñ 	B¶o Will, Trung Hoa Trung Quèc n÷ tuyÓn thñ 	C¸ch l©m, ho¾c ng­¬i kim na 	B¶o Will, ho¾c ng­¬i kim na 	C¸ch l©m, nh÷ng tuyÓn thñ kh¸c 	B¶o Will, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc tuyÓn thñ 	Nh÷ng tuyÓn thñ kh¸c, ho¾c ng­¬i kim na 	C¸i kh¸c kh¶ n¨ng 		408210700	408212400	408230900	408242200	9	50	10000000
20	23 nhËt ®o¹t kim c¹nh sai 	Ngùa gç vµ xµ kÐp vµ ®iÒn kinh n÷ tö 20 km thi ®i bé qu¸n qu©n 	10	5000	Lý tiÓu b»ng, lý tiÓu b»ng, v­¬ng lÖ b×nh 	Lý tiÓu b»ng, lý tiÓu b»ng, tèng hång ®Ñp 	Lý tiÓu b»ng, lý tiÓu b»ng, Nicola còng oa 	Nh÷ng tuyÓn thñ kh¸c, lý tiÓu b»ng, v­¬ng lÖ b×nh 	Nh÷ng tuyÓn thñ kh¸c, lý tiÓu b»ng, tèng hång ®Ñp 	Nh÷ng tuyÓn thñ kh¸c, lý tiÓu b»ng, Nicola còng oa 	Lý tiÓu b»ng, nh÷ng tuyÓn thñ kh¸c, v­¬ng lÖ b×nh 	Lý tiÓu b»ng, nh÷ng tuyÓn thñ kh¸c, tèng hång ®Ñp 	Lý tiÓu b»ng, nh÷ng tuyÓn thñ kh¸c, Nicola còng oa 	C¸i kh¸c kh¶ n¨ng 	408220700	408222400	408240900	408252200	10	50	10000000
22	24 nhËt ®o¹t kim c¹nh sai 	N÷ tö nh¶y sµo, nam tö nh¶y cÇu ba th­íc b¶n quyÕt qu¸n qu©n 	10	5000	PhÝ ¸o ph¸p nÆc oa, t¸t « ®inh 	Y t©n ba còng oa, t¸t « ®inh 	PhÝ ¸o ph¸p nÆc oa, bµnh bét 	Y t©n ba còng oa, bµnh bét 	PhÝ ¸o ph¸p nÆc oa, ®a bè Rose khoa kh¾c 	Y t©n ba còng oa, ®a bè Rose khoa kh¾c 	PhÝ ¸o ph¸p nÆc oa, nh÷ng tuyÓn thñ kh¸c 	Y t©n ba còng oa, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, bµnh bét 	C¸i kh¸c kh¶ n¨ng 	408230700	408232400	408250900	408262200	4	50	10000000
24	25 nhËt ®o¹t kim c¹nh sai 	N÷ tö t¹ xÝch trong tranh tµi n­íc cã thÓ kh«ng thu ®­îc huy ch­¬ng, lµ ai thu ®­îc qu¸n qu©n 	7	5000	N¨ng, cè nguyªn, sê L«i NÆc 	N¨ng, tr­¬ng v¨n tó, sê L«i NÆc 	N¨ng, cè nguyªn, nh÷ng tuyÓn thñ kh¸c 	N¨ng, cè nguyªn, nh÷ng tuyÓn thñ kh¸c 	BÊt n¨ng, sê L«i NÆc 	BÊt n¨ng, nh÷ng tuyÓn thñ kh¸c 	C¸i kh¸c kh¶ n¨ng 				408240700	408242400	408260900	408272200	6	50	10000000
26	26 nhËt ®o¹t kim c¹nh sai 	Nh¶y cÇu n÷ tö ba th­íc b¶n trËn chung kÕt, nam tö ng­êi s¾t tam h¹ng trËn chung kÕt qu¸n qu©n 	10	5000	Qu¸ch tinh tinh, MÜ Quèc tuyÓn thñ 	Ng« mÉn hµ, MÜ Quèc tuyÓn thñ 	Qu¸ch tinh tinh, Australia tuyÓn thñ 	Ng« mÉn hµ, Australia tuyÓn thñ 	Qu¸ch tinh tinh, Canada tuyÓn thñ 	Ng« mÉn hµ, Canada tuyÓn thñ 	Qu¸ch tinh tinh, Anh quèc tuyÓn thñ 	Ng« mÉn hµ, Anh quèc tuyÓn thñ 	Qu¸ch tinh tinh, nh÷ng quèc gia kh¸c tuyÓn thñ 	C¸i kh¸c kh¶ n¨ng 	408250700	408252400	408270900	408282200	9	50	10000000
28	27 nhËt ®o¹t kim c¹nh sai 	Nam 110 mÔ v­ît rµo c¶n trËn chung kÕt, n÷ tö 10000 mÔ trËn chung kÕt qu¸n qu©n 	10	5000	L­u bay liÖng, t«n anh kiÖt 	A lan - ­íc hµn tèn, t«n anh kiÖt 	L­u bay liÖng, l¹p §øc Kh¾c lý phu 	A lan - ­íc hµn tèn, l¹p §øc Kh¾c lý phu 	L­u bay liÖng, A §øc l«i 	A lan - ­íc hµn tèn, A §øc l«i 	L­u bay liÖng, nh÷ng tuyÓn thñ kh¸c 	A lan - ­íc hµn tèn, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, t«n anh kiÖt 	C¸i kh¸c kh¶ n¨ng 	408260700	408262400	408280900	408292200	7	50	10000000
30	28 nhËt ®o¹t kim c¹nh sai 	 nam tö nh¶y cÇu m­êi th­íc thai, tÜnh thñy nam tö 500 mÔ hai ng­êi b× ®Ünh qu¸n qu©n 	10	5000	§iÒn l­îng, hung nha lîi 	H¸ch ng­¬i mç, hung nha lîi 	Sanders kh¨n ®Õ, hung nha lîi 	§iÒn l­îng, Poland 	H¸ch ng­¬i mç, Poland 	Sanders kh¨n ®Õ, Poland 	§iÒn l­îng, §øc 	H¸ch ng­¬i mç, §øc 	Sanders kh¨n ®Õ, §øc 	C¸i kh¸c kh¶ n¨ng 	408270700	408272400	408290900	408302200	10	50	10000000
32	29 nhËt ®o¹t kim c¹nh sai 	Ch¹y Ma-ra-t«ng bØ t¸i qu¸n qu©n 	7	5000	Kª-ni-a 	Ma Rèc 	T©y Ban Nha 	Italy 	Bå §µo Nha 	NhËt B¶n 	Nh÷ng quèc gia kh¸c tuyÓn thñ 				408280700	408282400	408300900	408312200	4	50	10000000
1000	Trung Hoa Trung Quèc huy ch­¬ng con sè 	Trung Hoa Trung Quèc ¸o vËn ®¹i biÓu ®éi ë 2004 niªn A-ten thÞnh héi th­îng t­íng xong vµng b¹c huy ch­¬ng ®ång con sè 	7	5000	Kª-ni-a 	Ma Rèc 	T©y Ban Nha 	Italy 	Bå §µo Nha 	NhËt B¶n 	Nh÷ng quèc gia kh¸c tuyÓn thñ 				408130700	408210700	408300900	408312200	921888	50	10000000
2001		GÆp l¹i (®¶ mét ch÷)	4	0	Ng÷ 	Quan 	B»ng 	Chóng 											2	50	10000000
2002		ChÝn giê (®¶ mét ch÷)	4	0	NhËn 	Phong 	Chö 	Hoµn 											4	50	10000000
2003		Mét ngµy (®¶ mét ch÷)	4	0	§iÒn 	Phu 	Phu 	Cò 											4	50	10000000
2004		Giäng nãi (®¶ mét ch÷)	4	0	Méng 	Am 	Th©u 	ChuÕ 											2	50	10000000
2005		Liªu trai (®¶ mét ch÷)	4	0	Ph¸ch 	Méc 	KiÖt 	S¸ 											4	50	10000000
2006		Hai th¸ng b×nh (®¶ mét ch÷)	4	0	B»ng 	BÐo 	VÒ 	Khoa 											1	50	10000000
2007		NhÞ tiÓu th­ (®¶ mét ch÷)	4	0	T«n 	Muéi 	T­ 	§ñ 											3	50	10000000
2008		TuÕ m¹t gÆp (®¶ mét ch÷)	4	0	TÞnh 	§au nhøc 	Ch¸o 	T­¬ng 											1	50	10000000
2009		§¸nh §«ng dÑp B¾c (®¶ mét ch÷)	4	0	Phã 	ThiÕn 	Chøng 	KiÕt 											3	50	10000000
2010		Ng­êi ng­êi nh­êng chç ngåi (®¶ mét ch÷)	4	0	Täa 	Trang 	Tõ 	Tóng 											2	50	10000000
2011		§øng hai ngµy (®¶ mét ch÷)	4	0	ChuyÖn 	¸m 	Béc 	Tµm 											2	50	10000000
2012		Néi c¸c t¶ t­íng (®¶ mét ch÷)	4	0	Xinh ®Ñp 	DÞ 	C¸ch 	TiÔu 											3	50	10000000
2013		Thñ chu ®·i thá (®¶ mét ch÷)	4	0	Kha 	LiÔu 	Th¾ng 	§·i 											2	50	10000000
2014		Phµm ¶nh lät vµo trong tÇm m¾t (®¶ mét ch÷)	4	0	Tang 	Nhµn 	§Þch 	H¹m 											4	50	10000000
2015		Tróc tiÕp theo thÊt (®¶ mét ch÷)	4	0	TÊn 	ThÝch 	Gi¶n 	T©n 											3	50	10000000
2016		B¸n xÊu hæ liÕc trém (®¶ mét ch÷)	4	0	 	ThiÖn 	QuËt 	Loan 											1	50	10000000
2017		Tr¨m n¨m rõng tróc (®¶ mét ch÷)	4	0	Trï 	Tróc 	B¸ch 	Kháa 											1	50	10000000
2018		Giang §«ng nhÞ kiÒu (®¶ mét ch÷)	4	0	èc 	KiÒu 	Giang 	Ngu 											4	50	10000000
2019		Ngµy mai nhËt thùc toµn phÇn (®¶ mét ch÷)	4	0	NguyÖt 	Hång 	B»ng 	H¹o 											1	50	10000000
2020		§Èy ra nh©n l¹i tíi (®¶ mét ch÷)	4	0	H÷u 	Nghiªn 	Lai 	Than 											4	50	10000000
2021		BÕn ®ß d­ mÆt trêi lÆn (®¶ mét ch÷)	4	0	Khöu tay 	MÞch 	Hi 	Thøc 											2	50	10000000
2022		Hoµng h«n ngµy r­ìi r¬i (®¶ mét ch÷)	4	0	Danh 	¸ 	ChØ 	Vâng 											1	50	10000000
2023		Chim c«ng ®«ng nam phi (®¶ mét ch÷)	4	0	Tiªm 	BÕ 	T«n 	Gi¸p 											3	50	10000000
2024		Dông quyÒn ®Çu nãi (®¶ mét ch÷)	4	0	§èt 	Dù 	HØ 	Ng¾n 											2	50	10000000
2025		NguyÖt û chi, chim quyªn ®Ò (®¶ mét ch÷)	4	0	B»ng 	T¸ng 	Hoµng 	T« 											1	50	10000000
2026		Tr¨ng tµn chiÕu xÐo ¶nh thµnh ®«i (®¶ mét ch÷)	4	0	Tå 	Sõng 	§a 	B»ng 											3	50	10000000
2027		Ký trung l­ìng gÆp thËt t×nh nh©n (®¶ mét ch÷)	4	0	C­¬ng 	Bµnh 	R­¬ng 	Tiªu 											1	50	10000000
2028		Vi c«ng ph¸n ®o¸n s¸ng suèt khÝ « sa (®¶ mét ch÷)	4	0	Méc 	ChØ 	Lo liÖu 	Phong 											1	50	10000000
2029		§¾c nguyÖt l©u tiÒn tr­íc ph¶i nguyÖt (®¶ mét ch÷)	4	0	MÔ 	¢m 	Cung 	B»ng 											4	50	10000000
2030		T­¬ng t­ nh©n ®¸o kÕt ®ång t©m (®¶ mét ch÷)	4	0	C¸p 	HuyÒn 	Toa 	Phi 											2	50	10000000
2031		Ýt tiÓu ly gia l·o ®¹i quay vÒ (®¶ mét ch÷)	4	0	KhÝ 	Tiªm 	ThiÖn 	N¨ng 											2	50	10000000
2032		Võa ®i NhËt B¶n tin tøc v« (®¶ mét ch÷)	4	0	H¹o 	YÓu 	Khung 	H¹nh 											2	50	10000000
2033		Trong giã kho¶ng kh«ng hËu lËp chung tiªu (®¶ mét ch÷)	4	0	T¸i 	Tóc 	Hång 	TuÇn 											2	50	10000000
2034		NhËp chë r­ng r­ng t©y b¾c ng¾m (®¶ mét ch÷)	4	0	TØnh 	Uy 	T­ 	Mang 											4	50	10000000
2035		L©u biªn kiÒu b¹n cµnh liÔu lay ®éng (®¶ mét ch÷)	4	0	L­¬ng 	§¾c 	§¹n 	B©n 											4	50	10000000
2036		Hoµng Hµ trªn d­íi thÊt thao thao (®¶ mét ch÷)	4	0	Kho¶ng kh«ng 	Kú 	TÝch 	Phµn 											2	50	10000000
2037		NguyÖt dêi hoa ¶nh ®¸o ®µi cao (®¶ mét ch÷)	4	0	Hoµn 	SÝ 	¸n 	N¨ng 											4	50	10000000
2038		NÆng loan nói non trïng ®iÖp mét cäng cá (®¶ mét ch÷)	4	0	LËt 	Tø 	TruÊt 	B¶o 											3	50	10000000
2039		Ph¹m tiÕn ch¹ng v¹ng khø bê n­íc (®¶ mét ch÷)	4	0	UyÓn 	Thay ®æi 	Tóng 	Thanh 											1	50	10000000
2040		Tr¨ng non tam tinh chiÕu chi ®Çu (®¶ mét ch÷)	4	0	Cøu 	Th¶i 	Kh«n 	TÕ 											2	50	10000000
2041		Trong th«n cæ thô chi b¸n kh« (®¶ mét ch÷)	4	0	Hµ 	T­ëng 	Cæ 	MÝnh 											3	50	10000000
2042		NhÊt c©u tr¨ng non tµ treo ngän c©y (®¶ mét ch÷)	4	0	Hµo 	Lóa 	NghiÖp 	HuyÒn 											2	50	10000000
2043		BiÖt hËu, t©n c©y cá, ®èi kh«ng nguyÖt (®¶ mét ch÷)	4	0	Kho¸i 	DÜnh 	T©n 	TËp 											1	50	10000000
2044		TÝch nhËt tõ biÖt hËu, thËp chë ph­¬ng t­¬ng phïng (®¶ mét ch÷)	4	0	N¹i 	H¹nh 	YÓu 	Khæ 											4	50	10000000
2045		Tµn tinh tam hai ®iÓm, c« gia nh¹n ngang trêi phi (®¶ mét ch÷)	4	0	Chã 	Lôc 	C¸i 	ThÞ 											2	50	10000000
2046		Khuª trung xinh ®Ñp nh©n, xÊu hæ ®Ýnh uyªn minh (®¶ mét ch÷)	4	0	Nhuém 	Tæng 	Nãi 	Oa 											4	50	10000000
