source_id,relation,target_id
OBJ-P1-001,has_requirement,FR-INV-001
FR-INV-001,verified_by,TEST-UI-004
FR-INV-001,verified_by,TEST-ECON-001
OBJ-P1-001,has_requirement,FR-INV-002
FR-INV-002,verified_by,TEST-ECON-001
OBJ-P1-001,has_requirement,FR-EQP-001
FR-EQP-001,verified_by,TEST-ECON-001
OBJ-P1-001,has_requirement,FR-LOOT-001
FR-LOOT-001,verified_by,TEST-ECON-001
OBJ-P1-001,has_requirement,FR-NPC-001
FR-NPC-001,verified_by,TEST-LUA-001
OBJ-P2-001,has_requirement,FR-QST-001
FR-QST-001,verified_by,TEST-LUA-001
FR-QST-001,verified_by,TEST-ECON-001
OBJ-P2-001,has_requirement,FR-PATH-001
FR-PATH-001,verified_by,TEST-CHANNEL-001
OBJ-P1-001,has_requirement,FR-AUTO-001
FR-AUTO-001,verified_by,TEST-SIM-001
OBJ-P2-001,has_requirement,FR-AUTO-002
FR-AUTO-002,verified_by,TEST-SIM-001
OBJ-P2-001,has_requirement,FR-MNT-001
FR-MNT-001,verified_by,TEST-CATALOG-001
OBJ-P3-001,has_requirement,FR-PET-001
FR-PET-001,verified_by,TEST-CATALOG-001
OBJ-P3-001,has_requirement,FR-CHAT-001
FR-CHAT-001,verified_by,TEST-LOAD-001
OBJ-P2-001,has_requirement,FR-TEAM-001
FR-TEAM-001,verified_by,TEST-CHANNEL-001
OBJ-P3-001,has_requirement,FR-TRD-001
FR-TRD-001,verified_by,TEST-ECON-001
OBJ-P1-001,has_requirement,FR-SHOP-001
FR-SHOP-001,verified_by,TEST-ECON-001
OBJ-P3-001,has_requirement,FR-GUILD-001
FR-GUILD-001,verified_by,TEST-CATALOG-001
OBJ-P4-001,has_requirement,FR-PVP-001
FR-PVP-001,verified_by,TEST-CATALOG-001
OBJ-P4-001,has_requirement,FR-PVP-002
FR-PVP-002,verified_by,TEST-CATALOG-001
OBJ-P4-001,has_requirement,FR-END-001
FR-END-001,verified_by,TEST-CATALOG-001
OBJ-008,has_requirement,NFR-PERF-001
NFR-PERF-001,verified_by,TEST-LOAD-001
OBJ-004,has_requirement,NFR-MOB-001
NFR-MOB-001,verified_by,TEST-DEVICE-001
OBJ-006,has_requirement,NFR-REL-001
NFR-REL-001,verified_by,TEST-ECON-001
NFR-REL-001,verified_by,TEST-RESTORE-001
OBJ-007,has_requirement,NFR-CONT-001
NFR-CONT-001,verified_by,TEST-SOURCE-001
NFR-CONT-001,verified_by,TEST-CATALOG-001
OBJ-001,has_requirement,NFR-PAR-001
NFR-PAR-001,verified_by,TEST-VISUAL-001
FR-CBT-001,decided_by,ADR-0002
FR-CBT-002,decided_by,ADR-0005
FR-INV-001,decided_by,ADR-0004
FR-TRD-001,decided_by,ADR-0006
NFR-CONT-001,decided_by,ADR-0001
NFR-CONT-001,decided_by,ADR-0003
FR-AUTH-001,designed_by,DOM-ACS
FR-AUTH-002,designed_by,DOM-ACS
FR-CHAR-001,designed_by,DOM-ACS
FR-CHAR-002,designed_by,DOM-ACS
FR-SESS-001,designed_by,DOM-ACS
FR-WORLD-001,designed_by,DOM-WMM
FR-MOVE-001,designed_by,DOM-WMM
FR-MOVE-002,designed_by,DOM-WMM
FR-TGT-001,designed_by,DOM-CBT
FR-TGT-002,designed_by,DOM-CBT
FR-CBT-001,designed_by,DOM-CBT
FR-CBT-002,designed_by,DOM-CBT
FR-CBT-003,designed_by,DOM-CBT
FR-CBT-004,designed_by,DOM-CBT
FR-SKL-001,designed_by,DOM-SKL
FR-SKL-002,designed_by,DOM-SKL
FR-SKL-003,designed_by,DOM-SKL
FR-PROG-001,designed_by,DOM-PRG
FR-PROG-002,designed_by,DOM-PRG
FR-ITEM-001,designed_by,DOM-IIEL
FR-INV-001,designed_by,DOM-IIEL
FR-INV-002,designed_by,DOM-IIEL
FR-EQP-001,designed_by,DOM-IIEL
FR-LOOT-001,designed_by,DOM-IIEL
FR-NPC-001,designed_by,DOM-NQ
FR-QST-001,designed_by,DOM-NQ
FR-PATH-001,designed_by,DOM-AUTO
FR-AUTO-001,designed_by,DOM-AUTO
FR-AUTO-002,designed_by,DOM-AUTO
FR-MNT-001,designed_by,DOM-MP
FR-PET-001,designed_by,DOM-MP
FR-CHAT-001,designed_by,DOM-STGPE
FR-TEAM-001,designed_by,DOM-STGPE
FR-TRD-001,designed_by,DOM-STGPE
FR-SHOP-001,designed_by,DOM-IIEL
FR-GUILD-001,designed_by,DOM-STGPE
FR-PVP-001,designed_by,DOM-STGPE
FR-PVP-002,designed_by,DOM-STGPE
FR-END-001,designed_by,DOM-STGPE
NFR-PERF-001,designed_by,DOM-SERVER
NFR-MOB-001,designed_by,DOM-UI
NFR-REL-001,designed_by,DOM-SERVER
NFR-CONT-001,designed_by,DOM-CONTENT
NFR-PAR-001,designed_by,DOM-CONTENT
TEST-SPEC-001,gated_by,GATE-G0
TEST-SPEC-002,gated_by,GATE-G0
TEST-SOURCE-001,gated_by,GATE-G1
TEST-CATALOG-001,gated_by,GATE-G1
TEST-CONTRACT-001,gated_by,GATE-G2
TEST-CONTRACT-002,gated_by,GATE-G2
TEST-SIM-001,gated_by,GATE-G3
TEST-TGT-001,gated_by,GATE-G3
TEST-VISUAL-001,gated_by,GATE-G3
TEST-HUD-001,gated_by,GATE-G3
TEST-UI-001,gated_by,GATE-G3
TEST-MAP-001,gated_by,GATE-G3
TEST-ECON-001,gated_by,GATE-G4
TEST-RECONNECT-001,gated_by,GATE-G4
TEST-CHANNEL-001,gated_by,GATE-G4
TEST-LUA-001,gated_by,GATE-G4
TEST-LOAD-001,gated_by,GATE-G5
TEST-DEVICE-001,gated_by,GATE-G5
TEST-RESTORE-001,gated_by,GATE-G6
TEST-RELEASE-001,gated_by,GATE-G6
OBJ-004,has_requirement,FR-UI-HUD-001
OBJ-004,has_requirement,FR-UI-PANEL-001
OBJ-005,has_requirement,FR-UI-SPR-001
FR-UI-HUD-001,designed_by,DOM-UI
FR-UI-PANEL-001,designed_by,DOM-UI
FR-UI-SPR-001,designed_by,DOM-UI
FR-UI-HUD-001,verified_by,TEST-HUD-001
FR-UI-PANEL-001,verified_by,TEST-UI-002
FR-UI-PANEL-001,verified_by,TEST-UI-003
FR-UI-SPR-001,verified_by,TEST-UI-007
TEST-ACS-001,gated_by,GATE-G4
TEST-ACS-002,gated_by,GATE-G4
TEST-ACS-003,gated_by,GATE-G4
TEST-AUDIO-001,gated_by,GATE-G3
TEST-AUTO-001,gated_by,GATE-G3
TEST-AUTO-002,gated_by,GATE-G3
TEST-AUTO-003,gated_by,GATE-G3
TEST-AVATAR-001,gated_by,GATE-G3
TEST-BUNDLE-001,gated_by,GATE-G1
TEST-CBT-001,gated_by,GATE-G3
TEST-CBT-002,gated_by,GATE-G3
TEST-CBT-003,gated_by,GATE-G3
TEST-CONTENT-001,gated_by,GATE-G1
TEST-CONTENT-002,gated_by,GATE-G1
TEST-CONTENT-003,gated_by,GATE-G3
TEST-COVERAGE-001,gated_by,GATE-G1
TEST-IIEL-001,gated_by,GATE-G4
TEST-IIEL-002,gated_by,GATE-G4
TEST-IIEL-003,gated_by,GATE-G3
TEST-MAP-053,gated_by,GATE-G3
TEST-MP-001,gated_by,GATE-G3
TEST-MP-002,gated_by,GATE-G3
TEST-NQ-001,gated_by,GATE-G4
TEST-NQ-002,gated_by,GATE-G4
TEST-PRG-001,gated_by,GATE-G3
TEST-PRG-002,gated_by,GATE-G3
TEST-PRG-003,gated_by,GATE-G4
TEST-SKL-001,gated_by,GATE-G3
TEST-SKL-002,gated_by,GATE-G3
TEST-SKL-003,gated_by,GATE-G3
TEST-STGPE-001,gated_by,GATE-G4
TEST-STGPE-002,gated_by,GATE-G4
TEST-STGPE-003,gated_by,GATE-G4
TEST-STGPE-004,gated_by,GATE-G4
TEST-UI-002,gated_by,GATE-G3
TEST-UI-003,gated_by,GATE-G3
TEST-UI-004,gated_by,GATE-G3
TEST-UI-005,gated_by,GATE-G3
TEST-UI-006,gated_by,GATE-G3
TEST-UI-007,gated_by,GATE-G3
TEST-WMM-001,gated_by,GATE-G3
TEST-WMM-002,gated_by,GATE-G3
TEST-WMM-003,gated_by,GATE-G4
OBJ-002,has_requirement,FR-SKL-003
OBJ-003,has_requirement,FR-WORLD-001
OBJ-003,has_requirement,FR-SESS-001
OBJ-004,has_requirement,FR-MOVE-001
OBJ-004,has_requirement,FR-TGT-001
OBJ-004,has_requirement,FR-TGT-002
OBJ-004,has_requirement,FR-CBT-003
FR-MOVE-001,decided_by,ADR-0004
FR-TGT-001,decided_by,ADR-0004
FR-TGT-002,decided_by,ADR-0004
FR-CBT-003,decided_by,ADR-0004
FR-AUTH-001,verified_by,TEST-ACS-001
FR-AUTH-001,verified_by,TEST-ACS-002
FR-AUTH-002,verified_by,TEST-ACS-001
FR-AUTH-002,verified_by,TEST-ACS-002
FR-CHAR-001,verified_by,TEST-ACS-001
FR-CHAR-002,verified_by,TEST-ACS-001
FR-CHAR-002,verified_by,TEST-ACS-003
FR-SESS-001,verified_by,TEST-ACS-001
FR-SESS-001,verified_by,TEST-ACS-002
FR-SESS-001,verified_by,TEST-ACS-003
FR-WORLD-001,verified_by,TEST-MAP-053
FR-WORLD-001,verified_by,TEST-WMM-002
FR-MOVE-001,verified_by,TEST-WMM-001
FR-MOVE-002,verified_by,TEST-WMM-003
FR-TGT-001,verified_by,TEST-CBT-002
FR-TGT-002,verified_by,TEST-CBT-002
FR-CBT-001,verified_by,TEST-CBT-001
FR-CBT-002,verified_by,TEST-CBT-001
FR-CBT-003,verified_by,TEST-CBT-002
FR-PROG-001,verified_by,TEST-PRG-001
FR-PROG-001,verified_by,TEST-PRG-003
FR-PROG-002,verified_by,TEST-PRG-002
FR-ITEM-001,verified_by,TEST-IIEL-002
FR-INV-001,verified_by,TEST-IIEL-001
FR-INV-001,verified_by,TEST-IIEL-003
FR-INV-002,verified_by,TEST-IIEL-001
FR-INV-002,verified_by,TEST-IIEL-002
FR-EQP-001,verified_by,TEST-IIEL-002
FR-LOOT-001,verified_by,TEST-IIEL-002
FR-NPC-001,verified_by,TEST-NQ-001
FR-NPC-001,verified_by,TEST-NQ-002
FR-QST-001,verified_by,TEST-NQ-001
FR-QST-001,verified_by,TEST-NQ-002
FR-PATH-001,verified_by,TEST-AUTO-003
FR-AUTO-001,verified_by,TEST-AUTO-001
FR-AUTO-001,verified_by,TEST-AUTO-002
FR-AUTO-002,verified_by,TEST-AUTO-001
FR-AUTO-002,verified_by,TEST-AUTO-002
FR-MNT-001,verified_by,TEST-MP-001
FR-PET-001,verified_by,TEST-MP-002
FR-CHAT-001,verified_by,TEST-STGPE-001
FR-TEAM-001,verified_by,TEST-STGPE-001
FR-TRD-001,verified_by,TEST-STGPE-002
FR-SHOP-001,verified_by,TEST-IIEL-002
FR-GUILD-001,verified_by,TEST-STGPE-003
FR-PVP-001,verified_by,TEST-STGPE-003
FR-PVP-002,verified_by,TEST-STGPE-003
FR-END-001,verified_by,TEST-STGPE-004
NFR-REL-001,verified_by,TEST-RELEASE-001
NFR-CONT-001,verified_by,TEST-BUNDLE-001
NFR-CONT-001,verified_by,TEST-CONTENT-001
NFR-CONT-001,verified_by,TEST-CONTENT-002
NFR-CONT-001,verified_by,TEST-COVERAGE-001
NFR-PAR-001,verified_by,TEST-AUDIO-001
NFR-PAR-001,verified_by,TEST-AVATAR-001
NFR-PAR-001,verified_by,TEST-CBT-003
NFR-PAR-001,verified_by,TEST-CONTENT-003
FR-UI-HUD-001,verified_by,TEST-UI-001
FR-UI-PANEL-001,verified_by,TEST-UI-006
FR-UI-PANEL-001,verified_by,TEST-UI-008
MIG-002,verified_by,TEST-UI-008
TEST-UI-008,gated_by,GATE-G3
CLAIM-0001,supported_by,EVID-0001
CLAIM-0001,supported_by,EVID-0002
CLAIM-0002,supported_by,EVID-0003
CLAIM-0003,supported_by,EVID-0004
CLAIM-0004,supported_by,EVID-0005
CLAIM-0005,supported_by,EVID-0006
CLAIM-0006,supported_by,EVID-0007
CLAIM-0007,supported_by,EVID-0008
CLAIM-0008,supported_by,EVID-0009
CLAIM-0009,supported_by,EVID-0010
CLAIM-0010,supported_by,EVID-0011
CLAIM-0001,reveals,GAP-001
CLAIM-0001,reveals,RISK-001
CLAIM-0001,reveals,DEBT-002
CLAIM-0002,reveals,GAP-001
CLAIM-0002,reveals,RISK-001
CLAIM-0002,reveals,DEBT-002
CLAIM-0003,reveals,GAP-005
CLAIM-0003,reveals,RISK-003
CLAIM-0003,reveals,DEBT-003
CLAIM-0004,reveals,GAP-006
CLAIM-0004,reveals,RISK-004
CLAIM-0004,reveals,DEBT-001
CLAIM-0005,reveals,GAP-008
CLAIM-0005,reveals,DEBT-004
CLAIM-0006,reveals,GAP-004
CLAIM-0006,reveals,RISK-008
CLAIM-0006,reveals,DEBT-005
CLAIM-0007,reveals,RISK-007
CLAIM-0009,reveals,GAP-006
CLAIM-0009,reveals,GAP-007
CLAIM-0009,reveals,DEBT-001
CLAIM-0010,reveals,GAP-001
CLAIM-0010,reveals,RISK-001
CLAIM-0010,reveals,DEBT-006
GAP-001,addressed_by,NFR-CONT-001
GAP-002,addressed_by,FR-SKL-003
GAP-003,addressed_by,FR-TGT-001
GAP-004,addressed_by,NFR-PAR-001
GAP-005,addressed_by,FR-WORLD-001
GAP-006,addressed_by,FR-UI-PANEL-001
GAP-007,addressed_by,FR-INV-001
GAP-008,addressed_by,FR-SESS-001
GAP-009,addressed_by,NFR-REL-001
GAP-010,addressed_by,NFR-CONT-001
RISK-001,addressed_by,NFR-CONT-001
RISK-002,addressed_by,FR-SKL-003
RISK-003,addressed_by,FR-WORLD-001
RISK-004,addressed_by,FR-UI-SPR-001
RISK-005,addressed_by,NFR-REL-001
RISK-006,addressed_by,NFR-CONT-001
RISK-007,addressed_by,FR-CBT-002
RISK-008,addressed_by,NFR-PAR-001
RISK-009,addressed_by,NFR-MOB-001
RISK-010,addressed_by,NFR-PERF-001
DEBT-001,addressed_by,FR-UI-PANEL-001
DEBT-002,addressed_by,NFR-CONT-001
DEBT-003,addressed_by,FR-WORLD-001
DEBT-004,addressed_by,FR-SESS-001
DEBT-005,addressed_by,NFR-PAR-001
DEBT-006,addressed_by,NFR-CONT-001
NFR-CONT-001,migrated_by,MIG-005
FR-SKL-003,migrated_by,MIG-005
FR-TGT-001,migrated_by,MIG-001
NFR-PAR-001,migrated_by,MIG-005
FR-WORLD-001,migrated_by,MIG-003
FR-UI-PANEL-001,migrated_by,MIG-002
FR-INV-001,migrated_by,MIG-004
FR-SESS-001,migrated_by,MIG-001
NFR-REL-001,migrated_by,MIG-004
FR-UI-SPR-001,migrated_by,MIG-002
FR-UI-SPR-001,migrated_by,MIG-005
FR-CBT-002,migrated_by,MIG-001
NFR-MOB-001,migrated_by,MIG-002
NFR-PERF-001,migrated_by,MIG-001
MIG-001,verified_by,TEST-CONTRACT-002
MIG-001,verified_by,TEST-RELEASE-001
MIG-002,verified_by,TEST-UI-002
MIG-002,verified_by,TEST-UI-007
MIG-002,verified_by,TEST-RELEASE-001
MIG-003,verified_by,TEST-MAP-053
MIG-003,verified_by,TEST-RELEASE-001
MIG-004,verified_by,TEST-RESTORE-001
MIG-004,verified_by,TEST-RELEASE-001
MIG-005,verified_by,TEST-CONTENT-001
MIG-005,verified_by,TEST-CONTENT-002
MIG-005,verified_by,TEST-RELEASE-001
CON-0001,supported_by,EVID-0009
CON-0001,affects,PAR-0002
CON-0001,resolved_by,ADR-0001
CON-0002,supported_by,EVID-0004
CON-0002,affects,PAR-0005
CON-0002,affects,GAP-005
CON-0002,affects,FR-WORLD-001
CON-0002,resolved_by,ADR-0001
CON-0002,resolved_by,FR-WORLD-001
CON-0003,supported_by,EVID-0010
CON-0003,affects,PAR-0006
CON-0003,affects,GAP-007
CON-0003,affects,FR-INV-001
CON-0003,resolved_by,FR-INV-001
CON-0004,supported_by,EVID-0001
CON-0004,supported_by,EVID-0002
CON-0004,supported_by,EVID-0011
CON-0004,affects,PAR-0001
CON-0004,affects,GAP-001
CON-0004,affects,NFR-CONT-001
CON-0004,resolved_by,ADR-0001
CON-0004,resolved_by,NFR-CONT-001
CON-0005,supported_by,EVID-0007
CON-0005,affects,PAR-0002
CON-0005,affects,GAP-004
CON-0005,affects,NFR-PAR-001
PAR-0001,verifies,NFR-CONT-001
PAR-0001,verified_by,TEST-CONTENT-001
PAR-0001,verified_by,TEST-CONTENT-002
PAR-0002,verifies,FR-SKL-003
PAR-0002,verified_by,TEST-SKL-001
PAR-0002,verified_by,TEST-SKL-002
PAR-0002,verified_by,TEST-SKL-003
PAR-0002,requires_golden,GOLD-0001
PAR-0003,verifies,FR-TGT-001
PAR-0003,verifies,FR-TGT-002
PAR-0003,verified_by,TEST-TGT-001
PAR-0003,verified_by,TEST-CBT-002
PAR-0004,verifies,FR-UI-HUD-001
PAR-0004,verified_by,TEST-HUD-001
PAR-0004,verified_by,TEST-UI-001
PAR-0004,requires_golden,GOLD-0002
PAR-0005,verifies,FR-WORLD-001
PAR-0005,verified_by,TEST-MAP-053
PAR-0005,verified_by,TEST-WMM-002
PAR-0005,requires_golden,GOLD-0003
PAR-0006,verifies,FR-INV-001
PAR-0006,verified_by,TEST-IIEL-001
PAR-0006,verified_by,TEST-IIEL-003
PAR-0007,verifies,FR-UI-PANEL-001
PAR-0007,verifies,FR-UI-SPR-001
PAR-0007,verified_by,TEST-UI-002
PAR-0007,verified_by,TEST-UI-003
PAR-0007,verified_by,TEST-UI-007
PAR-0008,verifies,FR-SESS-001
PAR-0008,verifies,NFR-REL-001
PAR-0008,verified_by,TEST-ACS-001
PAR-0008,verified_by,TEST-CONTRACT-002
PAR-0008,verified_by,TEST-ECON-001
CLAIM-0011,supported_by,EVID-0012
CLAIM-0011,reveals,GAP-002
CLAIM-0011,reveals,RISK-002
CLAIM-0012,supported_by,EVID-0013
CLAIM-0012,supported_by,EVID-0014
CLAIM-0012,reveals,GAP-003
CLAIM-0005,reveals,GAP-009
CLAIM-0005,reveals,RISK-005
CLAIM-0002,reveals,RISK-006
CLAIM-0013,supported_by,EVID-0015
CLAIM-0013,reveals,GAP-010
CLAIM-0013,reveals,RISK-009
CLAIM-0014,supported_by,EVID-0016
CLAIM-0014,reveals,RISK-010
PAR-0001,requires_golden,GOLD-0004
PAR-0003,requires_golden,GOLD-0005
PAR-0006,requires_golden,GOLD-0006
PAR-0007,requires_golden,GOLD-0007
PAR-0008,requires_golden,GOLD-0008
DOM-ACS,supported_by,EVID-0017
DOM-ACS,supported_by,EVID-0018
DOM-ACS,supported_by,EVID-0019
DOM-AUTO,supported_by,EVID-0020
DOM-AUTO,supported_by,EVID-0021
DOM-CBT,supported_by,EVID-0022
DOM-CBT,supported_by,EVID-0023
DOM-CBT,supported_by,EVID-0024
DOM-CBT,supported_by,EVID-0025
DOM-IIEL,supported_by,EVID-0026
DOM-IIEL,supported_by,EVID-0027
DOM-IIEL,supported_by,EVID-0028
DOM-IIEL,supported_by,EVID-0029
DOM-MP,supported_by,EVID-0030
DOM-MP,supported_by,EVID-0031
DOM-MP,supported_by,EVID-0032
DOM-NQ,supported_by,EVID-0033
DOM-NQ,supported_by,EVID-0034
DOM-NQ,supported_by,EVID-0035
DOM-PRG,supported_by,EVID-0036
DOM-PRG,supported_by,EVID-0037
DOM-PRG,supported_by,EVID-0038
DOM-SKL,supported_by,EVID-0039
DOM-SKL,supported_by,EVID-0040
DOM-SKL,supported_by,EVID-0041
DOM-STGPE,supported_by,EVID-0042
DOM-STGPE,supported_by,EVID-0043
DOM-STGPE,supported_by,EVID-0044
DOM-STGPE,supported_by,EVID-0045
DOM-WMM,supported_by,EVID-0046
DOM-WMM,supported_by,EVID-0047
DOM-WMM,supported_by,EVID-0048
PAR-0009,verifies,NFR-PAR-001
PAR-0009,verified_by,TEST-AVATAR-001
PAR-0009,requires_golden,GOLD-0009
PAR-0010,verifies,NFR-PAR-001
PAR-0010,verified_by,TEST-AUDIO-001
PAR-0010,requires_golden,GOLD-0010
NFR-REL-001,verified_by,TEST-CHECKPOINT-001
TEST-CHECKPOINT-001,gated_by,GATE-G4
NFR-REL-001,verified_by,TEST-MIGRATION-001
TEST-MIGRATION-001,gated_by,GATE-G4
FR-SESS-001,verified_by,TEST-PROTOFUZZ-001
TEST-PROTOFUZZ-001,gated_by,GATE-G2
NFR-REL-001,verified_by,TEST-SQLNEG-001
FR-INV-001,verified_by,TEST-SQLNEG-001
TEST-SQLNEG-001,gated_by,GATE-G4
FR-SESS-001,decided_by,ADR-0007
FR-CBT-001,decided_by,ADR-0007
FR-SKL-003,decided_by,ADR-0007
NFR-CONT-001,decided_by,ADR-0007
TEST-RECONNECT-001,requires_golden,GOLD-0004
FR-SKL-001,has_contract,CON-SKL-CATALOG-001
FR-SKL-002,has_contract,CON-SKL-CATALOG-001
FR-SKL-003,has_contract,CON-SKL-CATALOG-001
CON-SKL-CATALOG-001,verified_by,TEST-SKL-001
CON-SKL-CATALOG-001,verified_by,TEST-SPEC-002
CON-CONTENT-MANIFEST-001,verified_by,TEST-CONTENT-001
