Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	ItemValue	ItemRate
Tam Phôc Chi KhÝ. §ång hµnh MËt tÞch 	0	6	1	883	6	0	0	5000000	90
Kim Cang BÊt ph¸. §ång hµnh MËt tÞch 	0	6	1	834	7	0	0	6000000	40
B¸ch §éc BÊt X©m. §ång hµnh MËt tÞch 	0	6	1	835	7	0	0	6000000	40
B¨ng TuyÕt S¬ Dung. §ång hµnh MËt tÞch 	0	6	1	836	7	0	0	6000000	40
Ch©n Háa Kh¸ng Lùc. §ång hµnh MËt tÞch 	0	6	1	837	7	0	0	6000000	40
L«i §×nh Hé gi¸p. §ång hµnh MËt tÞch 	0	6	1	838	7	0	0	6000000	40
B×nh Hoµ KhÝ QuyÕt. §ång hµnh MËt tÞch 	0	6	1	849	7	0	0	6000000	30
H­ Kh«ng ThiÓm ¶nh. §ång hµnh MËt tÞch 	0	6	1	850	7	0	0	6000000	30
Héi ThÇn TÜnh t©m. §ång hµnh MËt tÞch 	0	6	1	851	7	0	0	6000000	30
V« NiÖm V« Kinh. §ång hµnh MËt tÞch 	0	6	1	852	7	0	0	6000000	30
Ngò Hµnh V« T­íng. §ång hµnh MËt tÞch 	0	6	1	853	7	0	0	6000000	30
Di KhÝ Phiªu Tung. §ång hµnh MËt tÞch 	0	6	1	854	7	0	0	6000000	30
Hoa KhÝ §iÖp Vò. §ång hµnh MËt tÞch 	0	6	1	855	7	0	0	6000000	30
V« Nh©n V« Ng·. §ång hµnh MËt tÞch 	0	6	1	901	7	0	0	6000000	30
TÝnh Ng¹o Tam §«ng. §ång hµnh MËt tÞch 	0	6	1	859	7	0	0	6000000	30
§iÓm HuyÕt TiÖt M¹ch. §ång hµnh MËt tÞch 	0	6	1	860	7	0	0	6000000	30
V¹n §éc BÊt Phôc. §ång hµnh MËt tÞch 	0	6	1	861	7	0	0	6000000	30
Th©n Khinh Nh­ YÕn. §ång hµnh MËt tÞch 	0	6	1	862	7	0	0	6000000	30
Ng­ng ¢m Quy Nguyªn. §ång hµnh MËt tÞch 	0	6	1	863	7	0	0	6000000	30
DÞch Cèt Kinh. §ång hµnh MËt tÞch 	0	6	1	864	7	0	0	6000000	30
Thóc Th©n ThuËt. §ång hµnh MËt tÞch 	0	6	1	865	7	0	0	6000000	30
Ho·n Th©n ThuËt. §ång hµnh MËt tÞch 	0	6	1	866	7	0	0	6000000	30
HuyÒn Môc §Þnh Th©n ThuËt. §ång hµnh MËt tÞch 	0	6	1	867	7	0	0	6000000	30
Ých Thä ¢m D­¬ng. §ång hµnh MËt tÞch 	0	6	1	868	7	0	0	6000000	30
An Phñ Chi Ng÷. §ång hµnh MËt tÞch 	0	6	1	869	7	0	0	6000000	30
Tam Sinh H÷u H¹nh. §ång hµnh MËt tÞch 	0	6	1	870	7	0	0	6000000	30
Quû Mª Ma HoÆc. §ång hµnh MËt tÞch 	0	6	1	871	7	0	0	6000000	30
§o¹t MÖnh TriÒn NhiÔu. §ång hµnh MËt tÞch 	0	6	1	872	7	0	0	6000000	30
Yªu Hå Tr¸i ¶nh. §ång hµnh MËt tÞch 	0	6	1	873	7	0	0	6000000	30
HoÆc ThÇn Lo¹n T©m. §ång hµnh MËt tÞch 	0	6	1	874	7	0	0	6000000	30
C« Th©n To¸i ¶nh. §ång hµnh MËt tÞch 	0	6	1	875	7	0	0	6000000	30
Tö Vong Ki B¸n. §ång hµnh MËt tÞch 	0	6	1	876	7	0	0	6000000	30
Th©m Hån NiÖm X­íng. §ång hµnh MËt tÞch 	0	6	1	877	7	0	0	6000000	30
CËp Hån Chó. §ång hµnh MËt tÞch 	0	6	1	878	7	0	0	6000000	30
Hãa Tñy V« ý. §ång hµnh MËt tÞch 	0	6	1	879	7	0	0	6000000	30
Dung Cèt V« Tung. §ång hµnh MËt tÞch 	0	6	1	880	7	0	0	6000000	30
¸m §éc Chi Thñ. §ång hµnh MËt tÞch 	0	6	1	882	7	0	0	6000000	30
Tam Phôc Chi KhÝ. §ång hµnh MËt tÞch 	0	6	1	883	7	0	0	6000000	30
