Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
MÆt n¹ - ThiÕu Niªn Háa NhËn	0	11	104	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1058	1058													31	10	10															
MÆt n¹ - ThiÕu Niªn H¶i §­êng	0	11	105	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1059	1059													31	10	10															
MÆt n¹ - ThiÕu Niªn Kim Phong	0	11	106	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1060	1060													31	10	10															
MÆt n¹ (1 lÇn) - Thanh Niªn L«i KiÕm	0	11	107	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1043	1043													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn TiÕu S­¬ng	0	11	108	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1044	1044													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn Háa NhËn	0	11	109	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1045	1045													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn H¶i §­êng	0	11	110	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1046	1046													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn Kim Phong	0	11	111	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1047	1047													31	1	1															
MÆt n¹ - Thanh Niªn L«i KiÕm	0	11	112	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1043	1043													31	10	10															
MÆt n¹ - Thanh Niªn TiÕu S­¬ng	0	11	113	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1044	1044													31	10	10															
MÆt n¹ - Thanh Niªn Háa NhËn	0	11	114	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1045	1045													31	10	10															
MÆt n¹ - Thanh Niªn H¶i §­êng	0	11	115	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1046	1046													31	10	10															
MÆt n¹ - Thanh Niªn Kim Phong	0	11	116	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1047	1047													31	10	10															
MÆt n¹ - Thµnh Niªn L«i KiÕm	0	11	117	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1061	1061													31	10	10															
MÆt n¹ - Thµnh Niªn TiÕu S­¬ng	0	11	118	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1062	1062													31	10	10															
MÆt n¹ - Thµnh Niªn Háa NhËn	0	11	119	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1063	1063													31	10	10															
MÆt n¹ - Thµnh Niªn H¶i §­êng	0	11	120	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1064	1064													31	10	10															
MÆt n¹ - Thµnh Niªn Kim Phong	0	11	121	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1065	1065													31	10	10															
MÆt n¹ - Tinh Linh (Lôc) 	0	11	122	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1121	1121													31	1	1															
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	11	123	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		100	1	0		1122	1122													31	1	1															
