Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Phi Phong Lesor	0	12	1	\spr\item\equip\pifengtubiao\pifeng_01.spr	338	1	1	<color=Blue>Phi Phong Lesor<color><enter>§©y tõng lµ Phi Phong mµ <color=Green>Vozer<color> sö dông.<color=Green>		100	1	0	85	100	100	88	10	10	92	10	10	243	10	10										36	1										
Phi Phong N»m Th¼ng	0	12	1	\spr\item\equip\pifengtubiao\pifeng_02.spr	338	1	1	<color=Blue>Phi Phong N»m Th¼ng<color><enter>§©y tõng lµ Phi Phong mµ <color=Green>Vozer<color> sö dông.<color=Green>		100	2	0	85	200	200	88	20	20	92	20	20	243	20	20										36	1										
Phi Phong Vozer	0	12	1	\spr\item\equip\pifengtubiao\pifeng_03.spr	338	1	1	<color=Blue>Phi Phong Vozer<color><enter>§©y tõng lµ Phi Phong mµ <color=Green>Vozer<color> sö dông.<color=Green>		100	3	0	85	300	300	88	30	30	92	30	30	243	30	30										36	1										
Phi Phong 2 B¸nh	0	12	1	\spr\item\equip\pifengtubiao\pifeng_04.spr	338	1	1	<color=Blue>Phi Phong 2 B¸nh<color><enter>Chøng minh Vozer ®· së h÷u xe 2 b¸nh.<color=Green>		100	4	0	85	400	400	88	40	40	92	40	40	243	40	40										36	1										
Phi Phong 4 B¸nh	0	12	1	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	<color=Blue>Phi Phong 4 B¸nh<color><enter>Chøng minh Vozer ®· së h÷u xe 4 b¸nh. Cuéc ®êi sang trang<color=Green>		100	5	0	85	500	500	88	50	50	92	50	50	243	50	50										36	1										
Phi Phong Cã Nhµ	0	12	1	\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	"<color=Blue>Phi Phong Cã Nhµ<color><enter>Cã chç che n¾ng che m­a, chç dùa v÷ng ch¾c cho Vozer ph¸t triÓn sù nghiÖp.<color=Green>"		100	6	0	85	600	600	88	60	60	92	60	60	243	60	60	227	1	1							36	1										
Phi Phong Ch¹n V­¬ng	0	12	1	\spr\item\equip\pifengtubiao\pifeng_07.spr	338	1	1	<color=Blue>Phi Phong Ch¹n V­¬ng<color><enter>Chui ch¹n mu«n ®êi thŞnh.<color=Green>		100	7	0	85	700	700	88	70	70	92	70	70	243	70	70	227	2	2	114	5	5				36	1										
Phi Phong C¸n Bé	0	12	1	\spr\item\equip\pifengtubiao\pifeng_08.spr	338	1	1	"<color=Blue>Phi Phong C¸n Bé<color><enter>Së h÷u sau khi Vozer lªn lµm c¸n bé, tµi ®øc vÑn toµn.<color=Green>"		100	8	0	85	800	800	88	80	80	92	80	80	243	80	80	227	3	3	114	10	10				36	1										
Phi Phong Winner	0	12	1	\spr\item\equip\pifengtubiao\pifeng_09.spr	338	1	1	<color=Blue>Phi Phong Winner<color><enter>Chøng nhËn Winner cña Vozer. §øc cao träng väng!<color=Green>		100	9	0	85	900	900	88	90	90	92	90	90	243	90	90	227	4	4	114	15	15				36	1										
Phi Phong Chñ TŞch	0	12	1	\spr\item\equip\pifengtubiao\pifeng_10.spr	338	1	1	<color=Blue>Phi Phong Chñ TŞch<color><enter><color=Green>Chñ TŞch Vozer<color><enter>Kh¼ng ®Şnh vŞ thÕ Chaebol.<color=Green>		100	10	0	85	1000	1000	88	100	100	92	100	100	243	100	100	227	5	5	114	20	20	139	1	1	36	1										
