Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	1	0	85	20	20	89	20	20	88	2	2	92	2	2										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	2	0	85	40	40	89	40	40	88	4	4	92	4	4										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	3	0	85	60	60	89	60	60	88	6	6	92	6	6										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	4	0	85	80	80	89	80	80	88	8	8	92	8	8										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	5	0	85	100	100	89	100	100	88	10	10	92	10	10										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	6	0	85	120	120	89	120	120	88	12	12	92	12	12										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	7	0	85	140	140	89	140	140	88	14	14	92	14	14										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	8	0	85	160	160	89	160	160	88	16	16	92	16	16										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	9	0	85	180	180	89	180	180	88	18	18	92	18	18										36	1										
Vozer trang søc	0	14	1	\spr\mel\trangsuc.spr	37	1	1	<color=Yellow>Trang søc cÊp 1<color><enter>VËt phÈm mµ <color=Green>c¸c §¹i hiÖp<color> rÊt thİch sö dông <color=Green>		0	10	0	85	200	200	89	200	200	88	20	20	92	20	20										36	1										
