talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	MÆt trêi lÆn t©y s¬n, ta sÏ kh«ng t¸i c«ng t¸c, ng­¬i h·y nghe cho kü. 	Bi ai a, ta v× sao mét tri kû còng kh«ng cã! 	Thêi gian dµi ë trong phßng ngåi bÊt lîi cho th©n thÓ kháe m¹nh. 	Minh chi kh«ng thÓ lµm mµ th«i, nh÷ng lêi nµy lµ cã ı g×? 	Khi nµo ta míi cã thÓ cã mét nhµ cña m×nh? 	Chóng ta lµ h¶o huynh ®Ö ®óng kh«ng?
12	Ta nãi nh©n huynh, chóng ta mÆc dï lµ nam nh©n, còng kh«ng cã thÓ lu«n lu«n kh«ng t¾m ba? 	Trêi thu tíi, hång qu¶ còng nªn chİn. 	Cã lóc khø ngän nói du ngo¹n còng rÊt cã ı tø chø! 	Tø th­ ngò kinh ta ®· ®éc qua, nh­ng vÉn ®ang kh«ng hiÓu tinh tóy trong ®ã. 	B©y giê tiÓu hµi tö cµng ngµy cµng nghŞch ngîm, c­ nhiªn cÇm vò khİ cña ta lai ngo¹n! 	Mïa hÌ ë bªn hå n­íc, d­íi ¸nh tr¨ng, th­ëng thøc hoa sen cã kh¸c mét phen t×nh thó.
13	Tuy r»ng ta n·i nhÊt giíi vò phu, nh­ng lµ t»ng ®éc qu¸ tø th­ ngò kinh. 	Ta kh«ng thµnh th©n nguyªn nh©n lµ sî n÷ nh©n ®èi y phôc vµ phô tïng kh¸t väng! 	Trong miÕu ë xao chung, thËt lµ dÔ nghe chİnh lµ ba? 	Kim nh©n tuy r»ng ®i, hiÖn t¹i vïng duyªn h¶i hùu nh¸o khëi giÆc Oa tíi. 	Ngµy h«m nay ta thu thËp bao quÇn ¸o th×, ph¸t hiÖn khi cßn bĞ ®ïa cung! 	Ta thu ®­îc muéi tö gëi th­, nµng nãi nhiÒu n­¬ng hÕt th¶y ®Òu tèt.
14	Mçi ngµy b«n ba lao lùc, ta ®· ch¸n ghĞt. 	N÷ nh©n thÊy y phôc than ®· ®i ®éng ®¹o nhi, ®iÓm Êy ë muéi muéi ta trªn ng­êi Ên chøng. 	Ta rÊt thİch ë m­a nhá th× ®¸o bê s«ng b­íc chËm. 	Cã lóc cho dï nh©n cã lùc l­îng c­êng ®¹i tèi hËu còng lµ bãng bÈy mµ chÕt. 	Giang Nam tø ®¹i tµi tö, ng­¬i nh­ng nghe qua c¸i danh hiÖu nµy? 	Mçi ngµy ph¶i kiªn tr× h¸t s÷a ®Ëu nµnh, nghe nãi nh­ vËy th©n thÓ sÏ thay ®æi r¾n ch¾c.
15	Vµ ng­¬i ng­êi nµy cïng mét chç thùc sù rÊt kh«ng cã ı nghÜa. 	Tr­íc ®©y mÑ ta tõng nãi víi ta mét ng­êi vî, thµnh th©n ngµy ®ã ta ch¹y mÊt. 	Ng­¬i ¨n xong man c¸ sao, vŞ ®¹o cùc kú ngon. 	Kh«ng biÕt thiªn h¹ rèt cuéc cã hay kh«ng long, nÕu nh­ ngµy nµo ®ã n¨ng tËn m¾t ®¸o th× tèt råi! 	Thiªn nhÉn gi¸o gi¸o chñ t»ng cïng ta cã duyªn gÆp mÆt mét lÇn. 	Ai nha, ®· mÆt trêi lªn cao, chóng ta nhanh lªn ra ®i ba?
16	Giang hå hiÓm ¸c ®¸ng sî, ta ®· b¾t ®Çu sinh khø ı. 	Ng­¬i ng­êi nµy thùc sù lµ kh«ng thó vŞ a, liªn vui ®ïa còng sÏ kh«ng khai. 	Gièng chóng ta nh­ vËy ng­êi trong giang hå, thŞ kh«ng nªn ®ãn d©u, bëi v× chóng ta bèn biÓn lµ nhµ. 	Kim, méc, thñy, löa, ®Êt ngò hµnh ®iÒu hßa tµi n¨ng sö v¹n vËt ®¹t ®­îc c©n ®èi. 	Nga mi ®Ö tö ch­a bao giê tïy tiÖn d÷ nam tö nãi! 	§¹i ca y phôc ®· ph¸, cã thêi gian ta gióp ng­¬i bæ ®­îc råi, ®õng nh×n ta tay ch©n vông vÒ, còng sÏ ®iÓm ch©m tuyÕn sèng nét.
17	Ta ®· ®i qua ®¹i giang nam b¾c, mong muèn cã c¬ héi ®¸o h¶i ngo¹i nh×n. 	Ai? NgÇm thÕ nµo cã l­ìng v¨n tiÔn? 	§· lín tuæi råi sau ®ã, ta cã thÓ sÏ xuÊt gia vi t¨ng. 	Chóng ta §¹i Tèng nh©n h¼n lµ cµng thªm ®oµn kÕt, nh­ vËy tµi sÏ c­êng ®¹i h¬n. 	GÇn ®©y muçi rÊt nhiÒu a, gi¶o ®¾c ta l¨n lén th©n thŞ tói. 	Míi mét n¨m l¹i muèn ®i tíi, ta muèn ®èi cuéc sèng sau nµy lµm dù ®Şnh!
18	C¶ ngµy tùu cËt b¸nh m× lo¹i lín, b¸nh ng«, ta nµo cã khİ lùc giÕt ®Şch? 	Ta kh«ng lµ cña ng­¬i tïy tïng, lµ cña ng­¬i gióp ®ì. 	Trªn nói phô cËn cã kh«ng İt t¶ng ®¸ n¨ng ph¸t sinh lo¸ m¾t quang huy. 	Con d¬i lµ ta ghĞt nhÊt g× ®ã! 	§¹i ca, chóng ta hay nhÊt tr¸nh cho ë trong nói lé tóc, buæi tèi cã d· thó th­êng lui tíi. 	VÒ nhµ ¨n tÕt còng cã kh«ng tèt ®Şa ph­¬ng, cÊp cho ch¸u ngo¹i trai, ch¸u trai m«n tiÒn mõng tuæi.
19	... ... ... ... ... ... ... 	TiÔn a, tiÔn, ta thÕ nµo lu«n lu«n nghÌo nh­ vËy. 	Trªn nói khai ra c©y hoa lan, kh¾p n¬i ®Òu lµ h­¬ng vŞ. 	Ta cã t×nh h×nh ®Æc biÖt lóc Êy méng du, ng­¬i ph¸t hiÖn thêi gian ngh×n v¹n lÇn muèn xem ®¸nh thøc ta a. 	Lµm sao b©y giê, cßn cã m­êi ngµy muéi tö ta sÏ qu¸ sinh nhËt, ta cßn kh«ng cã t­ëng h¶o tèng lÔ vËt g×. 	Ngµy h«m nay vèn cã muèn ®i sßng b¹c, thÕ nh­ng nhí tíi ®¹i ca nãi, ta tùu nhŞn ®­îc.
20	Ng­¬i ngµy h«m qua nãi c¸i g× tíi, muèn ®i sÊm c¸i g× quan? 	Kh«ng biÕt lóc nµo tµi n¨ng toµn có l·o bµ b¶n. 	Kh«ng sî ng­¬i chª c­êi, kú thùc ta còng thİch v« cïng hoa hoa th¶o th¶o. 	§Şa dÆm hoa mÇu ®Òu hoang vu, th«n d©n phô cËn ®i n¬i nµo? 	Ng­êi tËp vâ kiªng kŞ nhÊt kú thùc hay s¸t sinh, kh«ng thÓ dïng b¹o lùc khø c­íp ®o¹t t¸nh m¹ng cña ng­êi kh¸c. 	Ta cßn muèn ch¨m chØ luyÖn tËp tµi n¨ng v­ît qua ®¹i ca th©n thñ a.
21	Vò khİ cña ta ®· h­ h¹i, ngµy mai muèn ®i söa ch÷a mét chót. 	Cã chót lo l¾ng trong thÇy u, ch¼ng biÕt th©n thÓ bän hä kháe? 	Ha h¶, ngµy h«m nay ta thu tËp ®­îc kho¸ng th¹ch b¸n mét gi¸ tèt. 	N¬i nµy c« gia mé phÇn thËt nhiÒu, chØ sî lµ mÊy n¨m tr­íc chiÕn lo¹n th× l­u l¹i. 	H«m nay bÇu trêi v¹n lı kh«ng m©y, cßn cã giã nhÑ thæi qua, thËt lµ lµm cho nh©n khİ tho¶i m¸i thÇn di a! 	Buæi tèi thİnh c«n trïng kªu vang, con Õch minh tr¸i l¹i dÔ ngñ ®­îc ch×m.
22	Ng­¬i lu«n lu«n nh­îng ta ë vµo t×nh c¶nh nguy hiÓm. 	Mçi ngµy chóng ta ®Òu ®ang lËp l¹i tè vËy sù, ch©n kh«ng cã ı nghÜa. 	S¾c trêi ®· tèi, chóng ta cßn lµ mau mau hoa ®Şa ph­¬ng t×m n¬i ngñ trä ba? 	BÊt kÓ lµ kim ng­êi hay lµ H¸n nh©n còng kh«ng muèn ®¸nh nhau û vµo. 	LÇn tr­íc ®i ngang qua Tr­êng Thµnh th×, ta thÊy bän lİnh ®Òu ë nhËu nhÑt, kh«ng cã mÊy ng­êi ch¨m chó g¸c. 	Buæi tèi theo ta uèng chót r­îu ba, töu l©u cßn cã ca sÜ n÷, vò n÷ biÓu diÔn.
23	Ngo¹i trõ ta øng víi tÉn chøc tr¸ch, nh÷ng chuyÖn kh¸c ta sÏ kh«ng ®Ó ı. 	Kh«ng xong, ta quªn h«m nay lµ ®iÒu kh«ng ph¶i ngµy hoµng ®¹o? 	§ªm qua ta gÆp ®­îc L­u Tinh, kh«ng biÕt cã thÓ hay kh«ng cã chuyÖn tèt ph¸t sinh? 	H¬n nöa ®ªm hay nhÊt biÖt xuÊt m«n, héi ®ông víi tµ khİ. 	MÊy n¨m tr­íc kim nh©n mét c©y ®uèc t­¬ng th«n phô cËn ®èt rôi, h«m nay hùu phån vinh lªn! 	Hµng Ch©u lµ mét ®Şa ph­¬ng tèt, mü n÷ ®a.
24	C¶ ngµy vÊt v¶ nh­ vËy, n¨ng t¨ng l­¬ng sao? 	C¨n cø hoµng lŞch th­îng nãi, h«m nay ta kh«ng thİch hîp ®i t©y ®i, cßn kh«ng nghi mÆc ®å ®á y. 	Ngµy h«m nay chóng ta h¼n lµ ®i t©y ®i, n¬i ®ã lµ c¸t lîi ph­¬ng h­íng. 	MÊy ngµy nay mét mùc chung quanh b«n ba, ®Òu kh«ng cã thêi gian ho¸n giÆt quÇn ¸o. 	? biªn c¶nh chî th­îng hiÖn t¹i ®· kh¶ dÜ thÊy H¸n nh©n vµ kim nh©n ë bu«n b¸n! 	Ta ®i m·i mÊy ng­êi b¸nh bao thŞt, dÉn ®­êng th­îng cËt.
25	NÕu nh­ kh¶ dÜ béi ­íc th× tèt råi! 	Cã lóc thÇy bãi chİnh lµ v× ®a tr¸nh İt b¹c, ®èi víi ng­¬i nãi bËy. 	TuÇn tr­íc thÊy mét nam tö, thùc sù lµ ®Ñp trai phi th­êng, ngay c¶ ta ®Òu kh«ng ngõng h©m mé a. 	M©y ®en bao phñ bÇu trêi, xem ra yÕu h¹ mét trËn m­a lín. 	Rèt cuéc cßn lµ §¹i Tèng thæ ®Şa giµu cã vµ ®«ng ®óc a! 	§¹i ca gia h­¬ng ë ®©u?
26	Ta còng vËy nh©n sinh nhôc tr­êng, kh«ng nªn ®em ta trë thµnh ng­¬i giÕt ®Şch c«ng cô. 	Trêi ®Êt tuy lín, nh­ng kh«ng cã ta mét ®Êt dung th©n, ai! 	Ta lóc nµo còng cã thÓ chİnh m×nh sang träng tr¹ch ®Ó ni? 	Ai, chõng mÊy ngµy kh«ng cã ¨n thŞt, nÕu cã thÓ cã mét vß n÷ nhi hång th× tèt h¬n. 	Trªn ng­êi ta ®· cã v« sè vÕt sÑo, kh«ng ng¹i nhiÒu h¬n n÷a thiªm mÊy ng­êi, ha h¶! 	Ta sanh ra ë thµnh ®« phô cËn mét th«n nhá tö, n¬i nµo non xanh n­íc biÕc, ®Şa linh nh©n kiÖt.
27	Ta nghÜ ng­¬i lµ mét rÊt sî chÕt ng­êi. 	§· trÔ thÕ nµy, chóng ta cßn muèn ch¹y ®i a! 	Tr­íc ®©y sù lùa chän cña ta cã ph¶i hay kh«ng lµ sai lÇm ni? Giao thiÖp víi giang hå thËt lµ ta nªn ®i lé sao? 	Ngµy gÇn ®©y c¬ thÓ cña ta cã chót kh«ng kháe, cÇn ®¹i bæ mét chót. 	Th¸ng tr­íc, ta biÓu c÷u chŞ tíi, mang cho ta rÊt nhiÒu thæ s¶n. 	HÊp c¸ vŞ ®¹o thËt tèt qu¸, nhí tíi tùu ch¶y n­íc miÕng.
28	Ng­¬i lµ cËt tái ba? 	Ngùa cña ng­¬i tùa hå ®ãi bông! 	Tuy nãi nam nhi cã lÖ kh«ng nhÑ ®¹n, nh­ng cã bi th­¬ng thêi gian còng nªn ph¸t tiÕt ra ngoµi. 	Nh©n s©m, cá linh chi, léc nhung ®Òu lµ bæ th©n thÓ d­îc liÖu. 	Ta khæ cùc tİch gãp tõng tİ mét ng©n l­îng phÇn lín ®Òu cho n­¬ng vµ ®a! 	KhiÕu hoa kª liÒn r­îu tr¾ng ®¬n gi¶n lµ nh©n gian mü vŞ a!
29	Ta mçi ngµy trêi ch­a s¸ng tùu ®øng lªn luyÖn c«ng, ng­¬i còng cã thÓ nh­ vËy. 	Bông cña ta ®ãi bông, chØ cã thÓ ®­îc th«ng qua chŞu chót b¸nh n­íng. 	Ng­¬i gÆp qua mµu xanh nh¹t biÓn réng sao, nã kh¶ dÜ tinh läc t©m linh cña ng­êi ta. 	§· l©u kh«ng cã uèng ®¸o trµ, cã thêi gian chóng ta ®¸o trong qu¸n trµ khø ngåi xuèng chØ chèc l¸t ba? 	Sang n¨m nhµ cña ta yÕu ®¾p tam c¨n phßng lín, nh­îng ta c­íi vî dïng. 	Chóng ta buæi tèi t×m n¬i ngñ trä th×, t¾m n­íc nãng ba?
30	Ng­¬i cã thÓ hay kh«ng b¬i, b×nh th­êng b¬i n¨ng rÌn ®óc cèt c¸ch vµ c¬ thÓ. 	Ta thËt lo l¾ng lÇn sau vµ ng­¬i giÕt qu¸i th×, quang vinh hi sinh! 	Ta ®· thÊy mét håi thiªn cÈu th«n nhËt, ch¼ng biÕt ng­¬i gÆp qua kh«ng cã? 	Nghe ®­îc qu¹ ®en kªu kh«ng cã, ®©y chİnh lµ héi xui xÎo. 	§¹i ca, chóng ta còng lµ thanh niªn nhiÖt huyÕt, h¼n lµ ®i lµm mét phen ®¹i sù nghiÖp. 	Thµnh ®« ¨n vÆt nghe tiÕng tø ph­¬ng, cã thêi gian ta thØnh ®¹i ca cËt.
31	Ch©n kh«ng thİch cïng ng­êi cña §­êng m«n giao tiÕp, bän hä b×nh th­êng ¸m to¸n nh©n. 	Nhµ cña ta nguyªn lai nu«i qu¸ thÊt, b¸t miÖng heo, nhÊt mÊt mïa toµn bé giÕt chÕt ¨n. 	C©y anh ®µo bØ hoa ®µo ®Ñp h¬n, cµng cao nh·. 	C­¬ng míi nh×n ®Õn mét con mµu tr¾ng con có mÌo, thùc sù lµ hiÕm l¹ a! 	Hoang s¬n d· lÜnh ®Şa ph­¬ng dÔ dµng nhÊt xuÊt hiÖn yªu qu¸i, chóng ta cßn lµ cÈn thËn tuyÖt vêi. 	Ta nhÊt ®Şnh ph¶i thó mét liÖu lı cao thñ ®­¬ng l·o bµ.
32	Hßa th­îng ThiÕu l©m mçi mét ng­êi ®Òu tù cho lµ rÊt giái, ta xem còng rÊt khã chŞu. 	Tõ nhá cha ta chØ hy väng ta n¨ng lµm ®¹i quan, ®Ëu Tr¹ng nguyªn, thÕ nh­ng ta ®èi nghiªn cøu häc vÊn kh«ng cã høng thó. 	H¾c h¾c, ta h«m nay t©m t×nh kh«ng tÖ, chóng ta ®i chung quanh mét chót ba? 	Ngµy h«m nay ta rÊt cã h¨ng h¸i, chóng ta lai cïng nhau xuèng s«ng b¾t c¸ ba? 	Kú thùc ta còng kh«ng ph¶i phi th­êng sî quû qu¸i, chØ lµ cã lóc nhí tíi, sinh lßng kinh khñng. 	HiÖn t¹i ta cµng ngµy cµng muèn trë thµnh h«n, ai, thÕ nh­ng ng­êi trong lßng ë ®©u cßn kh«ng biÕt ni?
33	ChÕt tiÖt, nhÊt ®Şnh lµ ng­¬i ngµy h«m qua hoa tíi c¸i nÊm lµm h¹i, ®au bông ®· chÕt! 	S­ phã cña ta thŞ mét ng­êi tiªu s­, ë t¹i thµnh ®«. 	Mçi n¨m mét lÇn ®ªm thÊt tŞch tiÕt l¹i muèn ®Õn råi, n¨m nay ta lµ c« ®¬n mét ng­êi a. 	Xa xa cã mét ngän nói, tho¹t nh×n rÊt hoang vu h×nh d¹ng. 	Cã lóc nh©n bØ quû cµng ®¸ng sî h¬n. 	Tõng cã quı téc tiÓu th­ h­íng t«i lµm phong th­ t×nh, ta kh«ng cã tr¶ lêi nµng, dï sao th©n phËn chóng ta c¸ch xa.
34	Ng­¬i nãi c¸i kia c¸i g× sÊm quan, ta hiÖn t¹i mét chót høng thó còng kh«ng cã. 	§· tõng ta tiÓu s­ muéi h­íng ta ¸m chØ qua, thÕ nh­ng lóc ®ã ta g× còng kh«ng hiÓu, n¨m ngo¸i nµng lËp gia ®×nh. 	Ng­¬i h«m nay mÆc ®¾c y phôc qu¸ khã coi, nhanh lªn ho¸n nhÊt kiÖn ba. 	N¬i nµy phong c¶nh rÊt tèt, chóng ta ®a th­ëng thøc mét håi ba? 	Chóng ta khø chŞu chót ¨n vÆt ba? 	Kú l©n rèt cuéc lµ d¹ng g× tö ni? NÕu nh­ ta n¨ng nh×n thÊy th× tèt råi.
35	LÇn sau chó ı mét chót kháe? Ta nhiÒu lÇn thiÕu chót n÷a mÊt m¹ng. 	Con ng­êi cña ta ghĞt nhÊt bŞ m¾ng chöi ng­êi, nh­ng lµ cã ng­êi thËt ®¸ng m¾ng. 	Trêi nãng bøc nµy, lµm cho cµng ph¸t ra phiÒn n·o. 	V× sao nh©n lu«n lu«n t­ëng tr­êng sinh bÊt l·o, thËt kh«ng râ a! 	Võa cã mét tiÓu trïng tö nh×n chßng chäc ta mét chót, cã chót d­¬ng. 	Ta thÕ nµo quªn nhí tr­íng, mçi ngµy ta ®« héi ghi chĞp xuèng m×nh tiªu dïng, nh­ vËy t­¬ng ®èi dÔ dµng qu¶n lı tµi s¶n.
36	LÇn tr­íc ng­¬i cho ta tr¸i c©y thŞ toan, thiÕu chót n÷a toan ®iÖu l·o tö r¨ng hµm. 	Chóng ta kh«ng cÇn ph¶i ... Tïy tiÖn vµ ng­êi kh¸c ®¸nh nhau, nh­ vËy kh«ng cã ı tø. 	Rèt cuéc h¹ng ng­êi g× míi lµ ng­êi thµnh c«ng ni? 	NÕu nh­ mçi ngµy buæi tèi ®Òu cã thÓ ngñ ë hĞ ra tho¶i m¸i trªn gi­êng th× tèt råi, ha ha! 	Ng¹ a, tr­íc m¾t ®Òu ph¶i m¹o sao Kim, ta ¨n b¸nh n­íng ba! 	TriÖu ®¹i ®Şa chóa yÕu xuÊt thô mét m¶nh ®Êt, ta lo l¾ng mua, ®¾p mét qu¸n c¬m nhá.
37	? quû thiªn khİ nµy h¹, ng­¬i sÏ kh«ng hoµi niÖm trµ liªu sao? 	Cai tÕ tÕ ngò t¹ng miÕu. 	HiÖn t¹i kim ng­êi ®· rÊt İt quÊy rÇy ta §¹i Tèng, b¸ch tİnh còng cã thÓ qu¸ th­îng b×nh an cuéc sèng. 	Chóng ta h¼n lµ dõng l¹i nghØ ng¬i mét håi! 	? ®©y tuy r»ng phong c¶nh mü lÖ, n­íc s«ng trong suèt, nh­ng chóng ta hoµn cã chuyÖn ph¶i lµm, kh«ng øng víi l­u luyÕn n¬i ®©y. 	Muéi tö ta ph¶i ra khái g¶ cho, ngùc cã chót l¹ qu¸i!
38	Buæi tèi ta b×nh th­êng nghØ ng¬i bÊt h¶o, thêi gian dµi, ng­êi s¾t còng muèn ®¶o a. 	Mét ngµy kia, ta còng sÏ trë thµnh trong chèn giang hå hiÓn h¸ch nh©n vËt. 	§i ngang qua ThiÕu L©m th×, ta muèn ®i vµo th­îng buéi c©y h­¬ng. 	SÊm quan th×, tr­íc ph¶i lµm tèt nguyªn vÑn chuÈn bŞ, ®Õn lóc ®ã tµi míi cã thÓ kiªn tr× ®¸o tíi h¹n! 	Ngµy h«m tr­íc ë miÕu ®æ n¸t lé tóc, b¶ lßng ta yªu chñy thñ vøt bá, kh«ng biÕt cã ph¶i hay kh«ng lµ tªn khÊt c¸i trém? 	Man di n÷ tö, ®Òu giái ca móa.
39	H«m nay khİ trêi phi th­êng bÊt h¶o, khiÕn cho ta t©m t×nh còng kh«ng tèt. 	Nh©n huynh, ng­¬i kh«ng c¶m thÊy gÇn ®©y th¸i nhµm ch¸n sao? 	Trªn ng­êi ta tr­êng bµo thŞ mÉu th©n tù lµm. 	Ta th­êng th­êng ë ngµy ®«ng gi¸ rĞt ë trÇn ë bªn ngoµi luyÖn c«ng, nh­ vËy kh¶ dÜ t«i luyÖn nghŞ lùc. 	Tè ng­êi kh«ng thÓ th¸i cæ b¶n, thØnh tho¶ng còng muèn c­êi mét c¸i, ®èi, ta nãi lµ ng­¬i, ®¹i ca! 	Ngµy h«m nay ¸nh tr¨ng kh«ng sai, ta muèn ®èi nguyÖt xuy ®Şch.
