talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	Kh«ng ®Ó cho ta tè nµy chuyÖn nguy hiÓm! 	Ta sanh ra ë mét kh«ng biÕt tªn ®Şa ph­¬ng nhá, th¼ng ®Õn häc vâ c«ng míi tõ gia h­¬ng ®i ra. 	Tuy r»ng ta còng muèn gi¸ ng­êi anh hïng hiÖp kh¸ch, thÕ nh­ng vµ ng­êi nh­ thÕ kh«ng cã kiªn ®Şnh ngµy tr«i qua. 	Cæ ®¹i hßa th­îng ë §«n Hoµng ®iªu kh¾c phËt t­îng, cÊt chøa rÊt nhiÒu kinh th­ vµ b¶o tµng. 	Ta cã mét tiÓu ch¸u ngo¹i trai ch©n b­íng bØnh, liªn trong nu«i heo h¾n ®Òu c­ìi bµo. 	ChiÕn tranh lËp tøc sÏ kÕt thóc, thËt tèt qu¸.
12	Va-li tö, linh hµnh lı, nh­ vËy sèng kh«ng ®Ó cho ta kiÒn. 	Cïng víi ng­¬i nhiÒu ... thÕ nµy ngµy, ta da ®Òu thay ®æi th« th¸o. 	§· tõng ta còng ®Çy câi lßng lı t­ëng hµo hïng, ®õng nh×n ta chØ lµ n÷ hµi gia. 	Th¸ng tr­íc ®i ngang qua thµnh ? miÕu th×, quªn cÊp thÇn tiªn bµy ®å cóng, kÕt qu¶ ®· ®¸nh mÊt nhÊt tói ng©n l­îng. 	Cã mét lÇn, ta thay bµ ngo¹i thu trøng gµ, kh«ng nghÜ qua lµ nh­îng ®¹i c«ng kª cÊp tr¸c. 	Míi b­íc ch©n vµo giang hå c¶m gi¸c thËt kh«ng sai, bèn biÓn lµ nhµ.
13	Ta kh«ng cã thÓ nh­ vËy cña ng­¬i ng­êi hÇu. 	Cã thêi gian còng cã thÓ ®i mua mét İt thuèc mì lai phu kiÓm, rÊt tho¶i m¸i. 	Hay lµ theo ng­¬i n¨ng thùc hiÖn ta tr­íc kia tr¶ thï, trë thµnh cao thñ vâ l©m, v× quèc gia tËn lùc. 	Kª cã thËt nhiÒu lo¹i ni, « kª, gµ tre, ¶i ch©n kª, tam hoµng kª, ¨n ngon nhÊt cßn lµ tam hoµng kª. 	Ta tr­íc ®©y nu«i cÈu nghiÖp d­ ham thŞ ®·i chuét. 	Cã chót ®au ®Çu, cã thÓ lµ c¶m l¹nh ba.
14	Kh«ng nªn lu«n lu«n véi vµng ®iÕu dÔ nh×n cã thÓ sao? 	Mïa xu©n tíi thêi gian, s¬n d· lı héi në ®Çy xinh ®Ñp Hoa nhi. 	Ta h¸t bÊt h¶o thİnh, kh«ng biÕt tû tû h¸t ®¾c lµm sao. 	Tam hoµng kª hay nhÊt hÇm, t¸i dİnh ®å gia vŞ, vŞ ®¹o kh«ng g× s¸nh ®­îc ngon. 	Cã lóc héi nhí tíi ta nu«i con chã vµng, nã tõng lµ ta b»ng h÷u tèt nhÊt. 	KiÕp nµy tiÕc nuèi lín nhÊt chİnh lµ kh«ng cã häc biÕt b¬i.
15	N÷ hµi gia lu«n lu«n muèn ®¸nh phÉn mét c¸i, tiÒu ng­¬i! 	N¨m nay ch¾c lµ mét h¶o niªn, mong muèn quèc gia chóng ta kh«ng cã thiªn tai. 	Khi cßn bĞ ta vµ tõ trong cung ®i ra ngoµi l·o cung n÷ häc qua khiªu vò, hiÖn t¹i hÇu nh­ quªn mÊt. 	Ta cuèi cïng thŞ tïy th©n mang theo mÊy c©y hoµng qua, coi nã lµ tè hoa qu¶ cËt. 	Ta mãn bao tö cã ®«i khi héi khiÕu, bän hä nãi lµ bªn trong r¾n, ch©n kinh khñng! 	§õng nãi ng­¬i kh«ng cã ng­êi trong lßng, ta nh­ng kh«ng tin!
16	Tõng lÔ b¸i İt nhÊt ph¶i t¾m mét lÇn t¾m, nÕu kh«ng sÏ bŞ khinh bØ! 	Trong ThiÕu l©m tù hßa th­îng ®Òu tèt nghiªm tóc a, cã ph¶i lµ bän h¾n hay kh«ng trêi sinh còng sÏ kh«ng c­êi ®Êy. 	Ta bµ ngo¹i nhµ trong hËu viÖn nu«i rÊt nhiÒu gµ m¸i, sanh ®¶n kh¶ dÜ ®¸o chî th­îng ®æi tiÒn. 	S¸ng sím giÆt xong kiÓm sau ®ã, chuyÖn thø nhÊt hay h¸t nhÊt b¸t lín n­íc Êm. 	Ngµy ®ã thÊy mét khèi v¶i vãc, qu¶ thùc qu¸ ®Ñp, thİch hîp cho ta tè v¸y. 	Ngµy nµo ®ã chóng ta léng chØ B¸t ca vui ®ïa mét chót, gi¸o nã häc thuyÕt nãi.
17	Ng­¬i cã bao nhiªu cöu mét söa ch÷a tãc? 	MÊy n¨m nµy mïa hÌ cµng ngµy cµng nãng, thËt cã ®iÓm kh«ng chŞu næi. 	Võa mét n¨m, kh«ng biÕt gia h­¬ng b»ng h÷u thÕ nµo. 	Ta ghĞt nhÊt bŞ thó vµi mét l·o bµ nam nh©n, ®èi n÷ nh©n mµ nãi th¸i kh«ng c«ng b×nh. 	A, ai vËy r¬i ng©n l­îng? 	Thu thËp ng©n søc thŞ së thİch cña ta mét trong.
18	Kh«ng cÇn ®«ng t©y nªn b¸n ®i, l­u mét ®èng bôi bÆm chång chÊt lµm c¸i g×? 	Mïa ®«ng ch©n ®Ó cho ng­êi phiÒn lßng, còng kh«ng cã thÓ mÆc quÇn ¸o xinh ®Ñp. 	? trªn biÓn ®i thŞ c¶m gi¸c g× a, ta còng muèn thÓ héi mét chót. 	Ta tèi thø sî thŞ s©u l«ng. 	Kú thùc bß xa bØ m· xa tho¶i m¸i, thÕ nh­ng v× sao kh«ng ai täa bß xa? 	Võa ng­êi kia thÕ nµo lín lªn bØ ®Çu tr©u, m· mÆt, cßn ®¸ng sî h¬n!
19	V× sao cã nhiÒu ng­êi nh­ vËy PK ng­¬i a? 	Ta thİch ¨n nhÊt thŞ tiÓu lung bao vµ s÷a ®Ëu nµnh. 	Long m«n trÊn ¨n vÆt chõng nghe tiÕng, chóng ta nhÊt ®Şnh ph¶i ®i phÈm th­êng h¹. 	Ta ghĞt nhÊt ®«ng t©y thŞ muçi. 	Còng bëi v× bß xa qu¸ chËm, ®¹i gia tµi kh«ng th­¬ng täa bß xa ni. 	Ch©n tiÕc nuèi, ta kh«ng cã t×m ®­îc tr­íc ®©y mai d­íi tµng c©y g× ®ã.
20	N¨m nay l­u hµnh mµu ®á, ng­¬i g× chø mÆc lôc s¾c? 	Ta ¨n h¹nh nh©n ®Ëu hò, kh«ng biÕt nã thŞ lµm sao lµm, ngµy nµo ®ã còng muèn b¾t ch­íc häc. 	Thİch nhÊt lı b¹ch c©u th¬, ta nghÜ h¾n lµ mét hiÓu ®­îc tù do vµ sinh ho¹t nh©n. 	Ta thİch nhÊt ®éng vËt thŞ cÈu. 	Tr­íc ®©y ë mét ng­êi giµu gÆp qua lo¹i h¾c s¾c da ng­êi cña, vµ than nh­ nhau h¾c. 	Ngµy h«m nay bá vµo mét phong th­ t×nh, thËt cao høng!
21	Nghe nãi kim nh©n cã m¾t xanh. 	¡n nhiÒu hoa qu¶ cã lîi cho th©n thÓ kháe m¹nh, cßn cã thÓ bµi ®éc h¹ löa. 	TiÕt nguyªn tiªu th×, mäi nhµ phãng tèn chót ®Ìn, nh­ng n¸o nhiÖt. 	Ta thİch ¨n nhÊt thŞ t©y qua. 	Ta ®· biÕt, h¾c s¾c da ng­êi cña khiÕu C«n L«n n«, thŞ chuyªn m«n lµm cho lµm viÖc n« lÖ. 	Ai, ta hùu bØ n¨m ngo¸i mËp thËt nhiÒu, bông nhá tÊt c¶ ®i ra.
22	Mçi ngµy ¨n thôy, ngñ råi ¨n, héi bĞo ph×. 	Mçi ngµy muèn uèng chİ İt ba ly lín thñy, ®èi da phi th­êng míi cã lîi. 	Ph­¬ng b¾c khiÕu nguyªn tiªu, phİa nam khiÕu b¸nh tr«i, vŞ ®¹o tuy r»ng kh«ng sai biÖt l¾m, c¾n lªn khø cßn ch­a ph¶i nh­ nhau. 	Ta tèi phiÒn n·o sù thŞ ng©n tói trèng tr¬n. 	N¨m ngo¸i mïa hÌ ta thiÕu chót n÷a bŞ mét s¬n §¹i v­¬ng chép tíi ®­¬ng ¸p tr¹i phu nh©n. 	Tõ h«m nay trë ®i ta muèn gi¶m bĞo.
23	Tõ cïng víi ng­¬i, ng­êi cña ta sinh biÕn ®¾c kh«ng cã ı nghÜa. 	Nghe nãi V©n Nam sinh trµ xanh ®Æc biÖt h¶o, ngµy nµo ®ã còng cÇn mua ta lai phÈm phÈm. 	Thôc ®Şa thøc ¨n thiªn ma thiªn l¹t, kh«ng thİch hîp chóng ta ng­êi Giang Nam cËt. 	Ta cao høng nhÊt sù thŞ gÆp ph¶i y phôc ®iÕm gi¶m gi¸. 	V× sao ta chİnh lµ thay ®æi kh«ng b¹ch a, ta ®· dïng thËt nhiÒu Pearl phÊn. 	Trong bao quÇn ¸o cßn cã mét khèi bét lªn men bİnh, chØ cã thÓ liÒn d­a muèi ¨n.
24	Ng­¬i tùa hå kh«ng cã ph¹n tiÒn trë l¹i ®­êng ngay tËp qu¸n! 	Phİa nam cã rÊt nhiÒu tr©u, nh©n cßn cã thÓ c­ìi ë bän hä trªn l­ng, thËt biÕt ®iÒu. 	Kim nh©n lµm kh¶o toµn bé dª vŞ ®¹o qu¶ thËt kh«ng tÖ, hay nµy dª th¸i ®¸ng th­¬ng. 	Tèi h«m qua ta tùa hå nghe ®· cã lang ®ang gäi, thÕ nh­ng trîn m¾t l¹i kh«ng thÊy ®­îc nöa con lang. 	MÑ ta kÓ ®en c« n­¬ng kh«ng ai thÌm lÊy, ta ph¶i nhanh lªn mü tr¾ng. 	Ta h¸t bµi h¸t ba, ®õng nãi h¸t kh«ng ®­îc kh¸ thİnh nga!
25	Mong muèn ng­¬i kh«ng nªn tïy tiÖn vµ nh©n PK. 	Nh×n thÊy ®éc xµ cÇn ph¶i trèn xa mét chót, ta cã mét lÇn thiÕu chót n÷a bŞ ®éc chÕt. 	Hµnh tÈu d· ngo¹i thêi gian, ph¶i chó ı ven ®­êng hoa hoa th¶o th¶o, cã rÊt nhiÒu thŞ quı b¸u d­îc liÖu. 	GÇn ®©y ta c¬n tøc ®¹i, ®¾c chŞu chót khæ qua quay l¹i trõ ho¶. 	? trong s«ng t¾m qu¸ nguy hiÓm, v¹n nhÊt lµm cho nam nh©n thÊy tùu m¾c cë chÕt ®­îc. 	Hai chóng ta mü n÷ hµnh tÈu giang hå, héi ®­a tíi kh«ng İt ong b­ím ba.
26	BÊt n¨ng khi dÔ ®¼ng cÊp bØ ng­¬i thÊp rÊt nhiÒu ng­êi cña. 	Hµng n¨m ta còng ph¶i ®i Ngò Thai s¬n th¾p h­¬ng, n¨m nay còng muèn ®i. 	Hai ngµy nµy lu«n lu«n n»m m¬, m¬ tíi ¨n ®­îc ®a thËt lµ nhiÒu ®iÓm t©m. 	M¾t thŞ rÊt träng yÕu, nÕu nh­ nghÜ mÖt nhäc ®Ó nã nghØ ng¬i mét chót. 	Nãng hÇm hËp b¸nh bao c¾n mét c¸i thËt lµ th¬m a, ai, ®· l©u ch­a tõng ¨n qua. 	Chóng ta ph¶i cÈn thËn nµy kh«ng cã h¶o ı nam nh©n.
27	Kh«ng thİch nhÊt kh«ng nãi vÖ sinh ng­êi cña! 	Ta tæ tiªn vèn cã ë t¹i ph­¬ng b¾c, sau l¹i bëi v× kim nh©n x©m lÊn tµi di chuyÓn ®¸o phİa nam. 	Cã ph¶i lµ cña ta hay kh«ng d¹ dµy x¶y ra vÊn ®Ò, hai ngµy nµy vÉn ¨n kh«ng v« ®«ng t©y. 	Cã quay vÒ ta h¸t n­íc giÕng tróng ®éc, kh«ng biÕt cã ph¶i hay kh«ng lµ cã ng­êi cè ı kª ®¬n. 	Ai nha, ta ®©y tµi nhí tíi, ta cßn mang theo chİnh ­íp c©y c¶i cñ kiÒn ni. 	Ta ph¸t hiÖn trong thµnh nam nh©n tÊt c¶ chó ı tû tû, nãi râ tû tû cã mŞ lùc.
28	Ng­¬i dïng thŞ hoa quÕ du cßn lµ son phÊn a, thËt lµ khã ngöi. 	Nguyªn lai ta nu«i qu¸ nhÊt con chã vµng, kh«ng biÕt nã ®· ch¹y ®i ®©u, t×m kh«ng ®­îc råi. 	Phİa nam cã mét lo¹i d¹ lai h­¬ng, chØ ë buæi tèi në hoa, h­¬ng khİ bèn phİa. 	Con cua thŞ nh­ vËy mü vŞ, hÊp sau ®ã dïng kh­¬ng n­íc dİnh cËt, ai, ta ®Òu ch¶y n­íc miÕng. 	Ta mét lÔ b¸i tµi ho¸n quay vÒ y phôc, giÆt quÇn ¸o thËt sù lµ qu¸ mÖt mái. 	Ta thËp tuÕ thêi gian kh¸o lµm xiÕc duy sanh, còng ®· ®Õn rÊt nhiÒu ®Şa ph­¬ng.
29	§èi tiÓu ®éng vËt ph¶i cã ¸i t©m, biÕt kh«ng. 	Hoµng ®Õ cã tam cung lôc viÖn, còng kh«ng biÕt h¾n yÕu nhiÒu nh­ vËy l·o bµ lµm g×. 	Sang n¨m nÕu nh­ t¸i ®¸i kh«ng trë vÒ con rÓ lai, mÑ ta tùu ph¶i cho ta t­¬ng th©n. 	C©y hoa cóc kh«ng chØ cã ®Ñp, cßn cã thÓ lµm thuèc, cã thanh nhiÖt gi¶i ®éc c«ng hiÖu. 	Võa ®Õn buæi chiÒu ta chØ muèn ngñ, chóng ta h¼n lµ t×m mét chç nghØ ng¬i mét chót. 	§­¬ng h¹t thãc thµnh thôc th×, héi bay tíi trËn trËn h­¬ng vŞ, lµm cho c¶m gi¸c rÊt kho¸i tr¸.
30	¡n chay ®èi th©n thÓ h¶o hoµn kh«ng s¸t sinh! 	Cã mét niªn hoµng ®Õ chän tó n÷ thiÕu chót n÷a b¶ ta tuyÓn khø, hoµn h¶o ta giÊu ë hÇm lı. 	LÇn sau chóng ta ®¸o trong thµnh, kh¶ dÜ ®¸o töu qu¸n nghe mét chót ca kü h¸t khóc sao? 	§«ng trïng h¹ th¶o lµ mét lo¹i cïng lo¹i trïng th¶o d­îc, th­êng th­êng dïng cho bæ d­ìng th©n thÓ. 	Ngµy h«m qua ta ngñ kh«ng ngon, bëi v× v·n kh«ng ¨n c¬m ¨n no. 	Ngµy h«m nay d­êng nh­ muèn m­a a, chuån chuån bay rÊt thÊp.
31	MÆt trêi lín nh­ vËy ph¬i n¾ng tö ta, ta muèn nghØ ng¬i. 	Tû tû v× sao kh«ng lÊy chång ng­êi cã tiÒn ng­êi ®©u, nh­ vËy chung quanh b«n ba ®a khæ cùc a. 	Ta ®éc qu¸ sö kı, thÕ nh­ng kh«ng biÕt bªn trong nãi sù cã ph¶i thËt vËy hay kh«ng. 	Tæ yÕn vŞ ®¹o qu¶ thËt kh«ng tÖ, thÕ nh­ng ta chØ ¨n xong mét håi. 	Ta nghÜ tinh lùc sù d­ thõa, tinh thÇn h¶o. 	Trêi m­a tiÒn ta sÏ ch©n ®«ng cã ®óng hay kh«ng cã bÖnh phong thÊp?
32	Lu«n kh«ng d­íi m­a, yÕu buån chÕt ng­êi råi! 	Ta nghÜ sau ®ã chİnh cã mét tiÓu ®iÕm cöa hµng, cßn cã mét thİch phu qu©n cña ta, t¸i sinh mÊy ng­êi bóp bª. 	Nghe nãi trong hoµng cung phi tö ®Òu dïng b¸nh kem lai t¾m. 	B×nh th­êng cËt mét ®iÓm thè cã lîi cho th©n thÓ kháe m¹nh, ta lµ ngãn tay ®å gia vŞ dÆm thè, ha h¶. 	ThËt lµ xui xÎo a, tói tiÒn cña ta bŞ ng­êi ®¸nh c¾p. 	S¸ng sím ta ¨n l­ìng mµ b¸nh nh©n ®Ëu, thÕ nh­ng kh«ng cã uèng s÷a ®Ëu nµnh, hiÖn t¹i nghÜ hùu ®ãi bông.
33	Ta c­¬ng vµ nam b»ng h÷u biÖt ly t©m t×nh kh«ng tèt, chí phiÒn ta. 	Ta biÓu tû thİch nhÊt hãa trang, cña nµng son bét n­íc trang bŞ ®Çy ®ñ mét ng¨n tñ. 	Kh«ng biÕt ®iªu thiÒn cã ph¶i lµ thËt hay kh«ng cã bÕ nguyÖt nghØ hoa d¸ng vÎ. 	Ng­¬i xem ta c©y qu¹t th­îng vÎ mét xinh ®Ñp cung n÷, nµng lµ cña ta biÓu tû a. 	Ta nghÜ m·i mét bé y phôc, thÕ nh­ng qu¸ m¾c. 	Tû tû v× sao thİch ¨n g¹o tr¾ng ch¸o a.
34	Ng­¬i c¶ ngµy hoµn thËt vui vÎ sao! 	N¨m kia ë trong nói h¸i thuèc th× ®ông tíi mét l·o nh©n gia tiªn phong ®¹o cèt, trong nh¸y m¾t ngay tr­íc m¾t ta tiªu thÊt. 	Cã quay vÒ ta ë mét trong s¬n cèc nghe ®­îc nh©n thæi tiªu, thÕ nh­ng l¹i t×m kh«ng ®­îc thæi tiªu ng­êi cña. 	Tû tû cã ngäc béi sao, cha ta ®a ®­a cho ta mét chim tr¶, nh­ng dÔ nh×n. 	Ta c­¬ng mua mét ®«i vßng ngäc, thËt xinh ®Ñp. 	N÷ hµi mÆc quÇn ¸o th× ph¶i chó ı che giÊu khuyÕt ®iÓm cña m×nh, ®ét ra b¶n th©n ­u ®iÓm.
35	Mçi ngµy dïng n­íc muèi lai sóc miÖng lµ phi th­êng cã cÇn thiÕt. 	Sinh thêi còng muèn khø nh×n mét c¸i biÓn réng, tû tû còng ®ang ®i th«i. 	Muèn thu tËp mét İt gËy tróc lai dïng nã ch­ng c¬m tÎ, vŞ ®¹o rÊt th¬m. 	NÕu cã mét ngµy ®ªm ta còng cã thÓ nh­ chim nhá nh­ nhau ë trªn trêi bay l­în thËt lµ tèt biÕt bao a! 	Ng­êi Cao Ly thİch ¨n ®å chua, vÉn thİch ¨n thŞt chã. Bän hä ë t¹i kim quèc ph­¬ng b¾c. 	C« g¸i trÎ tuæi mÆc quÇn ¸o ta cho lµ nªn kiªng kş h¾c, h«i, xanh ®Ëm.
36	ThØnh tho¶ng còng muèn uèng ta trµ xanh lai Thanh Thanh löa. 	Ngµy nµo ®ã chóng ta cïng ®i phao «n tuyÒn, nh­ng tho¶i m¸i råi. 	C¸nh con gµ chØ cã thoa lªn mËt vµ muèi n­íng cËt, vŞ ®¹o tµi n¨ng ®¹t ®­îc hoµn mü. 	Phong ®Òu lµ næi danh quû thµnh, n¬i ®ã lµ Diªm v­¬ng l·o gia. 	§«ng doanh lµ mét tiÓu quèc, bän hä mét ®Çu thÊp bĞ, cã lóc ë trªn biÓn gÆp ®­îc. 	Võa ta thÊy mét bãp mÆt ng­êi l·o gia gia, h¾n lµm mÆt nh©n nh­ng dÔ nh×n.
37	GÆp m­a ch¹y ®i ®èi th©n thÓ bÊt h¶o, v­u k× chóng ta ®Òu lµ n÷ hµi tö. 	Ta ch­a tõng cã uèng qua mét giät r­îu, n÷ hµi gia kh«ng nªn dİnh thø nµy. 	Na Thiªn tû tû còng cã thÓ h¶o h¶o trang phôc h¹, ta nghÜ liªn thÇn tiªn còng sÏ ®éng t©m. 	ThuËt l¹i chung kh«i sinh tiÒn t»ng lµ mét g· cã tµi th­ sinh, cao ®Ëu Tr¹ng nguyªn hËu nh©n kú m¹o xÊu kh«ng ®­îc träng dông, tèi hËu chµng trô mµ chÕt. 	MÊy th¸ng tiÒn ta ë trong nói gÆp ph¶i chØ con cäp, nã ®¹i kh¸i lµ ¨n no, kh¸n còng kh«ng thÊy ta liÕc m¾t liÒn ®i. 	Ta ng­êi nµy sî nhÊt thiÕu ng­êi chuyÖn.
38	Ng­¬i cho tíi b©y giê còng kh«ng ¨n ®iÓm t©m sao, nh­ vËy ®èi th©n thÓ kh«ng tèt. 	Vèn cã ta kh«ng biÕt ch÷, n¨m kia ë mét tµi chñ gia s¶n hé viÖn ta vµ n¬i ®ã c«ng tö häc biÕt ch÷. 	NÕu kh«ng lÇn tíi mÑ ta mang ta th©n cËn th×, tû tû còng cïng ta ®i cho. 	C©y ng« lµ mét lo¹i phi th­êng tèt thùc vËt, ®İnh ¨n no l¹i thİch cËt, cßn kh«ng héi tr­ëng bĞo. 	Cã thêi gian, tû tû còng mang ta du du ThÇn Ch©u ®¹i ®Şa, thuËn tiÖn phÈm th­êng c¸c n¬i mü thùc. 	C©y s¸o ©m s¾c ho¹t b¸t mµ s¸ng, mµ tiªu cßn l¹i lµ u buån, lê mê.
39	MÆt trêi lªn cao ph¶i rêi gi­êng luyÖn c«ng. 	N÷ hµi gia nªn häc mét İt thªu hoa vµ v©n v©n, thÕ nh­ng ta thÕ nµo còng kh«ng häc ®­îc. 	Ngµy h«m qua ®i ngang qua lµng ta l­îm hai ng­êi trøng gµ, kh«ng biÕt ngµy h«m nay hoµn cã thÓ hay kh«ng nhÆt ®­îc. 	Ng­¬i ¨n xong kh¶o thá rõng sao, vŞ ®¹o thùc sù lµ kh«ng sai! 	§¹i Lı n­íc lµ mét mü lÖ nh­ tranh vÏ ®Şa ph­¬ng, ta còng muèn ®i biÕt mét chót vÒ. 	Kh«ng biÕt chóng ta l·o liÔu sau ®ã cã ®óng hay kh«ng cßn cã thÓ nh­ vËy ë trªn giang hå m¹o hiÓm.
