MinLevel	MaxLevel	BestPhase	Content
1	1	1	H­íng dÉn: NhÊn <Delete> ®Ó xãa c¸c dßng t¸n gÉu.
1	1	1	"H­íng dÉn: NhÊn gi÷ <Alt> vµ chuét ph¶i ®Ó chän c¸c c©u t¸n gÉu mÆc ®Şnh ""mØm c­êi"", ""dùa vµo"", ""theo ta""..."
1	1	1	"H­íng dÉn: NhÊn gi÷ <Ctrl> vµ chuét ph¶i vµo ng­êi ch¬i bÊt kú ®Ó lùa chän xem tin tøc, kÕt h¶o h÷u, t¸n gÉu, tæ ®éi, theo sau, giao dich..."
1	1	1	H­íng dÉn: NhÊn chuét tr¸i vµo qu¸i thó sÏ liªn tôc xuÊt chiªu;  nhÊn chuét ®Ó ®¸nh tõng ph¸t mét
1	1	1	"Thao t¸c kü n¨ng: NhÊp chuét tr¸i vµo biÓu t­îng kü n¨ng ë gãc ph¶i mµn h×nh, sau ®ã chØ chuét vµo 1 kü n¨ng bÊt kú, Ên c¸c phİm <Q>,<W>,<E>,<A>,<S>,<D>,<Z>,<X>,<C>,<F>,<G> ®Ó thiÕt ®Şnh chøc n¨ng chuyÓn ®æi nhanh c¸c kü n¨ng"
1	1	1	"Thao t¸c: B¹n cã thÓ bá m¸u, d­îc phÈm còng nh­ thæ ®Şa phï vµo biÓu t­îng phİa gãc tr¸i cöa sæ, sau ®ã chØ cÇn nhÊn phİm <1>, <2>, <3> lµ cã thÓ sö dông nhanh."
1	1	1	"Thao t¸c: NhÊn chuét vµo sè Täa ®é d­íi gãc tr¸i b¶n ®å nhá, nhËp täa ®é muèn ®Õn. NhÊn <Enter>, sau ®ã cø theo ®­êng chØ mµu vµng trªn b¶n ®å nhá ®i ®Õn vŞ trİ ®· x¸c ®Şnh!"
1	1	1	Kim Ngäc l­¬ng duyªn: Khi b¹n ®¹t cÊp 20 lµ cã thÓ ®Õn NguyÖt L·o ë Giang T©n Th«n ®Ó xin kÕt duyªn cïng ng­êi t©m ı víi m×nh.
1	1	1	"HØ KÕt Kim Lan: Khi b¹n cïng víi ng­êi kh¸c t©m ®Çu ı hîp, chØ cÇn ®Õn gÆp TÜnh §èc §¹i S­ t¹i Nam Nh¹c trÊn ®Ó b¸i kÕt Kim Lan."
1	1	1	"H­íng dÉn: NhiÖm vô Hoµng Kim ®em l¹i cho b¹n nhiÒu phÇn th­ëng hÊp dÉn: trang bŞ hoµng kim, ®iÓm kinh nghiÖm cïng nh÷ng t×nh tiÕt ly kú hÊp dÉn kh¸c...Cã thÓ ®Õn gÆp Long Ngò t¹i c¸c T©n Thñ th«n ®Ó tiÕp nhËn nhiÖm vô."
1	1	1	"H­íng dÉn: Trong nhiÖm vô phô tuyÕn, b¹n cã thÓ nhËn nhiÒu phÇn th­ëng phong phó nh­ c¸c lo¹i b¶o vËt, trang bŞ HuyÒn Tinh, ®iÓm kinh nghiÖm! B¹n cã thÓ ®Õn Ph­îng T­êng gÆp Ng¹o V©n T«ng (198, 206) ®Ó nhËn nhiÖm vô chİnh ph¸i; ®Õn L©m An gÆp LiÔu Nam V©n (171, 190) ®Ó nhËn nhiÖm vô trung lËp; ®Õn BiÖn Kinh gÆp Th¸c B¹t Hoµi Xuyªn (209, 190) ®Ó tiÕp nhËn nhiÖm vô tµ ph¸i."
1	1	1	"H­íng dÉn: Hoµn thµnh nhiÖm vô D· TÈu, b¹n cã thÓ nhËn ®­îc phÇn th­ëng: tiÒn, ®iÓm kinh nghiÖm, B¶o Th¹ch...! B¹n cã thÓ ®Õn gÆp D· TÈu t¹i c¸c T©n Thñ th«n hoÆc c¸c thµnh thŞ ®Ó tiÕp nhËn nhiÖm vô."
1	1	1	H­íng dÉn: B¹n cã thÓ nhËn chuyÓn th­ ë DŞch Quan ®Ó cã ®­îc ®iÓm danh väng.
1	1	1	H­íng dÉn: Khi ®Õn cÊp 20 cã thÓ t¸n gÉu trªn tÇn sè thµnh thŞ.
1	1	1	"H­íng dÉn: Hoµn thµnh nhiÖm vô cÊp 30 b¹n sÏ häc ®­îc vâ c«ng t­¬ng øng, nhÊn phİm <F1> ®Ó xem h­íng dÉn chi tiÕt."
1	1	1	H­íng dÉn: NhÊn gi÷ phİm <Ctrl> vµ nhÊn chuét tr¸i lªn ng­êi ch¬i cã rao b¸n ®Ó xem th«ng tin nh÷ng vËt phÈm muèn mua.
1	1	1	H­íng dÉn: Khi muèn giao ®Êu víi ng­êi kh¸c h·y bËt <F9>.
1	1	1	"H­íng dÉn: NhÊn biÓu t­îng nhá thø ba phİa d­íi gãc ph¶i b¶n ®å nhá ®Ó xem ""B¶n ®å Vâ L©m""; nhÊn biÓu t­îng nhá kÕ tiÕp ph¸i d­íi gãc ph¶i b¶n ®å nhá ®Ó xem ""B¶n ®å c¸c mª cung, s¬n ®éng"""
1	1	1	"H­íng dÉn: NhiÖm vô Hoµng Kim ®em l¹i cho b¹n nhiÒu phÇn th­ëng hÊp dÉn: trang bŞ hoµng kim, ®iÓm kinh nghiÖm cïng nh÷ng t×nh tiÕt ly kú hÊp dÉn kh¸c...Cã thÓ ®Õn gÆp Long Ngò t¹i c¸c T©n Thñ th«n ®Ó tiÕp nhËn nhiÖm vô."
1	1	1	"H­íng dÉn: Trong nhiÖm vô phô tuyÕn, b¹n cã thÓ nhËn nhiÒu phÇn th­ëng phong phó nh­ c¸c lo¹i b¶o vËt, trang bŞ HuyÒn Tinh, ®iÓm kinh nghiÖm! B¹n cã thÓ ®Õn Ph­îng T­êng gÆp Ng¹o V©n T«ng (198, 206) ®Ó nhËn nhiÖm vô chİnh ph¸i; ®Õn L©m An gÆp LiÔu Nam V©n (171, 190) ®Ó nhËn nhiÖm vô trung lËp; ®Õn BiÖn Kinh gÆp Th¸c B¹t Hoµi Xuyªn (209, 190) ®Ó tiÕp nhËn nhiÖm vô tµ ph¸i."
1	1	1	"H­íng dÉn: Hoµn thµnh nhiÖm vô D· TÈu, b¹n cã thÓ nhËn ®­îc phÇn th­ëng: tiÒn, ®iÓm kinh nghiÖm, B¶o Th¹ch...! B¹n cã thÓ ®Õn gÆp D· TÈu t¹i c¸c T©n Thñ th«n hoÆc c¸c thµnh thŞ ®Ó tiÕp nhËn nhiÖm vô."
1	1	1	H­íng dÉn: Khi ®Õn cÊp 30 b¹n cã thÓ t¸n gÉu trªn tÇn sè thÕ giíi.
1	1	1	Nh¾c nhë: Ng­êi ch¬i tõ cÊp 40-60 cã thÓ tham gia chiÕn tr­êng Tèng Kim S¬ cÊp. Cã thÓ sö dông Tèng Kim chiªu th­ ®Ó trùc tiÕp ®Õn ®Şa ®iÓm b¸o danh!
1	1	1	"H­íng dÉn: T¹i thî rÌn ë c¸c thµnh thŞ lín vµ c¸c T©n Thñ th«n, b¹n cã thÓ n©ng cÊp huyÒn tinh kho¸ng th¹ch, c¸c thuéc tİnh kho¸ng th¹ch, thuéc tİnh ma ph¸p cña trang bŞ xanh, chÕ t¹o Trang bŞ HuyÒn Tinh, kh¶m n¹m trang bŞ HuyÒn Tinh vµ hîp thµnh trang bŞ hoµng kim."
1	1	1	"H­íng dÉn: Hoµn thµnh nhiÖm vô cÊp 40 b¹n sÏ häc ®­îc vâ c«ng t­¬ng øng, nhÊn phİm <F1> ®Ó xem h­íng dÉn chi tiÕt."
1	1	1	"H­íng dÉn: NhiÖm vô Hoµng Kim ®em l¹i cho b¹n nhiÒu phÇn th­ëng hÊp dÉn: trang bŞ hoµng kim, ®iÓm kinh nghiÖm cïng nh÷ng t×nh tiÕt ly kú hÊp dÉn kh¸c...Cã thÓ ®Õn gÆp Long Ngò t¹i c¸c T©n Thñ th«n ®Ó tiÕp nhËn nhiÖm vô."
1	1	1	"H­íng dÉn: Trong nhiÖm vô phô tuyÕn, b¹n cã thÓ nhËn nhiÒu phÇn th­ëng phong phó nh­ c¸c lo¹i b¶o vËt, trang bŞ HuyÒn Tinh, ®iÓm kinh nghiÖm! B¹n cã thÓ ®Õn Ph­îng T­êng gÆp Ng¹o V©n T«ng (198, 206) ®Ó nhËn nhiÖm vô chİnh ph¸i; ®Õn L©m An gÆp LiÔu Nam V©n (171, 190) ®Ó nhËn nhiÖm vô trung lËp; ®Õn BiÖn Kinh gÆp Th¸c B¹t Hoµi Xuyªn (209, 190) ®Ó tiÕp nhËn nhiÖm vô tµ ph¸i."
1	1	1	"H­íng dÉn: Hoµn thµnh nhiÖm vô D· TÈu, b¹n cã thÓ nhËn ®­îc phÇn th­ëng: tiÒn, ®iÓm kinh nghiÖm, B¶o Th¹ch...! B¹n cã thÓ ®Õn gÆp D· TÈu t¹i c¸c T©n Thñ th«n hoÆc c¸c thµnh thŞ ®Ó tiÕp nhËn nhiÖm vô."
1	1	1	"H­íng dÉn Tèng Kim §¹i chiÕn: B¸o danh lóc 11:00, 13:00, 15:00, 17:00, 19:00, 21:00, 23:00 mçi ngµy. KÕt thóc 30 phót b¸o danh lËp tøc khai chiÕn, mçi trËn kĞo dµi 90 phót."
1	1	1	"H­íng dÉn Tèng Kim §¹i chiÕn: B¹n cã thÓ tİch lòy ®iÓm th¾ng lîi th«ng qua hoµn thµnh c¸c sø mÖnh: ""liªn tr¶m"",""®o¹t kú"", ""b¶o vÖ Nguyªn so¸i""..."
1	1	1	"H­íng dÉn Tèng Kim §¹i chiÕn: Tr­íc khi Tèng Kim khai chiÕn, b¹n cã thÓ dïng ®iÓm tİch lòy ®Õn Qu©n Nhu quan ®Ó ®æi lÊy kinh nghiÖm hoÆc dïng ®iÓm tİch lòy mua c¸c dông cô chuyªn dïng cho Tèng Kim, §å phæ Hoµng Kim,c¸c kho¸ng th¹ch..."
1	1	1	"H­íng dÉn Tèng Kim §¹i chiÕn: Trong lóc tham chiÕn, cã thÓ nhÊn phİm <~> (phİa trªn phİm Tab) ®Ó xem c¸c tin tøc chiÕn sù míi nhÊt"
1	1	1	"H­íng dÉn: Hoµn thµnh nhiÖm vô cÊp 50 b¹n sÏ häc ®­îc vâ c«ng t­¬ng øng, nhÊn phİm <F1> ®Ó xem h­íng dÉn chi tiÕt."
1	1	1	"H­íng dÉn: Khi ®¹t ®Õn ®¼ng cÊp 50, b¹n cã thÓ hoµn thµnh ""nhiÖm vô xuÊt s­"" cña m«n ph¸i (nhÊn phİm <F1> ®Ó xem h­íng dÉn chi tiÕt) , sau khi hoµn thµnh nhiÖm vô xuÊt s­ cã thÓ gia nhËp bang ph¸i."
1	1	1	"H­íng dÉn: T¹i thî rÌn ë c¸c thµnh thŞ lín vµ c¸c T©n Thñ th«n, b¹n cã thÓ n©ng cÊp huyÒn tinh kho¸ng th¹ch, c¸c thuéc tİnh kho¸ng th¹ch, thuéc tİnh ma ph¸p cña trang bŞ xanh, chÕ t¹o Trang bŞ HuyÒn Tinh, kh¶m n¹m trang bŞ HuyÒn Tinh vµ hîp thµnh trang bŞ hoµng kim."
