skillId	name	faction	style	radius	form	childId	childNum	cost	costType	wait	effect
1332	Vô Ngã	None	InitiativeNpcState	440	None	0	0	0	0	0	
1333	Kết băng	TangMen	Missiles	440	None	20	1	0	0	0	VLTK.Model.SourceAssetId
1334	ễẵÄẽ9áăệỳ1	None	InitiativeNpcState	440	None	275	1	0	0	0	
1335	ễẵÄẽ9áăệỳ2	None	InitiativeNpcState	440	None	275	1	0	0	0	
1345	2013ạóệíểÂéÛắÛấì	None	InitiativeNpcState	0	None	0	0	0	0	0	
1346	ễẵÄẽệỉằữéĐạỷ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1347	Bạch Hồng Quán Nhật	EMei	Missiles	400	Single	412	1	0	0	5	VLTK.Model.SourceAssetId
1348	Vân Chưng Hà úy	EMei	Missiles	400	None	275	1	0	0	0	
1351	Kim Nhạn Hoành Không	EMei	Missiles	480	Single	413	3	0	0	5	VLTK.Model.SourceAssetId
1352	Hữu Phụng Lai Nghi	EMei	Missiles	0	None	275	1	0	0	0	VLTK.Model.SourceAssetId
1353	ẵðẹóºỏ¿ế2	EMei	Missiles	0	None	275	1	0	0	0	VLTK.Model.SourceAssetId
1355	Thiên Thân Đảo Huyền	EMei	Missiles	360	None	414	4	0	0	2	VLTK.Model.SourceAssetId
1356	èỡẫðàạéỹ2	EMei	Missiles	0	None	275	1	0	0	0	VLTK.Model.SourceAssetId
1357	Cao Sơn Lưu Thủy	EMei	Missiles	0	None	275	1	0	0	0	
1358	Huyễn Nhãn Vân Yên	EMei	InitiativeNpcState	0	None	0	0	0	0	0	VLTK.Model.SourceAssetId
1360	Thương Tùng Nghênh Khách	EMei	Missiles	480	None	415	6	0	0	0	VLTK.Model.SourceAssetId
1361	Kỹ năng Mod 1361	EMei	Missiles	480	None	416	6	0	0	2	VLTK.Model.SourceAssetId
1362	Kỹ năng Mod 1362	EMei	Missiles	480	None	417	6	0	0	4	VLTK.Model.SourceAssetId
1363	Thái Nhạc Tam Thanh Phong	EMei	Missiles	480	Fan	418	3	0	0	5	VLTK.Model.SourceAssetId
