MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	MissRate	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
11	Bích Hải Triều Sinhb	1	0	0	10	1	0	1	0	30	24	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_05_±èºÊ³±ẫỳ_b.spr	48,16,1					\spr\skill\ảởỏề\mag_bz_bin1_±ơếăéĐạỷ.spr	14,1,1														156	211	255	90
12	Phù Vân Tán Tuyết	0	0	1	15	3	1	3	15	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_10_ạÛềụẫÂẹâ.spr	16,1,1	\sound\skill\áĂễặẫÂẹâ.wav																			156	166	247	90
13	Trị liệu thuật	0	0	1	10	1	0	1	10	16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_11_²ạẹêấừ.spr	20,1,1	\sound\skill\ệẻÁặấừ.wav																			189	134	82	90
14	Tật Phong Chú 	1	1	1	10	1	0	1	0	15	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\ÀƠÂỉ\kl_01_ºụãỗãă.spr	15,1,1	\sound\skill\ẳ²ãỗệọ.wav				\spr\skill\ÀƠÂỉ\Bz_dian3_±ơếă.spr	8,1,1														255	219	214	90
15	Tấn Lôi Chú 	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1						\sound\skill\ẹáÀìệọ.wav				\spr\skill\ÀƠÂỉ\Bz_dian3_±ơếă.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\ÀƠÂỉ\kl_02_ẳ²àỗãăb.spr	160,16,1								255	255	239	90
16	Cuồng Phong Sậu Điện	1	0	1	10	2	1	2	4	16	31	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ÀƠÂỉ\kl_03_¿ủãỗệốàỗ.spr	20,1,1	\sound\skill\¿ủãỗệốàỗ.wav				\spr\skill\ÀƠÂỉ\Bz_dian3_±ơếă.spr	8,1,1														255	255	239	90
17	Cuồng Lôi Chấn Địa 	0	0	1	15	2	1	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ÀƠÂỉ\KL_04_¿ủÀìếðàỉ.spr	5,1,2					\spr\skill\ÀƠÂỉ\Bz_dian3_±ơếă.spr	8,1,1														255	255	239	90
18	Ngũ Lôi Chánh Pháp	0	0	1	18	2	1	2	4	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÀƠÂỉ\kl_05_ẻồÀìếýãă.spr	5,1,2					\spr\skill\ÀƠÂỉ\Bz_dian3_±ơếă.spr	8,1,1														255	255	239	90
19	Thanh Phong phù 	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0										\spr\skill\ÀƠÂỉ\kl_11_ầồãỗãỷ.spr	40,1,1														255	219	99	90
20	Ki Bán phù 	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0																									255	219	99	90
21	Nhất Khí Tam Thanh Phù 	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0										\spr\skill\ÀƠÂỉ\kl_13_´úÁƯẵðáếãỷ.spr	20,1,1														255	219	99	90
22	Khí Tâm phù 	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0										\spr\skill\ÀƠÂỉ\kl_14_ặỳéÄãỷ.spr	20,1,1														255	219	99	90
23	Tuế Nguyệt Vô Tình phù 	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0										\spr\skill\ÀƠÂỉ\kl_15_ậờễÂẻịầộãỷ.spr	20,1,1														255	219	99	90
24	Nộ Lôi Chỉ 	1	0	1	10	1	0	1	0	16	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ẻọà±\wd_01_ÅưÀìệá.spr	160,16,1	\sound\skill\ÅưÀìệá.wav				\spr\skill\ẻọà±\Bz_dian1_±ơếă.spr	8,1,1	\sound\skill\sound_k040.wav													239	231	189	90
25	Thương Hải Minh Nguyệt	1	0	1	10	1	0	1	4	16	20	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\ẻọà±\wd_02_²ìºÊÃữễÂ.spr	8,1,1	\sound\skill\²ìºÊÃữễÂ.wav				\spr\skill\ẻọà±\Bz_dian1_±ơếă.spr	8,1,1														189	239	239	90
26	Thiên Tế Tấn Lôi 	0	0	1	10	3	1	3	17	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ẻọà±\wd_03_èỡẳấắêÀì.spr	17,1,1	\sound\skill\ẵÊãẫắêèỡ.wav				\spr\skill\ÀƠÂỉ\Bz_dian3_±ơếă.spr	8,1,1														255	255	231	90
27	Huyền Nhất Vô Tượng	0	0	1	15	1	0	1	10	10	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0										\spr\skill\ẻọà±\wd_04_éỵềằẻịẽú.spr	8,1,1	\sound\skill\éỵềằẻịẽú.wav													255	255	231	90
28	Bác Cấp Nhi Phục	0	0	1	15	4	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ẻọà±\wd_05_°ỵẳ°ảứá´.spr	12,1,1	\sound\skill\°ỵẳôảứá´.wav																			255	255	231	90
29	Vô Ngã Vô Kiếm  	1	0	1	10	1	0	1	0	16	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\ẻọà±\wd_10_ẻịẻềẻịẵÊ.spr	96,16,1																				255	255	231	90
30	Độc Sa chưởng	1	0	1	10	1	0	1	0	16	15	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\wu\éỵÚÔẻỹéầ.spr	128,16,1	\sound\skill\ểÄÚÔữẳữÃ.wav				\spr\skill\ẻồảắẵè\bz_du1_±ơếă.spr	13,1,1														107	255	123	90
31	Huyết Đao Độc Sát	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ẻồảắẵè\wdu_02_´úấệểĂ.spr	10,1,1	\sound\skill\ẹêấệảắẫ±.wav				\spr\skill\ẻồảắẵè\bz_du1_±ơếă.spr	13,1,1														140	207	156	90
32	Khô Lâu Tạc Đạn 	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ẻồảắẵè\wdu_03_ữẳữÃếăà¯.spr	80,16,1	\sound\skill\ểÄÚÔữẳữÃ.wav				\spr\skill\ẻồảắẵè\bz_du2_±ơếă.spr	6,1,1	\sound\skill\ặếÍă±ơếă.wav													140	207	156	90
33	Cửu Âm Bạch Cốt Trảo 	0	0	0	20	3	0	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ẻồảắẵè\wdu_04_ắÅềừ°ìạầìƠ.spr	8,1,1		\spr\skill\ẻồảắẵè\wdu_04_ắÅềừ°ìạầìƠẽỷÍử.spr	13,1,4																	140	207	156	90
34	Cáp Mô công	1	0	1	10	2	1	2	0	16	31	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0				\spr\skill\ẻồảắẵè\wdu_05_áũúĂạƯ.spr	160,16,1	\sound\skill\ệỡáũầàÚÔ.wav				\spr\skill\ẻồảắẵè\bz_du2_±ơếă.spr	6,1,1														140	207	156	90
35	Tích Lịch đơn	7	0	1	10	3	1	3	0	60	16	10240	5120	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_03_Åựửăà¯.spr	10,1,1	\sound\skill\Åựửăà¯.wav				\spr\skill\èỡẩè\mag_bz_huo1_±ơếăéĐạỷ.spr	6,1,2														132	125	107	90
36	Thiên La Địa Võng	1	0	1	10	1	0	1	0	25	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_ễƯãẫàả.spr	128,16,1	\sound\skill\ảỏằờùÚ.wav																			255	251	214	90
37	Truy Tâm Tiễn	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_05_ảàẽũẳý.spr	160,16,1	\sound\skill\ìãéÄẳý.wav																			148	219	255	90
38	Mạn Thiên Hoa Vũ 	0	0	1	20	3	1	3	40	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\èặÃÅ\tm_06_Âỵèỡằăểờ.spr	40,1,3																				255	219	214	90
39	Giáp Tử 	0	0	1	10	1	0	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_09_ẳéìể.spr	28,4,1																				140	140	140	90
40	Hỏa Địa Lôi 	1	0	1	10	1	0	1	0	30	16	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_10_ằðàỉÀì.spr	160,16,1																				255	255	90	90
41	Điện Địa Lôi 	1	0	1	10	1	0	1	0	30	20	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_11_àỗàỉÀì.spr	160,16,1																				255	255	239	90
42	Băng Địa Lôi 	1	0	1	10	1	0	1	0	30	15	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_12_±ựàỉÀì.spr	96,16,1																				156	207	231	90
43	Độc Địa Lôi 	1	0	1	10	3	1	3	0	30	12	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\TM_13_ảắàỉÀì.spr	160,16,1																				90	255	90	90
44	Đầu Thạch Vấn Lộ 	7	0	1	10	2	1	2	0	40	14	10240	2048	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_01_Íảấ¯ẻấÂã.spr	1,1,1	\sound\skill\Íảấ¯ẻấÂã.wav	\spr\skill\ỉÔ°ù\mag_bz_tu1_±ơếăéĐạỷ.spr	16,1,2		\spr\skill\ỉÔ°ù\mag_bz_tu1.spr	16,1,2	\sound\skill\sound_k044.wav													123	113	107	90
45	Diên Môn Thác Bát	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_02_ẹỉÃÅÍé²Đ.spr	64,16,1	\sound\skill\ẹỉÃÅÍé²Đ.wav				\spr\skill\èỡẩè\mag_tr_bz1_±ơếăéĐạỷ.spr	8,1,2														255	174	60	90
46	Kiến Nhân Thần Thủ 	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_03_ẳỷẩậẫỡấệ.spr	64,16,1	\sound\skill\ẳỷẩậẫỡấệ.wav				\spr\skill\èỡẩè\mag_tr_bz1_±ơếăéĐạỷ.spr	8,1,2														255	174	60	90
47	Bổng Đả ác Cẩu	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_04_èỡẽÂẻịạã.spr	64,16,1	\sound\skill\èỡẽÂẻịạã.wav				\spr\skill\èỡẩè\mag_bz_huo3_±ơếăéĐạỷ.spr	18,1,2														255	174	60	90
48	Kháng Long Hữu Hối	1	0	1	10	1	0	1	0	16	10	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_05_¿ºÁỳểéằÚ.spr	80,16,1	\sound\skill\¿ºÁỳẻịằÚ.wav				\spr\skill\ỉÔ°ù\mag_gb_bz5_±ơếăéĐạỷ.spr	6,1,2	\sound\skill\sound_k037.wav													255	174	60	90
49	Cô Mộc Độn Lôi 	0	0	0	20	1	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_06_ạÂÄắảíÀì.spr	13,1,2																				255	255	214	90
50	Bôn Lưu Đáo Hải	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_09_±ẳÁữàẵºÊ.spr	15,1,2																				165	170	255	90
51	Khuê Mộc Tinh Chiếu	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_08_¿ỹÄắéầếế.spr	15,1,2																				123	255	189	90
52	Kim Ô ánh Tuyết	0	0	0	10	1	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_07_ẵðẻÚể³ẹâ.spr	20,1,2																				247	154	41	90
53	Hóa Hiểm Vi Di	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ỉÔ°ù\mag_gb_10_ằ¯ẽếẻêềÄ.spr	15,1,2																				247	154	41	90
54	Tàn Dương Như Huyết	1	0	0	10	1	0	1	0	16	15	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èỡẩè\mag_tr_01_²éẹụẩỗẹâ.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\èỡẩè\mag_bz_huo1_±ơếăéĐạỷ.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
55	Thôi sơn  Điền Hải	0	0	0	20	2	1	2	12	120	0	0	0	1	1	20	30	0	0	0	0	0	0	0	0	0	0	1				\spr\skill\èỡẩè\mag_tr_02_ÍặẫẵèợºÊ_a1.spr	31,1,2	\sound\skill\ÍặẫẵèợºÊ.wav	\spr\skill\èỡẩè\mag_tr_02_ÍặẫẵèợºÊ_a2.spr	10,1,2				\sound\skill\sound_k038.wav				\spr\skill\èỡẩè\mag_tr_02_ÍặẫẵèợºÊ_b1.spr	31,1,2	\sound\skill\sound_k036.wav	\spr\skill\èỡẩè\mag_tr_02_ÍặẫẵèợºÊ_b2.spr	10,1,2					239	146	82	90
56	Liệt Hỏa Tình Thiên 	1	0	1	10	1	0	1	0	16	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èỡẩè\mag_tr_01_²éẹụẩỗẹâ.spr	48,16,1	\sound\skill\Áềằðầộèỡ.wav				\spr\skill\èỡẩè\mag_bz_huo1_±ơếăéĐạỷ.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
57	Đơn Chỉ Liệt Diệm	1	0	1	10	3	1	3	0	16	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èỡẩè\mag_tr_04_à¯ệáÁềẹổ.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\èỡẩè\mag_bz_huo3_±ơếăéĐạỷ.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
58	Thất Thương Thần Quyền 	0	0	1	10	4	1	4	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0																									255	255	255	90
59	Kim Ba 	1	0	0	10	1	0	1	0	30	20	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0				\spr\skill\ẫÙÁệ\bz_bo1_ẵð²ă.spr	320,32,1																				231	227	107	90
60	Hồng Ba 	1	0	0	10	1	0	1	0	40	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ẫÙÁệ\bz_bo2_ºỡ²ă.spr	320,32,1																				222	101	74	90
61	Ma Ha Vô Lượng	1	0	0	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\ẫÙÁệ\sl_01_ÄƯÚưẻịÁ¿.spr	80,16,1																				231	227	107	90
62	Sư Tử Hống 	1	0	1	10	1	0	1	0	10	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ẫÙÁệ\bz_bo2_ºỡ²ă.spr	320,32,1																				222	101	74	90
63	Công kích vật lý 	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\²ạ³ọ\àảẵÊ±ơếă.spr	4,1,1	\sound\skill\àảẵÊ´èệéẫự.wav										\spr\skill\²ạ³ọ\àảẵÊ±ơếă.spr	4,1,1		181	203	255	0
64	Công kích vật lý  	1	0	1	10	1	0	1	6	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										\spr\skill\²ạ³ọ\àảẵÊ±ơếă.spr	4,1,1	\sound\skill\ầạ´èệéẫự.wav													181	203	255	0
65	Công kích vật lý gần 	1	0	1	10	1	0	1	0	20	16	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²ạ³ọ\ễả³èạƠằữ.spr	16,16,5					\spr\skill\²ạ³ọ\àảẵÊ±ơếă.spr	4,1,1	\sound\skill\sound_k032.wav													231	227	107	10
66	Hàng Long Bất Vũ  	0	0	1	5	4	1	4	10	15	20	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ẫÙÁệ\sl_03_ééÁỳ²ằểờ.spr	15,1,1	\sound\skill\ééÁỳ²ằểờ.wav																			231	227	107	90
67	Thiên La Địa võng 	5	0	1	10	1	0	1	0	36	16	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_ễƯãẫàả.spr	128,16,1	\sound\skill\sound_k031.wav																			227	247	198	90
68	Phiêu Tuyết Xuyên Vân 	1	0	1	10	1	0	1	1	16	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ảởỏề\mag_em_01_ặđẹâ´âễặ.spr	64,16,1	\sound\skill\ặđẹâ´âễặ.wav				\spr\skill\ảởỏề\mag_bz_bin1_±ơếăéĐạỷ.spr	14,1,1														115	219	255	90
69	Thâu Thiên Hoán Nhật	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\èỡẩè\mag_tr_07_Íàèỡằằẩế.spr	15,1,2	\sound\skill\sound_k032.wav													255	113	114	90
70	Tá Lực Đả Lực	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\èỡẩè\mag_tr_09_ẵốÁƯ´ũÁƯ.spr	15,1,2	\sound\skill\sound_k032.wav													255	255	123	90
71	Hấp Tinh Đại Pháp	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\èỡẩè\mag_tr_08_ẻỹéầ´úãă.spr	15,1,2	\sound\skill\sound_k032.wav													115	166	255	90
72	Hàng Vân Quyết 	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\ảởỏề\mag_bz_bin1_±ơếăéĐạỷ.spr	7,1,2	\sound\skill\sound_k041.wav													173	235	255	90
73	Kinh Lôi Trảm 	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\ẻọà±\Bz_dian1_±ơếă.spr	8,1,1	\sound\skill\sound_k040.wav													239	239	214	90
74	Trảm Long Quyết  	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\ảởỏề\mag_bz_bin1_±ơếăéĐạỷ.spr	6,1,2	\sound\skill\sound_k036.wav													247	154	33	90
75	Hoành Tảo Lục Hợp 	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0						\sound\skill\sound_k023.wav	\spr\skill\²ạ³ọ\ạữ°ụ±ơếă.spr	4,1,1																	255	255	255	0
76	Định vị đồng đội trong khu vực 	0	0	0	2	10	1	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0																									255	255	255	0
77	Định vị đối phương trong khu vực	0	0	1	10	12	1	12	7	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0																									255	255	255	0
78	Lam Ba 	1	0	0	2	1	0	1	0	20	24	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0				\spr\skill\²ạ³ọ\mag_spe_bo_Àả.spr	320,32,1																				148	174	239	90
79	Hồng Ba 	1	0	0	2	1	0	1	0	20	24	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0				\spr\skill\ẫÙÁệ\bz_bo2_ºỡ²ă.spr	320,32,1																				222	101	74	90
80	Lục Ba 	1	0	0	2	1	1	1	0	20	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²ạ³ọ\mag_spe_bo_Âè.spr	320,32,1																				132	227	82	90
81	Bạch Ba 	1	0	0	2	1	0	1	0	20	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²ạ³ọ\mag_spe_bo_°ì.spr	320,32,1																				140	142	165	90
82	Thất Thương Thần Quyền 	1	0	1	10	0	0	0	0	24	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\èỡẩè\mag_bz_huo4_±ơếăéĐạỷ.spr	16,1,2					\spr\skill\èỡẩè\mag_bz_huo3_±ơếăéĐạỷ.spr	6,1,2														239	146	82	90
83	Kiếm Phi Kinh Thiên 	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0																									255	255	255	90
84	Điện ba	1	0	0	2	1	0	1	0	20	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²ạ³ọ\mag_spe_bo_àỗ.spr	160,16,1																				255	255	255	90
85	Thiên La Địa VõngPhi Đao	2	2	0	20	1	0	1	0	15	16	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\èặÃÅ\tm_04_ảỏằờẳý.spr	8,1,1																				255	255	255	90
