Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	0	6	1	47	0	1	0	1000000000
Ngù L«i thuËt	0	6	1	51	0	1	0	1000000000
Ngù Phong thuËt	0	6	1	50	0	1	0	900000000
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	161	0	0	0	1	0	900000000
TÈy Tñy Kinh	0	6	1	22	0	1	0	900000000
V©n Long KÝch. M©u ph¸p	0	6	1	35	0	1	0	900000000
HiÖp Cèt ThiÕt HuyÕt Sam	1	186	0	2	0	1	0	900000000
§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	163	0	0	0	1	0	700000000
Thiªn V­¬ng §ao ph¸p.QuyÓn 3	0	6	1	39	0	1	0	700000000
Ngò §éc §ao ph¸p. QuyÓn 2	0	6	1	48	0	1	0	700000000
ThiÕu L©m §ao ph¸p. QuyÓn 3	0	6	1	58	0	1	0	700000000
H·m TÜnh thuËt.Lo¹n Hoµn KÝch	0	6	1	28	0	1	0	600000000
Ngò §éc NhiÕp T©m thuËt. QuyÓn 3	0	6	1	49	0	1	0	600000000
Ngù T©m thuËt	0	6	1	52	0	1	0	600000000
NhiÕp Hån. Chó thuËt	0	6	1	53	0	1	0	600000000
ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	0	6	1	56	0	1	0	600000000
ThiÕu L©m C«n ph¸p. QuyÓn 2	0	6	1	57	0	1	0	560000000
Phæ §é MËt TÞch	0	6	1	59	0	1	0	560000000
HuyÒn Tinh cÊp 7	0	6	1	147	0	7	0	367700000
Bµn Nh­îc T©m Kinh	0	6	1	12	0	1	0	240000000
Tinh Hång B¶o Th¹ch	0	4	353	1	0	1	0	200000000
HuyÒn Tinh cÊp 6	0	6	1	147	0	6	0	113140000
ThiÕt La H¸n	0	6	1	23	0	1	0	60000000
Nhu T×nh  Phông Nghi Giíi ChØ 	1	192	0	3	0	1	0	40000000
HiÖp Cèt §a T×nh Hoµn	1	187	0	4	0	1	0	40000000
HiÖp Cèt §an T©m Giíi	1	188	0	3	0	1	0	40000000
Nhu T×nh Thôc N÷ H¹ng Liªn	1	191	0	4	0	1	0	40000000
HuyÒn Tinh cÊp 5	0	6	1	147	0	5	0	33000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	24000000
Phi Phong	0	6	1	15	0	1	0	15000000
HuyÒn Tinh cÊp 4	0	6	1	147	0	4	0	9000000
Thiªn s¬n  B¶o Lé 	0	6	1	72	0	1	0	4000000
§¹i Lùc hoµn	0	6	0	3	0	1	0	3500000
Phi Tèc hoµn	0	6	0	6	0	1	0	3000000
B¸ch Qu¶ Lé 	0	6	1	73	0	1	0	3000000
Phóc Duyªn Lé (§¹i) 	0	6	1	124	0	1	0	3000000
HuyÒn tinh cÊp 3	0	6	1	147	0	3	0	2250000
Tr­êng MÖnh hoµn	0	6	0	1	0	1	0	1200000
Gia Bµo hoµn	0	6	0	2	0	1	0	1200000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	1200000
Cao ThiÓm hoµn	0	6	0	4	0	1	0	1000000
Cao Trung hoµn	0	6	0	5	0	1	0	800000
B¨ng Phßng hoµn	0	6	0	7	0	1	0	800000
L«i Phßng hoµn	0	6	0	8	0	1	0	800000
Háa Phßng hoµn	0	6	0	9	0	1	0	800000
§éc Phßng hoµn	0	6	0	10	0	1	0	800000
Phóc Duyªn Lé (TiÓu) 	0	6	1	122	0	1	0	600000
ThiÖp mµu	0	6	1	1053	0	1	0	500000
ThiÖp Nh­ ý 	0	6	1	1016	0	1	0	500000
HuyÒn tinh cÊp 2	0	6	1	147	0	2	0	500000
T©m T©m T­¬ng ¸nh phï 	0	6	1	18	0	1	0	300000
Chung Nhò Nguyªn Th¹ch 	0	6	1	154	0	1	0	150000
Chung Nhò Nguyªn Th¹ch 	0	6	1	154	1	1	0	150000
Chung Nhò Nguyªn Th¹ch 	0	6	1	154	2	1	0	150000
Chung Nhò Nguyªn Th¹ch 	0	6	1	154	3	1	0	150000
Chung Nhò Nguyªn Th¹ch 	0	6	1	154	4	1	0	150000
Phï Dung Nguyªn Th¹ch 	0	6	1	152	0	1	0	150000
Phï Dung Nguyªn Th¹ch 	0	6	1	152	1	1	0	150000
Phï Dung Nguyªn Th¹ch 	0	6	1	152	2	1	0	150000
Phï Dung Nguyªn Th¹ch 	0	6	1	152	3	1	0	150000
Phï Dung Nguyªn Th¹ch 	0	6	1	152	4	1	0	150000
Khæng T­íc Nguyªn Th¹ch 	0	6	1	150	0	1	0	150000
Khæng T­íc Nguyªn Th¹ch 	0	6	1	150	1	1	0	150000
Khæng T­íc Nguyªn Th¹ch 	0	6	1	150	2	1	0	150000
Khæng T­íc Nguyªn Th¹ch 	0	6	1	150	3	1	0	150000
Khæng T­íc Nguyªn Th¹ch 	0	6	1	150	4	1	0	150000
HuyÒn tinh cÊp 1	0	6	1	147	0	1	0	100000
Chu Sa Nguyªn Kho¸ng	0	6	1	153	0	1	0	50000
MËt Ng©n Nguyªn Kho¸ng	0	6	1	151	0	1	0	50000
HuyÒn ThiÕt Nguyªn Kho¸ng	0	6	1	149	0	1	0	50000
Mai Kh«i Hoa Vò 	0	6	0	20	0	1	0	30000
Ph¸o Hoa	0	6	0	11	0	1	0	10000
