Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile
红狐	0	5	0	1			57				ani015	0	0	0	0	0	12	30	14	11	22	9	甩毛	1|0	喷毛	1|0	喷毛	1|0	喷毛	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	80	30	90	40	40	20	0	10	0	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
野猪	0	5	1	1			60				ani018	0	0	0	0	0	10	43	30	12	22	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	4	80	60	20	0	0	20	0	0	0	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
刺猬	0	5	2	1			61				ani019	0	0	0	0	0	14	11	17	10	20	13	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	3	60	30	50	40	60	0	0	0	10	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
亚洲象	0	5	3	1			63				ani021	0	0	0	0	0	38	38	38	12	24	16	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	5	5	25	25	400	50	700	3	60	30	50	40	60	0	0	0	10	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
黄河象	0	5	4	1			66				ani024	0	0	0	0	0	38	38	38	12	24	16	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	5	5	25	25	400	50	700	3	60	30	50	40	60	0	0	0	10	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	100	\settings\item\npcdroprate.ini
棕熊	0	5	0	1			67				ani025	0	0	0	0	0	14	24	31	12	27	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	5	5	25	25	400	50	700	3	70	40	80	80	50	10	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
黑熊	0	5	1	1			68				ani026	0	0	0	0	0	14	16	26	12	21	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	5	5	25	25	400	50	700	3	60	40	80	80	50	10	0	0	20	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
野牛	0	5	2	1			71				ani029	0	0	0	0	0	30	32	36	15	23	15	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	4	70	50	10	0	0	20	0	0	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
扬子鳄	0	5	3	1			75				ani033	0	0	0	0	0	30	30	30	9	26	15	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	50	700	1	80	60	20	0	0	0	20	0	0	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
火蜥蜴	0	5	4	1			78				ani036	0	0	0	0	0	32	32	32	9	24	15	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	50	700	3	70	30	80	60	50	20	0	0	10	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	100	\settings\item\npcdroprate.ini
眼镜蟒蛇	0	5	0	1			79				ani037	0	0	0	0	0	27	27	24	10	11	15	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	10	700	3	80	40	80	70	60	10	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
绿色蟒蛇	0	5	1	1			80				ani038	0	0	0	0	0	13	20	19	10	20	6	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	10	700	3	80	40	80	70	60	10	0	0	10	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
金环蟒蛇	0	5	2	1			81				ani039	0	0	0	0	0	35	35	26	10	22	14	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	10	700	3	80	40	80	70	60	10	0	10	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
赤练蟒蛇	0	5	3	1			82				ani040	0	0	0	0	0	15	13	14	10	20	7	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	80	40	80	60	60	10	0	10	0	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
金雕	0	5	4	1			83				ani041	0	0	0	0	0	9	9	15	10	4	7	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	3	30	30	50	60	70	0	0	0	10	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	112	\settings\item\npcdroprate.ini
苍鹰	0	5	0	1			84				ani042	0	0	0	0	0	20	20	28	10	12	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	6	80	30	60	60	70	0	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	80	\settings\item\npcdroprate.ini
秃鹫	0	5	1	1			85				ani043	0	0	0	0	0	12	14	16	10	9	8	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	3	80	30	70	60	70	0	0	0	10	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	31	\settings\item\npcdroprate.ini
霸王蝙蝠	0	5	2	1			87				ani045	0	0	0	0	0	12	27	28	10	10	18	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	6	70	40	50	60	60	0	0	10	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	200	\settings\item\npcdroprate.ini
红霸王蝙蝠	0	5	3	1			88				ani046	0	0	0	0	0	14	23	28	10	10	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	3	80	30	50	60	70	0	0	10	0	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	200	\settings\item\npcdroprate.ini
溶洞蝙蝠	0	5	4	1			89				ani047	0	0	0	0	0	14	23	28	10	10	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	3	60	30	50	60	60	0	0	10	0	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	200	\settings\item\npcdroprate.ini
吸血蝙蝠	0	5	0	1			90				ani048	0	0	0	0	0	14	23	28	10	10	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	8	8	25	25	400	50	700	6	60	30	80	80	50	0	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	200	\settings\item\npcdroprate.ini
金猫	0	5	1	1			91				ani049	0	0	0	0	0	24	29	24	7	22	14	甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	1	60	10	10	0	0	0	20	0	0	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
猞猁	0	5	2	1			92				ani050	0	0	0	0	0	14	16	19	8	9	15	甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	1	90	30	30	0	0	0	20	0	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
浣熊	0	5	3	1			93				ani051	0	0	0	0	0	11	22	28	8	8	16	甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	4	70	20	40	0	0	0	20	0	0	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
灵猫	0	5	4	1			94				ani052	0	0	0	0	0	14	22	22	7	8	12	甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	50	30	50	40	70	0	0	20	0	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	960	100	\settings\item\npcdroprate.ini
藏域猴	0	5	0	1			95				ani053	0	0	0	0	0	30	31	23	8	21	12	扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	30	30	50	40	70	0	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
灰叶猴	0	5	1	1			96				ani054	0	0	0	0	0	36	31	28	8	19	13	扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	20	30	50	40	70	0	0	10	0	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
黑叶猴	0	5	2	1			97				ani055	0	0	0	0	0	30	31	22	8	21	13	扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	20	20	50	40	70	0	0	10	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
金丝猴	0	5	3	1			98				ani056	0	0	0	0	0	24	25	22	8	18	12	扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	3	30	30	50	40	70	0	0	10	0	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
豺	0	5	4	1			100				ani058	0	0	0	0	0	32	32	36	10	22	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	30	700	3	30	30	50	40	70	0	0	10	0	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	100	\settings\item\npcdroprate.ini
雪怪	0	5	0	1			101				ani059	0	0	0	0	0	28	28	28	8	27	13	短兵物理攻击	1|0	风卷残雪	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	5	5	25	25	400	30	700	3	30	30	50	40	70	0	0	10	0	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
蛤蟆	0	5	1	1			102				ani060	0	0	0	0	0	36	36	26	12	24	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	30	700	1	40	40	20	0	0	20	0	0	0	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
梅花鹿	0	5	2	1			103				ani061	0	0	0	0	0	35	35	31	11	22	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	4	4	25	25	400	30	700	4	80	40	10	0	0	0	10	0	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	960	100	\settings\item\npcdroprate.ini
白猪	0	5	3	3			105				ani063	0	0	0	0	0	31	36	31	10	20	13	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	3	3	25	25	400	30	700	4	60	20	10	0	0	0	10	0	0	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	960	100	\settings\item\npcdroprate.ini
蝎子	0	5	4	1			107				ani065	0	0	0	0	0	21	20	24	9	21	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	10	700	1	50	40	20	0	0	20	0	0	0	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	100	\settings\item\npcdroprate.ini
蜘蛛	0	5	0	1			108				ani066	0	0	0	0	0	30	30	30	6	6	12	短兵物理攻击	1|0	远程物理攻击	1|0	远程物理攻击	1|0	远程物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	30	700	3	60	30	70	70	70	0	0	10	20	0|0	0|0	0|0	5|0.3	0|0	75	75	75	75	75	1440	100	\settings\item\npcdroprate.ini
蜈蚣	0	5	1	1			109				ani067	0	0	0	0	0	18	17	24	8	12	13	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	30	700	3	30	30	50	50	70	0	0	10	0	0|0	0|0	0|0	5|0.3	0|0	75	75	75	75	75	1440	100	\settings\item\npcdroprate.ini
