SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Hoành Tảo Lục Hợp	Công kích ngoại công  	11	201	0	\spr\Ui\技能图标\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	1	90	5	1	6	1	7	86	-1	1	1	10	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	2	1	100	0	32		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	deadlystrike_p	hengsao_liuhe	addskilldamage1	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe	colddamage_v	hengsao_liuhe	addskilldamage2	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		"""Võ công cao cấp, tấn công cùng lúc nhiều đối thủ."""
Kim Cang Hộ Thể 	Hỗ trợ phòng ngự - bị  động	12		3	\spr\Ui\技能图标\icon_sk_sl_11.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	adddefense_v																																									"""Võ công trung cấp, tăng khả năng phòng ngự."""
Lập Địa Thành Phật  		13		0	\spr\Ui\技能图标\icon_sk_sl_13.spr	\spr\skill\ẫÙÁệ\sl_02_ầồéÄốúềụ.spr	\sound\skill\sound_k011.wav	0	0	0	0	2	0	400	0	1	0	1	3	76	-1	1	1	11	1	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	188	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	badstatustimereduce_v		skill_cost_v																																							"""Thiền ca, có thể giải trừ điểm kinh nghiệm âm"""
Hàng Long Bất Vũ  	Công kích nội công 	14	202	0	\spr\Ui\技能图标\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	0	90	0	0	0	1	7	66	-1	1	1	11	1	1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	addskilldamage1	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdamage_p	xinglong_buyu	addskilldamage2	xinglong_buyu	addskilldamage3	xinglong_buyu	addskilldamage4	xinglong_buyu	addskilldamage5	xinglong_buyu	addskilldamage6	xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		"""Võ công nhập môn, sát thủ thươngnhiều đối thủ trong phạm vị nhất định"""
Bất động Minh Vương 	Hỗ trợ phòng ngự - chủ động	15	200	0	\spr\Ui\技能图标\icon_sk_sl_22.spr	\spr\skill\ẫÙÁệ\sl_05_²ằả¯ÃữÍừệọ.spr	\sound\skill\²ằả¯ÃữÍừệọ.wav	0	52	3	0	2	0	400	0	1	0	1	3	76	-1	1	1	11	1	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	186	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	attackratingenhance_p	budong_mingwang	adddefense_v	budong_mingwang	skill_cost_v	budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		"""Thiền ca, tăng khả năng chiến đấu"""
La Hán Trận	Vòng tròn  hỗ trợ chiến đấu	16	205	2	\spr\Ui\技能图标\icon_sk_sl_23.spr				45	2	1	2	0	180	0	0	0	1	7	202	-1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	luohan_zhen	meleedamagereturn_p	luohan_zhen	rangedamagereturn_p	luohan_zhen	adddefense_v	luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		Công thủ toàn diện. Phản đòn sát thương rất hiệu nghiệm.
Long Trảo Hổ Trảo (##) 	Công kích ngoại công  	17		1	\spr\Ui\技能图标\icon_sk_sl_31.spr		\sound\skill\sound_k004.wav	0	0	0	0	0	0	90	0	0	0	1	8	218	-1	1	0	10	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-2	1	80	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	stun_p	longzhao_huzhua	deadlystrike_p	longzhao_huzhua	addskilldamage2	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		"""Chiêu thức cao cấp, tấn công đối phương đơn lẻ """
Huệ Nhãn chú 	Chủ động hỗ trợ công kích	18		0	\spr\Ui\技能图标\icon_sk_sl_32.spr	\spr\skill\ẫÙÁệ\sl_04_ằÛẹÛệọ.spr	\sound\skill\ằÛẹÛệọ.wav	0	0	0	0	2	0	400	0	0	0	1	3	76	-1	1	1	11	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	185	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	attackratingenhance_p		skill_cost_v		deadlystrikeenhance_p																																					"""Thiền ca, tăng tỷ lệ công kích chính xác."""
Ma Ha Vô Lượng	Công kích ngoại công  	19	203	0	\spr\Ui\技能图标\icon_sk_sl_41.spr		\sound\skill\ÄƯÚưẻịÁ¿.wav		0	0	0	0	0	200	5	2	9	1	1	61	-1	2	1	11	0	0	5	0	0	0	5	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	0	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	mohe_wuliang	addskilldamage1	mohe_wuliang	missle_speed_v	mohe_wuliang	skill_attackradius	mohe_wuliang	skill_cost_v	mohe_wuliang	seriesdamage_p	mohe_wuliang	colddamage_v	mohe_wuliang	addskilldamage2	mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		"""Võ công trung cấp, hiệu quả chiến đấu cực cao."""
Sư Tử Hống 	Công kích nội công 	20	200	0	\spr\Ui\技能图标\icon_sk_sl_42.spr	\spr\skill\ẫÙÁệ\sl_06_ấăìểºð.spr	\sound\skill\ấăìểºð.wav	0	0	0	0	0	0	90	0	0	0	1	7	77	-1	1	1	11	1	0	2	0	0	0	54	54	0	0	1	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	stun_p	shizi_hou	physicsdamage_v	shizi_hou	skill_cost_v	shizi_hou	skill_eventskilllevel	shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		"""Thiền ca, khiến đối phương bị choáng giảm khả năng chiến đấu."""
Dịch Cân kinh	Hỗ trợ phòng ngự - bị  động	21	200	3	\spr\Ui\技能图标\icon_sk_sl_43.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	allres_p	yijin_jing	meleedamagereturn_p	yijin_jing	rangedamagereturn_p	yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		"""Chiêu thức tối cao, tăng toàn bộ kháng tính."""
Kim Ba 		22		0					0	0	0	3	0	0	0	1	0	0	3	59	-1	32	1	11	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\skill.lua																																										
Thiên Vương  Thương pháp	Hỗ trợ bị động	23	104	3	\spr\Ui\技能图标\icon_sk_tw_qf.spr		0	0	0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_qiangfa	attackratingenhance_p	tianwang_qiangfa	deadlystrikeenhance_p	tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		Tăng hiệu quả sử dụng thương.
Thiên Vương  Đao pháp	Hỗ trợ bị động	24	105	3	\spr\Ui\技能图标\icon_sk_tw_df.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_daofa	attackratingenhance_p	tianwang_daofa	deadlystrikeenhance_p	tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		Tăng hiệu quả sử dụng đao.
Thánh Vương Đao pháp (##) 	Hỗ trợ bị động	25		3	\spr\Ui\技能图标\àảãă.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Thiên Vương  Chùy Pháp	Hỗ trợ bị động	26	106	3	\spr\Ui\技能图标\icon_sk_tw_cf.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	4	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_chuifa	attackratingenhance_p	tianwang_chuifa	deadlystrikeenhance_p	tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		Tăng hiệu quả sử dụng chùy.
Thiên Vương  Phủ pháp (##) 	Hỗ trợ bị động	27		3	\spr\Ui\技能图标\ạữãă.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Thánh Vương Phủ pháp (##) 	Hỗ trợ bị động	28		3	\spr\Ui\技能图标\ậô´áèìÂã.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Trảm Long quyết	Công kích ngoại công  	29	103	1	\spr\Ui\技能图标\icon_sk_tw_62.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	72	0	1	10	1	12	405	-1	1	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	4	1	60	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue		zhanlong_jue	deadlystrike_p	zhanlong_jue	addskilldamage1	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_attackradius	zhanlong_jue	skill_cost_v	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdamage_p	zhanlong_jue	ignoredefense_p	zhanlong_jue	addskilldamage2	zhanlong_jue	addskilldamage3	zhanlong_jue	addskilldamage4	zhanlong_jue	addskilldamage5	zhanlong_jue	addskilldamage6	zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		"""Chùy pháp nhập môn, khiến đối phương rất khó xoay sở."""
Hồi Phong Lạc Nhạn	Công kích ngoại công  	30	101	1	\spr\Ui\技能图标\icon_sk_tw_61.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	90	0	1	10	1	12	219	-1	2	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	3	1	60	0	10		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	addskilldamage1	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan	skill_cost_v	huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdamage_p	huifeng_luoyan	addskilldamage2	huifeng_luoyan	addskilldamage3	huifeng_luoyan	addskilldamage4	huifeng_luoyan	addskilldamage5	huifeng_luoyan	addskilldamage6	huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		"""Thương pháp nhập môn, một lần xuất liên tục 2 chiêu."""
Hàng Vân Quyết	Công kích nội công 	31	103	1	\spr\Ui\技能图标\icon_sk_tw_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	0	72	0	1	8	1	12	406	-1	1	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	4	1	80	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	xingyun_jue		xingyun_jue	deadlystrike_p	xingyun_jue	addskilldamage1	xingyun_jue	missle_speed_v	xingyun_jue	skill_attackradius	xingyun_jue	skill_cost_v	xingyun_jue	missle_lifetime_v	xingyun_jue	seriesdamage_p	xingyun_jue	ignoredefense_p	xingyun_jue	addskilldamage2	xingyun_jue	addskilldamage3	xingyun_jue	addskilldamage4	xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		"""Chùy Pháptrung cấp, khiến đối phương rất khó xoay sở.."""
Vô Tâm Trảm 	Công kích ngoại công  	32	102	1	\spr\Ui\技能图标\icon_sk_tw_11.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	1	90	5	1	5	1	12	220	-1	1	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	1	0	40	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	wuxin_zhan	seriesdamage_p	wuxin_zhan	deadlystrike_p	wuxin_zhan	addskilldamage1	wuxin_zhan	missle_speed_v	wuxin_zhan	skill_attackradius	wuxin_zhan	skill_cost_v	wuxin_zhan	missle_lifetime_v	wuxin_zhan	addskilldamage2	wuxin_zhan	addskilldamage3	wuxin_zhan	addskilldamage4	wuxin_zhan	addskilldamage5	wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		"""Đao pháp cao cấp, hiệu quả sát thương cực cao."""
Tĩnh Tâm Quyết	Chủ động hỗ trợ công kích	33	100	2	\spr\Ui\技能图标\icon_sk_tw_13.spr		\sound\skill\sound_k002.wav		46	3	0	2	0	0	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	attackratingenhance_p	jingxin_jue	skill_cost_v	jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		"""Sơ cấp tâm pháp, tăng độ chính xác công kích."""
