Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	600000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	500000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	500000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	500000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	300000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	150000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	100000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	50000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	50000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	50000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	30000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	10000
