MapId	X	Y	NpcRes	NpcName	NpcScript	TaskId
1009	1225	2481	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1535	2679	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1573	2673	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1566	2712	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1555	2748	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1566	3023	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1566	3053	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1571	3088	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1552	3110	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1533	3136	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1506	3140	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1485	3125	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1459	3140	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1430	3154	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1404	3152	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1429	3122	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1448	3091	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1476	3067	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1484	3021	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1515	3023	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1395	2878	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1368	2872	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1357	2840	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1372	2819	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1364	2791	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1370	2748	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1388	2713	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1410	2739	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1410	2782	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1401	2819	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1215	2870	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1192	2823	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
1009	1195	2890	1353	Giun §Êt	\script\global\pgaming\cauca\giundat.lua	1
